sample,epoch,target,port,ok,tcp_connect_ms,error
1,1782338755.0288367,PRIVATE_IP_022,502,1,5.185112,
2,1782338755.2352011,PRIVATE_IP_022,502,1,6.117164,
3,1782338755.441209,PRIVATE_IP_022,502,1,5.756094,
4,1782338755.6461108,PRIVATE_IP_022,502,1,4.628877,
5,1782338755.850018,PRIVATE_IP_022,502,1,3.732074,
6,1782338756.0537443,PRIVATE_IP_022,502,1,3.597952,
7,1782338756.2580376,PRIVATE_IP_022,502,1,4.091269,
8,1782338756.4622037,PRIVATE_IP_022,502,1,3.909920,
9,1782338756.6660862,PRIVATE_IP_022,502,1,3.625989,
10,1782338756.8700874,PRIVATE_IP_022,502,1,3.758165,
11,1782338757.074134,PRIVATE_IP_022,502,1,3.830139,
12,1782338757.2779667,PRIVATE_IP_022,502,1,3.594424,
13,1782338757.4819489,PRIVATE_IP_022,502,1,3.802789,
14,1782338757.686061,PRIVATE_IP_022,502,1,3.954485,
15,1782338757.8900864,PRIVATE_IP_022,502,1,3.857379,
16,1782338758.0942218,PRIVATE_IP_022,502,1,3.875084,
17,1782338758.2980232,PRIVATE_IP_022,502,1,3.634320,
18,1782338758.5020993,PRIVATE_IP_022,502,1,3.792053,
19,1782338758.7056365,PRIVATE_IP_022,502,1,3.426693,
20,1782338758.9088643,PRIVATE_IP_022,502,1,3.065513,
21,1782338759.1129475,PRIVATE_IP_022,502,1,3.860963,
22,1782338759.3170247,PRIVATE_IP_022,502,1,3.826771,
23,1782338759.5208452,PRIVATE_IP_022,502,1,3.566105,
24,1782338759.72577,PRIVATE_IP_022,502,1,4.755196,
25,1782338759.9301724,PRIVATE_IP_022,502,1,4.180879,
26,1782338760.1338773,PRIVATE_IP_022,502,1,3.417207,
27,1782338760.338202,PRIVATE_IP_022,502,1,4.107052,
28,1782338760.5420885,PRIVATE_IP_022,502,1,3.628642,
29,1782338760.7449055,PRIVATE_IP_022,502,1,2.703572,
30,1782338760.9489114,PRIVATE_IP_022,502,1,3.761171,
31,1782338761.152941,PRIVATE_IP_022,502,1,3.810892,
32,1782338761.3568969,PRIVATE_IP_022,502,1,3.762058,
33,1782338761.5610082,PRIVATE_IP_022,502,1,3.875208,
34,1782338761.7639236,PRIVATE_IP_022,502,1,2.753752,
35,1782338761.9679337,PRIVATE_IP_022,502,1,3.849787,
36,1782338762.1734595,PRIVATE_IP_022,502,1,5.194327,
37,1782338762.3770628,PRIVATE_IP_022,502,1,3.453636,
38,1782338762.5811737,PRIVATE_IP_022,502,1,3.819858,
39,1782338762.7847497,PRIVATE_IP_022,502,1,3.332997,
40,1782338762.9876125,PRIVATE_IP_022,502,1,2.749809,
41,1782338763.1907365,PRIVATE_IP_022,502,1,2.976279,
42,1782338763.3949895,PRIVATE_IP_022,502,1,4.086652,
43,1782338763.5991085,PRIVATE_IP_022,502,1,3.473495,
44,1782338763.8026223,PRIVATE_IP_022,502,1,3.353092,
45,1782338764.005734,PRIVATE_IP_022,502,1,2.870389,
46,1782338764.2089198,PRIVATE_IP_022,502,1,3.013091,
47,1782338764.4118102,PRIVATE_IP_022,502,1,2.723144,
48,1782338764.6159968,PRIVATE_IP_022,502,1,3.933204,
49,1782338764.8200464,PRIVATE_IP_022,502,1,3.860530,
50,1782338765.0240567,PRIVATE_IP_022,502,1,3.729510,
51,1782338765.22847,PRIVATE_IP_022,502,1,4.141671,
52,1782338765.432218,PRIVATE_IP_022,502,1,3.558036,
53,1782338765.6360059,PRIVATE_IP_022,502,1,3.546223,
54,1782338765.8389058,PRIVATE_IP_022,502,1,2.778257,
55,1782338766.0429957,PRIVATE_IP_022,502,1,3.813023,
56,1782338766.2469094,PRIVATE_IP_022,502,1,3.749556,
57,1782338766.4511628,PRIVATE_IP_022,502,1,4.070181,
58,1782338766.6559374,PRIVATE_IP_022,502,1,4.488248,
59,1782338766.8589091,PRIVATE_IP_022,502,1,2.826739,
60,1782338767.0618253,PRIVATE_IP_022,502,1,2.795534,
61,1782338767.2654216,PRIVATE_IP_022,502,1,3.470013,
62,1782338767.4701748,PRIVATE_IP_022,502,1,4.574539,
63,1782338767.6741023,PRIVATE_IP_022,502,1,3.705902,
64,1782338767.8801134,PRIVATE_IP_022,502,1,5.819775,
65,1782338768.0840778,PRIVATE_IP_022,502,1,3.701070,
66,1782338768.2880464,PRIVATE_IP_022,502,1,3.746940,
