Linux 6.8.0-55-generic (ubuntu) 	24/06/26 	_x86_64_	(8 CPU)

16:03:31        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
16:03:32        all      6,78      0,00      5,28      0,00      0,00      0,00      0,50      0,00      0,00     87,44
16:03:33        all      4,56      0,00      2,28      0,25      0,00      0,00      0,00      0,00      0,00     92,90
16:03:34        all      5,93      0,00      3,15      0,13      0,00      0,00      0,13      0,00      0,00     90,67
16:03:35        all      4,05      0,00      1,90      0,13      0,00      0,00      0,38      0,00      0,00     93,55
16:03:36        all      7,05      0,00      4,03      0,13      0,00      0,00      0,50      0,00      0,00     88,29
16:03:37        all      5,85      0,00      2,54      0,13      0,00      0,00      0,25      0,00      0,00     91,22
16:03:38        all      6,17      0,00      3,40      0,00      0,00      0,00      0,38      0,00      0,00     90,05
16:03:39        all      4,20      0,00      2,04      0,00      0,00      0,00      0,25      0,00      0,00     93,51
16:03:40        all      9,92      0,00      2,26      0,25      0,00      0,00      0,25      0,00      0,00     87,31
16:03:41        all      5,94      0,00      3,79      0,00      0,00      0,00      0,38      0,00      0,00     89,89
16:03:42        all      4,93      0,00      2,28      0,25      0,00      0,00      0,00      0,00      0,00     92,54
16:03:43        all      4,90      0,00      2,01      0,00      0,00      0,00      0,38      0,00      0,00     92,71
16:03:44        all      4,81      0,00      2,03      0,13      0,00      0,00      0,25      0,00      0,00     92,78
16:03:45        all      4,30      0,00      1,77      0,00      0,00      0,00      0,25      0,00      0,00     93,67
16:03:46        all      6,29      0,00      4,15      0,13      0,00      0,00      0,38      0,00      0,00     89,06
16:03:47        all      4,67      0,00      1,89      0,13      0,00      0,00      0,25      0,00      0,00     93,06
16:03:48        all      5,66      0,00      3,40      0,13      0,00      0,00      0,50      0,00      0,00     90,31
16:03:49        all      3,91      0,00      1,89      0,13      0,00      0,00      0,13      0,00      0,00     93,95
16:03:50        all      9,47      0,00      3,79      0,00      0,00      0,00      0,51      0,00      0,00     86,24
16:03:51        all      8,60      0,00      5,44      0,25      0,00      0,00      0,13      0,00      0,00     85,59
16:03:52        all      9,21      0,00      2,52      0,00      0,00      0,00      0,25      0,00      0,00     88,02
16:03:53        all      4,56      0,00      1,65      0,00      0,00      0,00      0,25      0,00      0,00     93,54
16:03:54        all      4,79      0,00      2,27      0,00      0,00      0,00      0,25      0,00      0,00     92,69
16:03:55        all      5,93      0,00      3,40      0,00      0,00      0,00      0,38      0,00      0,00     90,29
16:03:56        all      5,70      0,00      2,66      0,25      0,00      0,00      0,13      0,00      0,00     91,27
16:03:57        all      6,52      0,00      3,76      0,13      0,00      0,00      0,38      0,00      0,00     89,22
16:03:58        all      4,45      0,00      2,16      0,00      0,00      0,00      0,13      0,00      0,00     93,27
