procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0   4132 1842876 420572 20817296    0    0    53   228 1820    2  2  1 97  0  0  0
 0  0   4132 1809280 420572 20817552    0    0    92   112 4623 2890  7  5 88  0  0  0
 1  0   4132 1818680 420572 20817556    0    0     0   196 2864 1889  5  2 93  0  0  0
 0  0   4132 1816072 420572 20817592    0    0     0   112 3863 2698  6  3 91  0  0  0
 0  0   4132 1818604 420572 20817596    0    0     0  1048 3346 2158  4  2 93  0  0  0
 0  0   4132 1813164 420572 20817748    0    0     0   476 4503 3397  7  4 89  0  0  0
 0  0   4132 1826104 420572 20817756    0    0     0    80 4997 4452  6  3 91  0  0  0
 2  0   4132 1828588 420572 20817776    0    0     0   120 4559 4318  6  4 90  0  0  0
 2  0   4132 1837184 420572 20817780    0    0     0   236 3204 2223  4  3 93  0  0  0
 1  0   4132 1834536 420572 20817800    0    0     0   204 3956 2635 10  3 88  0  0  0
 1  0   4132 1841460 420572 20817804    0    0     0   176 4243 3123  6  4 90  0  0  0
 1  0   4132 1838216 420572 20817820    0    0     0   264 3568 2430  5  3 92  0  0  0
 0  0   4132 1845628 420572 20817828    0    0     0    72 3156 2182  5  2 93  0  0  0
 0  0   4132 1842916 420572 20817852    0    0     0   256 3341 2347  5  3 92  0  0  0
 0  0   4132 1846860 420572 20817864    0    0     0   128 3224 2260  5  2 93  0  0  0
 0  0   4132 1841336 420572 20817920    0    0     0  1240 4634 3194  6  4 90  0  0  0
 1  0   4132 1850800 420572 20817936    0    0     0   120 3458 2423  5  2 93  0  0  0
 0  0   4132 1854656 420572 20817948    0    0     4   112 4894 4370  6  4 90  0  0  0
 1  0   4132 1863312 420572 20817956    0    0     0   256 3140 2347  4  2 94  0  0  0
 1  0   4132 1828128 420572 20817980    0    0     0   132 5002 3789 10  4 86  0  0  0
 0  0   4132 1829536 420572 20818004    0    0     0   736 5337 3366  8  6 86  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0   4132 1826932 420572 20818012    0    0     0   344 3799 2652  9  3 88  0  0  0
 0  0   4132 1832308 420572 20818032    0    0     0    80 3233 2260  4  2 94  0  0  0
 1  0   4132 1833652 420572 20818052    0    0     0   436 3252 2314  5  2 92  0  0  0
 0  0   4132 1827936 420572 20818068    0    0     0   112 5723 6351  6  4 90  0  0  0
 1  0   4132 1824648 420572 20818084    0    0     0   852 5180 4742  6  3 91  0  0  0
 0  0   4132 1848284 420572 20818104    0    0     0   152 4170 3119  6  4 90  0  0  0
 0  0   4132 1842580 420572 20818140    0    0     0   228 3237 2174  5  3 93  0  0  0
 0  0   4132 1852780 420572 20818148    0    0     0   324 3245 2367  5  2 93  0  0  0
 1  0   4132 1848532 420572 20818164    0    0     0   140 3178 2299  4  2 93  0  0  0
 0  0   4132 1852600 420572 20818156    0    0     0   100 3513 2434  5  3 93  0  0  0
 0  0   4132 1848960 420572 20818204    0    0     0  1160 4738 3320  6  4 90  0  0  0
 1  0   4132 1859244 420572 20818204    0    0     0    80 3471 2461  5  2 93  0  0  0
 1  0   4132 1857480 420572 20818224    0    0     0   244 3583 2404  9  2 89  0  0  0
 1  0   4132 1858200 420572 20818224    0    0     0    92 3082 2220  4  2 94  0  0  0
 2  0   4132 1857472 420572 20818244    0    0     0   124 3247 2474  4  2 94  0  0  0
 1  0   4132 1852008 420572 20818260    0    0     0   132 5846 5055  7  4 88  0  0  0
 0  0   4132 1849488 420572 20818272    0    0     0  1092 3861 2676  5  2 92  0  0  0
 1  0   4132 1852512 420572 20818280    0    0     0   424 3187 2277  5  2 93  0  0  0
 1  0   4132 1852288 420572 20818296    0    0     0   128 3102 2254  4  2 94  0  0  0
 0  0   4132 1851784 420572 20818308    0    0     0    80 3319 2455  5  2 93  0  0  0
 0  0   4132 1846252 420572 20818328    0    0     0   176 4105 3047  6  3 91  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0   4132 1849600 420572 20818344    0    0     0    88 3437 2314  5  2 93  0  0  0
 0  0   4132 1849376 420572 20818356    0    0     0   224 3030 2059  4  2 94  0  0  0
 0  0   4132 1847112 420572 20818372    0    0     0   108 3101 2139  5  2 93  0  0  0
 0  0   4132 1840624 420572 20818392    0    0     0   124 3969 2572  9  2 88  0  0  0
 0  0   4132 1843016 420572 20818408    0    0     0   836 3196 2176  4  2 94  0  0  0
 0  0   4132 1836988 420572 20818436    0    0     0   168 5524 4884  7  5 88  0  0  0
 0  0   4132 1843168 420572 20818460    0    0     0   360 3191 2233  4  2 94  0  0  0
 0  0   4132 1842932 420572 20818468    0    0     0   128 3314 2289  5  2 92  0  0  0
 1  0   4132 1845640 420572 20818480    0    0     0    88 2974 2003  5  2 93  0  0  0
