src_ip,dst_ip,direction,adu_count,adu_bytes,tcp_payload_bytes
PRIVATE_IP_016,PRIVATE_IP_001,response,1496,173730,173730
PRIVATE_IP_001,PRIVATE_IP_016,query,1496,17952,17952
PRIVATE_IP_001,PRIVATE_IP_022,query,1200,14400,14400
PRIVATE_IP_022,PRIVATE_IP_001,response,1200,159600,159600
PRIVATE_IP_020,PRIVATE_IP_001,response,450,86850,86850
PRIVATE_IP_001,PRIVATE_IP_018,query,450,5400,5400
PRIVATE_IP_001,PRIVATE_IP_020,query,450,5400,5400
PRIVATE_IP_001,PRIVATE_IP_019,query,450,5400,5400
PRIVATE_IP_019,PRIVATE_IP_001,response,450,64350,64350
PRIVATE_IP_018,PRIVATE_IP_001,response,450,64350,64350
PRIVATE_IP_001,PRIVATE_IP_021,query,300,3600,3600
PRIVATE_IP_001,PRIVATE_IP_026,query,300,3600,3600
PRIVATE_IP_021,PRIVATE_IP_001,response,300,62700,62700
PRIVATE_IP_026,PRIVATE_IP_001,response,300,20700,20700
PRIVATE_IP_001,PRIVATE_IP_010,query,150,1800,1800
PRIVATE_IP_001,PRIVATE_IP_017,query,150,1800,1800
PRIVATE_IP_017,PRIVATE_IP_001,response,150,1350,1350
PRIVATE_IP_001,PRIVATE_IP_013,query,150,1800,1800
PRIVATE_IP_001,PRIVATE_IP_014,query,150,1800,1800
PRIVATE_IP_001,PRIVATE_IP_015,query,150,1800,1800
PRIVATE_IP_010,PRIVATE_IP_001,response,150,7950,7950
PRIVATE_IP_013,PRIVATE_IP_001,response,150,7950,7950
PRIVATE_IP_014,PRIVATE_IP_001,response,150,7950,7950
PRIVATE_IP_015,PRIVATE_IP_001,response,150,7950,7950
