frame_index,time_epoch,src_ip,dst_ip,src_port,dst_port,direction,transaction_id,protocol_id,length,unit_id,function_code,function_base,function_name,is_exception,exception_code,reference_num,quantity,byte_count,value_hex,adu_bytes,tcp_payload_bytes,register_signature
1,1781647145.4329202,PRIVATE_IP_001,PRIVATE_IP_020,48364,502,query,87,0,6,1,3,3,Read Holding Registers,False,,0.0,100.0,,,12,12,fc3:unit1:reg0:qty100:serverPRIVATE_IP_020
2,1781647145.4379008,PRIVATE_IP_020,PRIVATE_IP_001,502,48364,response,87,0,203,1,3,3,Read Holding Registers,False,,,,200.0,REDACTED_PAYLOAD,209,209,
4,1781647145.4484441,PRIVATE_IP_001,PRIVATE_IP_019,39078,502,query,92,0,6,1,3,3,Read Holding Registers,False,,0.0,100.0,,,12,12,fc3:unit1:reg0:qty100:serverPRIVATE_IP_019
5,1781647145.4511867,PRIVATE_IP_001,PRIVATE_IP_018,51812,502,query,87,0,6,1,3,3,Read Holding Registers,False,,0.0,100.0,,,12,12,fc3:unit1:reg0:qty100:serverPRIVATE_IP_018
6,1781647145.4536061,PRIVATE_IP_019,PRIVATE_IP_001,502,39078,response,92,0,203,1,3,3,Read Holding Registers,False,,,,200.0,REDACTED_PAYLOAD,209,209,
8,1781647145.454741,PRIVATE_IP_018,PRIVATE_IP_001,502,51812,response,87,0,203,1,3,3,Read Holding Registers,False,,,,200.0,REDACTED_PAYLOAD,209,209,
10,1781647145.4642203,PRIVATE_IP_001,PRIVATE_IP_026,52028,502,query,87,0,6,1,4,4,Read Input Registers,False,,0.0,30.0,,,12,12,fc4:unit1:reg0:qty30:serverPRIVATE_IP_026
11,1781647145.46521,PRIVATE_IP_001,PRIVATE_IP_021,45928,502,query,87,0,6,1,3,3,Read Holding Registers,False,,0.0,100.0,,,12,12,fc3:unit1:reg0:qty100:serverPRIVATE_IP_021
12,1781647145.466518,PRIVATE_IP_026,PRIVATE_IP_001,502,52028,response,87,0,63,1,4,4,Read Input Registers,False,,,,60.0,REDACTED_PAYLOAD,69,69,
15,1781647145.4709556,PRIVATE_IP_021,PRIVATE_IP_001,502,45928,response,87,0,203,1,3,3,Read Holding Registers,False,,,,200.0,REDACTED_PAYLOAD,209,209,
52,1781647145.5226102,PRIVATE_IP_001,PRIVATE_IP_022,43602,502,query,248,0,6,1,3,3,Read Holding Registers,False,,94.0,75.0,,,12,12,fc3:unit1:reg94:qty75:serverPRIVATE_IP_022
56,1781647145.5309317,PRIVATE_IP_022,PRIVATE_IP_001,502,43602,response,248,0,153,1,3,3,Read Holding Registers,False,,,,150.0,REDACTED_PAYLOAD,159,159,
62,1781647145.5540283,PRIVATE_IP_001,PRIVATE_IP_022,60770,502,query,81,0,6,1,3,3,Read Holding Registers,False,,0.0,86.0,,,12,12,fc3:unit1:reg0:qty86:serverPRIVATE_IP_022
63,1781647145.5602794,PRIVATE_IP_022,PRIVATE_IP_001,502,60770,response,81,0,175,1,3,3,Read Holding Registers,False,,,,172.0,REDACTED_PAYLOAD,181,181,
65,1781647145.5629754,PRIVATE_IP_001,PRIVATE_IP_022,60770,502,query,82,0,6,1,3,3,Read Holding Registers,False,,94.0,86.0,,,12,12,fc3:unit1:reg94:qty86:serverPRIVATE_IP_022
66,1781647145.5730033,PRIVATE_IP_022,PRIVATE_IP_001,502,60770,response,82,0,175,1,3,3,Read Holding Registers,False,,,,172.0,REDACTED_PAYLOAD,181,181,
69,1781647146.1072357,PRIVATE_IP_001,PRIVATE_IP_016,54632,502,query,9,0,6,1,3,3,Read Holding Registers,False,,300.0,22.0,,,12,12,fc3:unit1:reg300:qty22:serverPRIVATE_IP_016
71,1781647146.1164598,PRIVATE_IP_016,PRIVATE_IP_001,502,54632,response,9,0,47,1,3,3,Read Holding Registers,False,,,,44.0,REDACTED_PAYLOAD,53,53,
73,1781647146.1189265,PRIVATE_IP_001,PRIVATE_IP_016,54632,502,query,10,0,6,1,3,3,Read Holding Registers,False,,1.0,124.0,,,12,12,fc3:unit1:reg1:qty124:serverPRIVATE_IP_016
74,1781647146.1249146,PRIVATE_IP_016,PRIVATE_IP_001,502,54632,response,10,0,251,1,3,3,Read Holding Registers,False,,,,248.0,REDACTED_PAYLOAD,257,257,
75,1781647146.1324878,PRIVATE_IP_001,PRIVATE_IP_016,54632,502,query,11,0,6,1,3,3,Read Holding Registers,False,,125.0,88.0,,,12,12,fc3:unit1:reg125:qty88:serverPRIVATE_IP_016
76,1781647146.1368394,PRIVATE_IP_016,PRIVATE_IP_001,502,54632,response,11,0,179,1,3,3,Read Holding Registers,False,,,,176.0,REDACTED_PAYLOAD,185,185,
77,1781647146.139848,PRIVATE_IP_001,PRIVATE_IP_016,54632,502,query,12,0,6,1,3,3,Read Holding Registers,False,,101.0,33.0,,,12,12,fc3:unit1:reg101:qty33:serverPRIVATE_IP_016
78,1781647146.1445434,PRIVATE_IP_016,PRIVATE_IP_001,502,54632,response,12,0,69,1,3,3,Read Holding Registers,False,,,,66.0,REDACTED_PAYLOAD,75,75,
80,1781647146.433599,PRIVATE_IP_001,PRIVATE_IP_020,48364,502,query,88,0,6,1,3,3,Read Holding Registers,False,,0.0,100.0,,,12,12,fc3:unit1:reg0:qty100:serverPRIVATE_IP_020
81,1781647146.4389148,PRIVATE_IP_020,PRIVATE_IP_001,502,48364,response,88,0,203,1,3,3,Read Holding Registers,False,,,,200.0,REDACTED_PAYLOAD,209,209,
83,1781647146.448966,PRIVATE_IP_001,PRIVATE_IP_019,39078,502,query,93,0,6,1,3,3,Read Holding Registers,False,,0.0,100.0,,,12,12,fc3:unit1:reg0:qty100:serverPRIVATE_IP_019
84,1781647146.4513352,PRIVATE_IP_001,PRIVATE_IP_018,51812,502,query,88,0,6,1,3,3,Read Holding Registers,False,,0.0,100.0,,,12,12,fc3:unit1:reg0:qty100:serverPRIVATE_IP_018
85,1781647146.4536452,PRIVATE_IP_019,PRIVATE_IP_001,502,39078,response,93,0,203,1,3,3,Read Holding Registers,False,,,,200.0,REDACTED_PAYLOAD,209,209,
87,1781647146.4548748,PRIVATE_IP_018,PRIVATE_IP_001,502,51812,response,88,0,203,1,3,3,Read Holding Registers,False,,,,200.0,REDACTED_PAYLOAD,209,209,
89,1781647146.4616642,PRIVATE_IP_001,PRIVATE_IP_026,52028,502,query,88,0,6,1,4,4,Read Input Registers,False,,0.0,30.0,,,12,12,fc4:unit1:reg0:qty30:serverPRIVATE_IP_026
90,1781647146.4638128,PRIVATE_IP_026,PRIVATE_IP_001,502,52028,response,88,0,63,1,4,4,Read Input Registers,False,,,,60.0,REDACTED_PAYLOAD,69,69,
92,1781647146.4643986,PRIVATE_IP_001,PRIVATE_IP_021,45928,502,query,88,0,6,1,3,3,Read Holding Registers,False,,0.0,100.0,,,12,12,fc3:unit1:reg0:qty100:serverPRIVATE_IP_021
93,1781647146.4701252,PRIVATE_IP_021,PRIVATE_IP_001,502,45928,response,88,0,203,1,3,3,Read Holding Registers,False,,,,200.0,REDACTED_PAYLOAD,209,209,
119,1781647146.5285718,PRIVATE_IP_001,PRIVATE_IP_013,57816,502,query,185,0,6,1,3,3,Read Holding Registers,False,,0.0,22.0,,,12,12,fc3:unit1:reg0:qty22:serverPRIVATE_IP_013
120,1781647146.5286384,PRIVATE_IP_001,PRIVATE_IP_010,55732,502,query,185,0,6,1,3,3,Read Holding Registers,False,,0.0,22.0,,,12,12,fc3:unit1:reg0:qty22:serverPRIVATE_IP_010
121,1781647146.5286741,PRIVATE_IP_001,PRIVATE_IP_015,59954,502,query,185,0,6,1,3,3,Read Holding Registers,False,,0.0,22.0,,,12,12,fc3:unit1:reg0:qty22:serverPRIVATE_IP_015
139,1781647146.53985,PRIVATE_IP_001,PRIVATE_IP_014,36868,502,query,185,0,6,1,3,3,Read Holding Registers,False,,0.0,22.0,,,12,12,fc3:unit1:reg0:qty22:serverPRIVATE_IP_014
140,1781647146.5399432,PRIVATE_IP_001,PRIVATE_IP_020,48838,502,query,185,0,6,1,3,3,Read Holding Registers,False,,0.0,76.0,,,12,12,fc3:unit1:reg0:qty76:serverPRIVATE_IP_020
141,1781647146.540032,PRIVATE_IP_001,PRIVATE_IP_019,42228,502,query,169,0,6,1,3,3,Read Holding Registers,False,,53.0,1.0,,,12,12,fc3:unit1:reg53:qty1:serverPRIVATE_IP_019
