request_frame,response_frame,client_ip,server_ip,transaction_id,unit_id,function_code,function_base,function_name,reference_num,quantity,register_signature,request_time_epoch,response_time_epoch,rtt_ms,status,is_exception,exception_code,request_bytes,response_bytes
1,2,PRIVATE_IP_001,PRIVATE_IP_019,87,1,3,3,Read Holding Registers,0.0,100.0,fc3:unit1:reg0:qty100:serverPRIVATE_IP_019,1781647145.4329202,1781647145.4379008,4.980564117431641,matched,False,,12,209
4,6,PRIVATE_IP_001,PRIVATE_IP_018,92,1,3,3,Read Holding Registers,0.0,100.0,fc3:unit1:reg0:qty100:serverPRIVATE_IP_018,1781647145.4484441,1781647145.4536061,5.16200065612793,matched,False,,12,209
5,8,PRIVATE_IP_001,PRIVATE_IP_017,87,1,3,3,Read Holding Registers,0.0,100.0,fc3:unit1:reg0:qty100:serverPRIVATE_IP_017,1781647145.4511867,1781647145.454741,3.5543441772460938,matched,False,,12,209
10,12,PRIVATE_IP_001,PRIVATE_IP_025,87,1,4,4,Read Input Registers,0.0,30.0,fc4:unit1:reg0:qty30:serverPRIVATE_IP_025,1781647145.4642203,1781647145.466518,2.297639846801758,matched,False,,12,69
11,15,PRIVATE_IP_001,PRIVATE_IP_020,87,1,3,3,Read Holding Registers,0.0,100.0,fc3:unit1:reg0:qty100:serverPRIVATE_IP_020,1781647145.46521,1781647145.4709556,5.745649337768555,matched,False,,12,209
52,56,PRIVATE_IP_001,PRIVATE_IP_021,248,1,3,3,Read Holding Registers,94.0,75.0,fc3:unit1:reg94:qty75:serverPRIVATE_IP_021,1781647145.5226102,1781647145.5309317,8.321523666381836,matched,False,,12,159
62,63,PRIVATE_IP_001,PRIVATE_IP_021,81,1,3,3,Read Holding Registers,0.0,86.0,fc3:unit1:reg0:qty86:serverPRIVATE_IP_021,1781647145.5540283,1781647145.5602794,6.251096725463867,matched,False,,12,181
65,66,PRIVATE_IP_001,PRIVATE_IP_021,82,1,3,3,Read Holding Registers,94.0,86.0,fc3:unit1:reg94:qty86:serverPRIVATE_IP_021,1781647145.5629754,1781647145.5730033,10.027885437011719,matched,False,,12,181
69,71,PRIVATE_IP_001,PRIVATE_IP_015,9,1,3,3,Read Holding Registers,300.0,22.0,fc3:unit1:reg300:qty22:serverPRIVATE_IP_015,1781647146.1072357,1781647146.1164598,9.224176406860352,matched,False,,12,53
73,74,PRIVATE_IP_001,PRIVATE_IP_015,10,1,3,3,Read Holding Registers,1.0,124.0,fc3:unit1:reg1:qty124:serverPRIVATE_IP_015,1781647146.1189265,1781647146.1249146,5.988121032714844,matched,False,,12,257
75,76,PRIVATE_IP_001,PRIVATE_IP_015,11,1,3,3,Read Holding Registers,125.0,88.0,fc3:unit1:reg125:qty88:serverPRIVATE_IP_015,1781647146.1324878,1781647146.1368394,4.351615905761719,matched,False,,12,185
77,78,PRIVATE_IP_001,PRIVATE_IP_015,12,1,3,3,Read Holding Registers,101.0,33.0,fc3:unit1:reg101:qty33:serverPRIVATE_IP_015,1781647146.139848,1781647146.1445434,4.695415496826172,matched,False,,12,75
80,81,PRIVATE_IP_001,PRIVATE_IP_019,88,1,3,3,Read Holding Registers,0.0,100.0,fc3:unit1:reg0:qty100:serverPRIVATE_IP_019,1781647146.433599,1781647146.4389148,5.3157806396484375,matched,False,,12,209
83,85,PRIVATE_IP_001,PRIVATE_IP_018,93,1,3,3,Read Holding Registers,0.0,100.0,fc3:unit1:reg0:qty100:serverPRIVATE_IP_018,1781647146.448966,1781647146.4536452,4.679203033447266,matched,False,,12,209
84,87,PRIVATE_IP_001,PRIVATE_IP_017,88,1,3,3,Read Holding Registers,0.0,100.0,fc3:unit1:reg0:qty100:serverPRIVATE_IP_017,1781647146.4513352,1781647146.4548748,3.539562225341797,matched,False,,12,209
89,90,PRIVATE_IP_001,PRIVATE_IP_025,88,1,4,4,Read Input Registers,0.0,30.0,fc4:unit1:reg0:qty30:serverPRIVATE_IP_025,1781647146.4616642,1781647146.4638128,2.1486282348632812,matched,False,,12,69
92,93,PRIVATE_IP_001,PRIVATE_IP_020,88,1,3,3,Read Holding Registers,0.0,100.0,fc3:unit1:reg0:qty100:serverPRIVATE_IP_020,1781647146.4643986,1781647146.4701252,5.72657585144043,matched,False,,12,209
119,158,PRIVATE_IP_001,PRIVATE_IP_012,185,1,3,3,Read Holding Registers,0.0,22.0,fc3:unit1:reg0:qty22:serverPRIVATE_IP_012,1781647146.5285718,1781647146.5478194,19.24753189086914,matched,False,,12,53
120,162,PRIVATE_IP_001,PRIVATE_IP_009,185,1,3,3,Read Holding Registers,0.0,22.0,fc3:unit1:reg0:qty22:serverPRIVATE_IP_009,1781647146.5286384,1781647146.5513315,22.693157196044922,matched,False,,12,53
121,156,PRIVATE_IP_001,PRIVATE_IP_014,185,1,3,3,Read Holding Registers,0.0,22.0,fc3:unit1:reg0:qty22:serverPRIVATE_IP_014,1781647146.5286741,1781647146.5456848,17.01068878173828,matched,False,,12,53
139,173,PRIVATE_IP_001,PRIVATE_IP_013,185,1,3,3,Read Holding Registers,0.0,22.0,fc3:unit1:reg0:qty22:serverPRIVATE_IP_013,1781647146.53985,1781647146.5613115,21.46148681640625,matched,False,,12,53
140,151,PRIVATE_IP_001,PRIVATE_IP_019,185,1,3,3,Read Holding Registers,0.0,76.0,fc3:unit1:reg0:qty76:serverPRIVATE_IP_019,1781647146.5399432,1781647146.5446107,4.667520523071289,matched,False,,12,161
141,147,PRIVATE_IP_001,PRIVATE_IP_018,169,1,3,3,Read Holding Registers,53.0,1.0,fc3:unit1:reg53:qty1:serverPRIVATE_IP_018,1781647146.540032,1781647146.5440614,4.029512405395508,matched,False,,12,11
142,149,PRIVATE_IP_001,PRIVATE_IP_017,169,1,3,3,Read Holding Registers,24.0,1.0,fc3:unit1:reg24:qty1:serverPRIVATE_IP_017,1781647146.540097,1781647146.544263,4.165887832641602,matched,False,,12,11
144,169,PRIVATE_IP_001,PRIVATE_IP_016,169,1,3,3,Read Holding Registers,1.0,1.0,fc3:unit1:reg1:qty1:serverPRIVATE_IP_016,1781647146.5401614,1781647146.556879,16.71767234802246,matched,True,2.0,12,9
160,165,PRIVATE_IP_001,PRIVATE_IP_015,81,1,3,3,Read Holding Registers,1.0,1.0,fc3:unit1:reg1:qty1:serverPRIVATE_IP_015,1781647146.5508864,1781647146.5565565,5.670070648193359,matched,False,,12,11
161,167,PRIVATE_IP_001,PRIVATE_IP_021,249,1,3,3,Read Holding Registers,0.0,75.0,fc3:unit1:reg0:qty75:serverPRIVATE_IP_021,1781647146.550965,1781647146.5567706,5.805492401123047,matched,False,,12,159
164,176,PRIVATE_IP_001,PRIVATE_IP_021,83,1,3,3,Read Holding Registers,0.0,86.0,fc3:unit1:reg0:qty86:serverPRIVATE_IP_021,1781647146.552448,1781647146.56237,9.922027587890625,matched,False,,12,181
171,175,PRIVATE_IP_001,PRIVATE_IP_015,82,1,3,3,Read Holding Registers,215.0,1.0,fc3:unit1:reg215:qty1:serverPRIVATE_IP_015,1781647146.5584934,1781647146.561571,3.0775070190429688,matched,False,,12,11
172,179,PRIVATE_IP_001,PRIVATE_IP_021,250,1,3,3,Read Holding Registers,3.0,1.0,fc3:unit1:reg3:qty1:serverPRIVATE_IP_021,1781647146.5585496,1781647146.567392,8.84246826171875,matched,False,,12,11
178,181,PRIVATE_IP_001,PRIVATE_IP_021,84,1,3,3,Read Holding Registers,94.0,86.0,fc3:unit1:reg94:qty86:serverPRIVATE_IP_021,1781647146.5647087,1781647146.5718818,7.173061370849609,matched,False,,12,181
180,182,PRIVATE_IP_001,PRIVATE_IP_021,251,1,3,3,Read Holding Registers,97.0,1.0,fc3:unit1:reg97:qty1:serverPRIVATE_IP_021,1781647146.5690846,1781647146.577485,8.400440216064453,matched,False,,12,11
186,187,PRIVATE_IP_001,PRIVATE_IP_015,13,1,3,3,Read Holding Registers,300.0,22.0,fc3:unit1:reg300:qty22:serverPRIVATE_IP_015,1781647147.1063094,1781647147.1116767,5.367279052734375,matched,False,,12,53
189,190,PRIVATE_IP_001,PRIVATE_IP_015,14,1,3,3,Read Holding Registers,1.0,124.0,fc3:unit1:reg1:qty124:serverPRIVATE_IP_015,1781647147.1176395,1781647147.1249068,7.267236709594727,matched,False,,12,257
191,192,PRIVATE_IP_001,PRIVATE_IP_015,15,1,3,3,Read Holding Registers,125.0,88.0,fc3:unit1:reg125:qty88:serverPRIVATE_IP_015,1781647147.1316013,1781647147.1387193,7.117986679077148,matched,False,,12,185
193,194,PRIVATE_IP_001,PRIVATE_IP_015,16,1,3,3,Read Holding Registers,101.0,33.0,fc3:unit1:reg101:qty33:serverPRIVATE_IP_015,1781647147.1419852,1781647147.1478052,5.820035934448242,matched,False,,12,75
196,197,PRIVATE_IP_001,PRIVATE_IP_019,89,1,3,3,Read Holding Registers,0.0,100.0,fc3:unit1:reg0:qty100:serverPRIVATE_IP_019,1781647147.4382381,1781647147.443985,5.7468414306640625,matched,False,,12,209
199,201,PRIVATE_IP_001,PRIVATE_IP_018,94,1,3,3,Read Holding Registers,0.0,100.0,fc3:unit1:reg0:qty100:serverPRIVATE_IP_018,1781647147.449493,1781647147.454618,5.1250457763671875,matched,False,,12,209
200,203,PRIVATE_IP_001,PRIVATE_IP_017,89,1,3,3,Read Holding Registers,0.0,100.0,fc3:unit1:reg0:qty100:serverPRIVATE_IP_017,1781647147.4514172,1781647147.4572663,5.849123001098633,matched,False,,12,209
205,207,PRIVATE_IP_001,PRIVATE_IP_025,89,1,4,4,Read Input Registers,0.0,30.0,fc4:unit1:reg0:qty30:serverPRIVATE_IP_025,1781647147.4639118,1781647147.4662051,2.2933483123779297,matched,False,,12,69
206,209,PRIVATE_IP_001,PRIVATE_IP_020,89,1,3,3,Read Holding Registers,0.0,100.0,fc3:unit1:reg0:qty100:serverPRIVATE_IP_020,1781647147.4642894,1781647147.4702032,5.913734436035156,matched,False,,12,209
246,250,PRIVATE_IP_001,PRIVATE_IP_021,252,1,3,3,Read Holding Registers,94.0,75.0,fc3:unit1:reg94:qty75:serverPRIVATE_IP_021,1781647147.5230985,1781647147.529879,6.7806243896484375,matched,False,,12,159
256,257,PRIVATE_IP_001,PRIVATE_IP_021,85,1,3,3,Read Holding Registers,0.0,86.0,fc3:unit1:reg0:qty86:serverPRIVATE_IP_021,1781647147.5532448,1781647147.5621061,8.861303329467773,matched,False,,12,181
259,260,PRIVATE_IP_001,PRIVATE_IP_021,86,1,3,3,Read Holding Registers,94.0,86.0,fc3:unit1:reg94:qty86:serverPRIVATE_IP_021,1781647147.5695062,1781647147.5750852,5.5789947509765625,matched,False,,12,181
