server_ip,unit_id,function_base,function_name,reference_num,quantity,register_signature,transactions,rtt_avg_ms,rtt_p95_ms,first_seen,last_seen
PRIVATE_IP_018,1,3,Read Holding Registers,0.0,100.0,fc3:unit1:reg0:qty100:serverPRIVATE_IP_018,300,4.792001247406006,6.650280952453614,1781647145.4511867,1781647444.6142542
PRIVATE_IP_021,1,3,Read Holding Registers,0.0,100.0,fc3:unit1:reg0:qty100:serverPRIVATE_IP_021,300,5.00049352645874,7.5925588607788095,1781647145.46521,1781647444.6144757
PRIVATE_IP_019,1,3,Read Holding Registers,0.0,100.0,fc3:unit1:reg0:qty100:serverPRIVATE_IP_019,300,4.84596570332845,6.008863449096681,1781647145.4484441,1781647444.6002195
PRIVATE_IP_020,1,3,Read Holding Registers,0.0,100.0,fc3:unit1:reg0:qty100:serverPRIVATE_IP_020,300,5.409463246663411,6.439709663391113,1781647145.4329202,1781647444.5847654
PRIVATE_IP_022,1,3,Read Holding Registers,0.0,86.0,fc3:unit1:reg0:qty86:serverPRIVATE_IP_022,300,7.873785495758057,11.717605590820312,1781647145.5540283,1781647444.6923568
PRIVATE_IP_022,1,3,Read Holding Registers,94.0,86.0,fc3:unit1:reg94:qty86:serverPRIVATE_IP_022,300,7.458974520365397,11.105608940124512,1781647145.5629754,1781647444.7062685
PRIVATE_IP_026,1,4,Read Input Registers,0.0,30.0,fc4:unit1:reg0:qty30:serverPRIVATE_IP_026,300,2.2271927197774253,3.0213832855224623,1781647145.4642203,1781647444.6144001
PRIVATE_IP_016,1,3,Read Holding Registers,1.0,124.0,fc3:unit1:reg1:qty124:serverPRIVATE_IP_016,299,5.868869481676797,8.44259262084961,1781647146.1189265,1781647444.2773952
PRIVATE_IP_016,1,3,Read Holding Registers,101.0,33.0,fc3:unit1:reg101:qty33:serverPRIVATE_IP_016,299,5.559977879093642,7.87265300750732,1781647146.139848,1781647444.29734
PRIVATE_IP_016,1,3,Read Holding Registers,300.0,22.0,fc3:unit1:reg300:qty22:serverPRIVATE_IP_016,299,5.981816894633315,8.392906188964835,1781647146.1072357,1781647444.2600543
PRIVATE_IP_016,1,3,Read Holding Registers,125.0,88.0,fc3:unit1:reg125:qty88:serverPRIVATE_IP_016,299,5.911554381201499,8.450818061828612,1781647146.1324878,1781647444.284728
PRIVATE_IP_022,1,3,Read Holding Registers,0.0,75.0,fc3:unit1:reg0:qty75:serverPRIVATE_IP_022,150,6.950368881225586,10.34424304962158,1781647146.550965,1781647444.6908104
PRIVATE_IP_019,1,3,Read Holding Registers,53.0,1.0,fc3:unit1:reg53:qty1:serverPRIVATE_IP_019,150,4.190559387207031,5.395603179931639,1781647146.540032,1781647444.682507
PRIVATE_IP_017,1,3,Read Holding Registers,1.0,1.0,fc3:unit1:reg1:qty1:serverPRIVATE_IP_017,150,24.09536361694336,63.97793292999238,1781647146.5401614,1781647444.6875482
PRIVATE_IP_020,1,3,Read Holding Registers,0.0,76.0,fc3:unit1:reg0:qty76:serverPRIVATE_IP_020,150,5.118700663248698,6.457912921905515,1781647146.5399432,1781647444.6824598
PRIVATE_IP_018,1,3,Read Holding Registers,24.0,1.0,fc3:unit1:reg24:qty1:serverPRIVATE_IP_018,150,4.280743598937988,5.895447731018065,1781647146.540097,1781647444.6825366
PRIVATE_IP_022,1,3,Read Holding Registers,3.0,1.0,fc3:unit1:reg3:qty1:serverPRIVATE_IP_022,150,6.9591569900512695,10.346078872680664,1781647146.5585496,1781647444.7018597
PRIVATE_IP_013,1,3,Read Holding Registers,0.0,22.0,fc3:unit1:reg0:qty22:serverPRIVATE_IP_013,150,19.914604822794598,24.917054176330563,1781647146.5285718,1781647444.6798134
PRIVATE_IP_010,1,3,Read Holding Registers,0.0,22.0,fc3:unit1:reg0:qty22:serverPRIVATE_IP_010,150,19.591549237569172,24.842107295989983,1781647146.5286384,1781647444.6798642
PRIVATE_IP_022,1,3,Read Holding Registers,97.0,1.0,fc3:unit1:reg97:qty1:serverPRIVATE_IP_022,150,6.899782816569011,10.217785835266112,1781647146.5690846,1781647444.7128627
PRIVATE_IP_022,1,3,Read Holding Registers,94.0,75.0,fc3:unit1:reg94:qty75:serverPRIVATE_IP_022,150,7.815788586934407,12.422287464141842,1781647145.5226102,1781647443.6841757
PRIVATE_IP_016,1,3,Read Holding Registers,1.0,1.0,fc3:unit1:reg1:qty1:serverPRIVATE_IP_016,150,5.720992088317871,9.492909908294678,1781647146.5508864,1781647444.687605
PRIVATE_IP_015,1,3,Read Holding Registers,0.0,22.0,fc3:unit1:reg0:qty22:serverPRIVATE_IP_015,150,19.709882736206055,25.055980682373047,1781647146.5286741,1781647444.6798973
PRIVATE_IP_014,1,3,Read Holding Registers,0.0,22.0,fc3:unit1:reg0:qty22:serverPRIVATE_IP_014,150,19.527502059936523,23.969447612762448,1781647146.53985,1781647444.6799273
PRIVATE_IP_016,1,3,Read Holding Registers,215.0,1.0,fc3:unit1:reg215:qty1:serverPRIVATE_IP_016,150,5.514756838480632,8.298349380493162,1781647146.5584934,1781647444.6951587
