server_ip,function_base,function_name,transactions,rtt_min_ms,rtt_avg_ms,rtt_median_ms,rtt_p95_ms,rtt_max_ms
PRIVATE_IP_015,3,Read Holding Registers,1496,2.7887821197509766,5.7879048872759,5.624294281005859,8.360147476196289,11.643171310424805
PRIVATE_IP_021,3,Read Holding Registers,1200,2.890348434448242,7.411327163378398,7.050871849060059,11.312365531921387,19.9735164642334
PRIVATE_IP_017,3,Read Holding Registers,450,2.646207809448242,4.62158203125,4.518985748291016,6.323564052581784,15.835285186767578
PRIVATE_IP_018,3,Read Holding Registers,450,2.5892257690429688,4.627496931287977,4.579424858093262,5.939960479736327,14.240741729736328
PRIVATE_IP_019,3,Read Holding Registers,450,3.8318634033203125,5.312542385525173,5.245208740234375,6.4423322677612305,25.629043579101562
PRIVATE_IP_025,4,Read Input Registers,300,1.7108917236328125,2.2271927197774253,2.1152496337890625,3.0213832855224623,4.623651504516602
PRIVATE_IP_020,3,Read Holding Registers,300,3.1232833862304688,5.00049352645874,4.786372184753418,7.5925588607788095,13.328790664672852
PRIVATE_IP_016,3,Read Holding Registers,150,13.58938217163086,24.09536361694336,17.34483242034912,63.97793292999238,129.42838668823242
PRIVATE_IP_009,3,Read Holding Registers,150,13.943672180175781,19.591549237569172,19.682645797729492,24.842107295989983,30.132532119750977
PRIVATE_IP_012,3,Read Holding Registers,150,14.126300811767578,19.914604822794598,19.472837448120117,24.917054176330563,29.773473739624023
PRIVATE_IP_013,3,Read Holding Registers,150,14.109611511230469,19.527502059936523,19.162893295288086,23.969447612762448,38.0401611328125
PRIVATE_IP_014,3,Read Holding Registers,150,13.754844665527344,19.709882736206055,19.7446346282959,25.055980682373047,29.80327606201172
