frame_index,time_epoch,src_ip,dst_ip,src_port,dst_port,direction,payload_bytes,syn,fin,rst,ack,probable_retransmission
1,1781647145.4329202,PRIVATE_IP_001,PRIVATE_IP_019,48364,502,query,12,0,0,0,1,0
2,1781647145.4379008,PRIVATE_IP_019,PRIVATE_IP_001,502,48364,response,209,0,0,0,1,0
3,1781647145.437956,PRIVATE_IP_001,PRIVATE_IP_019,48364,502,query,0,0,0,0,1,0
4,1781647145.4484441,PRIVATE_IP_001,PRIVATE_IP_018,39078,502,query,12,0,0,0,1,0
5,1781647145.4511867,PRIVATE_IP_001,PRIVATE_IP_017,51812,502,query,12,0,0,0,1,0
6,1781647145.4536061,PRIVATE_IP_018,PRIVATE_IP_001,502,39078,response,209,0,0,0,1,0
7,1781647145.453764,PRIVATE_IP_001,PRIVATE_IP_018,39078,502,query,0,0,0,0,1,0
8,1781647145.454741,PRIVATE_IP_017,PRIVATE_IP_001,502,51812,response,209,0,0,0,1,0
9,1781647145.454794,PRIVATE_IP_001,PRIVATE_IP_017,51812,502,query,0,0,0,0,1,0
10,1781647145.4642203,PRIVATE_IP_001,PRIVATE_IP_025,52028,502,query,12,0,0,0,1,0
11,1781647145.46521,PRIVATE_IP_001,PRIVATE_IP_020,45928,502,query,12,0,0,0,1,0
12,1781647145.466518,PRIVATE_IP_025,PRIVATE_IP_001,502,52028,response,69,0,0,0,1,0
13,1781647145.4665961,PRIVATE_IP_001,PRIVATE_IP_025,52028,502,query,0,0,0,0,1,0
14,1781647145.4685225,PRIVATE_IP_020,PRIVATE_IP_001,502,45928,response,0,0,0,0,1,0
15,1781647145.4709556,PRIVATE_IP_020,PRIVATE_IP_001,502,45928,response,209,0,0,0,1,0
16,1781647145.471043,PRIVATE_IP_001,PRIVATE_IP_020,45928,502,query,0,0,0,0,1,0
17,1781647145.5118616,PRIVATE_IP_001,PRIVATE_IP_015,57298,502,query,0,1,0,0,0,0
18,1781647145.5119114,PRIVATE_IP_001,PRIVATE_IP_017,42722,502,query,0,1,0,0,0,0
19,1781647145.511944,PRIVATE_IP_001,PRIVATE_IP_018,48328,502,query,0,1,0,0,0,0
20,1781647145.5119696,PRIVATE_IP_001,PRIVATE_IP_020,41766,502,query,0,1,0,0,0,0
21,1781647145.5119958,PRIVATE_IP_001,PRIVATE_IP_015,57312,502,query,0,1,0,0,0,0
