bucket,time_start_s,function_base,function_name,direction,adu_count,adu_bytes
0,0.0,3,Read Holding Registers,query,79,948
0,0.0,3,Read Holding Registers,response,79,10531
0,0.0,4,Read Input Registers,query,5,60
0,0.0,4,Read Input Registers,response,5,345
1,5.0,3,Read Holding Registers,query,91,1092
1,5.0,3,Read Holding Registers,response,91,10979
1,5.0,4,Read Input Registers,query,5,60
1,5.0,4,Read Input Registers,response,5,345
2,10.0,3,Read Holding Registers,query,79,948
2,10.0,3,Read Holding Registers,response,79,10531
2,10.0,4,Read Input Registers,query,5,60
2,10.0,4,Read Input Registers,response,5,345
3,15.0,3,Read Holding Registers,query,91,1092
3,15.0,3,Read Holding Registers,response,91,10979
3,15.0,4,Read Input Registers,query,5,60
3,15.0,4,Read Input Registers,response,5,345
4,20.0,3,Read Holding Registers,query,79,948
4,20.0,3,Read Holding Registers,response,79,10531
4,20.0,4,Read Input Registers,query,5,60
4,20.0,4,Read Input Registers,response,5,345
5,25.0,3,Read Holding Registers,query,91,1092
5,25.0,3,Read Holding Registers,response,91,10979
5,25.0,4,Read Input Registers,query,5,60
5,25.0,4,Read Input Registers,response,5,345
6,30.0,3,Read Holding Registers,query,79,948
6,30.0,3,Read Holding Registers,response,79,10531
6,30.0,4,Read Input Registers,query,5,60
6,30.0,4,Read Input Registers,response,5,345
7,35.0,3,Read Holding Registers,query,91,1092
7,35.0,3,Read Holding Registers,response,91,10979
7,35.0,4,Read Input Registers,query,5,60
7,35.0,4,Read Input Registers,response,5,345
8,40.0,3,Read Holding Registers,query,79,948
8,40.0,3,Read Holding Registers,response,79,10531
8,40.0,4,Read Input Registers,query,5,60
8,40.0,4,Read Input Registers,response,5,345
9,45.0,3,Read Holding Registers,query,91,1092
9,45.0,3,Read Holding Registers,response,91,10979
9,45.0,4,Read Input Registers,query,5,60
9,45.0,4,Read Input Registers,response,5,345
10,50.0,3,Read Holding Registers,query,79,948
10,50.0,3,Read Holding Registers,response,79,10531
10,50.0,4,Read Input Registers,query,5,60
10,50.0,4,Read Input Registers,response,5,345
11,55.0,3,Read Holding Registers,query,91,1092
11,55.0,3,Read Holding Registers,response,91,10979
11,55.0,4,Read Input Registers,query,5,60
11,55.0,4,Read Input Registers,response,5,345
12,60.0,3,Read Holding Registers,query,79,948
12,60.0,3,Read Holding Registers,response,79,10531
12,60.0,4,Read Input Registers,query,5,60
12,60.0,4,Read Input Registers,response,5,345
13,65.0,3,Read Holding Registers,query,91,1092
13,65.0,3,Read Holding Registers,response,91,10979
13,65.0,4,Read Input Registers,query,5,60
13,65.0,4,Read Input Registers,response,5,345
14,70.0,3,Read Holding Registers,query,79,948
14,70.0,3,Read Holding Registers,response,79,10531
14,70.0,4,Read Input Registers,query,5,60
14,70.0,4,Read Input Registers,response,5,345
15,75.0,3,Read Holding Registers,query,91,1092
15,75.0,3,Read Holding Registers,response,91,10979
15,75.0,4,Read Input Registers,query,5,60
15,75.0,4,Read Input Registers,response,5,345
16,80.0,3,Read Holding Registers,query,79,948
16,80.0,3,Read Holding Registers,response,79,10531
16,80.0,4,Read Input Registers,query,5,60
16,80.0,4,Read Input Registers,response,5,345
17,85.0,3,Read Holding Registers,query,91,1092
17,85.0,3,Read Holding Registers,response,91,10979
17,85.0,4,Read Input Registers,query,5,60
17,85.0,4,Read Input Registers,response,5,345
18,90.0,3,Read Holding Registers,query,79,948
18,90.0,3,Read Holding Registers,response,79,10531
18,90.0,4,Read Input Registers,query,5,60
18,90.0,4,Read Input Registers,response,5,345
19,95.0,3,Read Holding Registers,query,91,1092
19,95.0,3,Read Holding Registers,response,91,10979
19,95.0,4,Read Input Registers,query,5,60
19,95.0,4,Read Input Registers,response,5,345
20,100.0,3,Read Holding Registers,query,79,948
20,100.0,3,Read Holding Registers,response,79,10531
20,100.0,4,Read Input Registers,query,5,60
20,100.0,4,Read Input Registers,response,5,345
21,105.0,3,Read Holding Registers,query,91,1092
21,105.0,3,Read Holding Registers,response,91,10979
21,105.0,4,Read Input Registers,query,5,60
21,105.0,4,Read Input Registers,response,5,345
22,110.0,3,Read Holding Registers,query,79,948
22,110.0,3,Read Holding Registers,response,79,10531
22,110.0,4,Read Input Registers,query,5,60
22,110.0,4,Read Input Registers,response,5,345
23,115.0,3,Read Holding Registers,query,91,1092
23,115.0,3,Read Holding Registers,response,91,10979
23,115.0,4,Read Input Registers,query,5,60
23,115.0,4,Read Input Registers,response,5,345
24,120.0,3,Read Holding Registers,query,79,948
24,120.0,3,Read Holding Registers,response,79,10531
24,120.0,4,Read Input Registers,query,5,60
24,120.0,4,Read Input Registers,response,5,345
25,125.0,3,Read Holding Registers,query,91,1092
25,125.0,3,Read Holding Registers,response,91,10979
25,125.0,4,Read Input Registers,query,5,60
25,125.0,4,Read Input Registers,response,5,345
26,130.0,3,Read Holding Registers,query,79,948
26,130.0,3,Read Holding Registers,response,79,10531
26,130.0,4,Read Input Registers,query,5,60
26,130.0,4,Read Input Registers,response,5,345
27,135.0,3,Read Holding Registers,query,91,1092
27,135.0,3,Read Holding Registers,response,91,10979
27,135.0,4,Read Input Registers,query,5,60
27,135.0,4,Read Input Registers,response,5,345
28,140.0,3,Read Holding Registers,query,79,948
28,140.0,3,Read Holding Registers,response,79,10531
28,140.0,4,Read Input Registers,query,5,60
28,140.0,4,Read Input Registers,response,5,345
29,145.0,3,Read Holding Registers,query,91,1092
29,145.0,3,Read Holding Registers,response,91,10979
29,145.0,4,Read Input Registers,query,5,60
29,145.0,4,Read Input Registers,response,5,345
30,150.0,3,Read Holding Registers,query,79,948
30,150.0,3,Read Holding Registers,response,79,10531
30,150.0,4,Read Input Registers,query,5,60
30,150.0,4,Read Input Registers,response,5,345
31,155.0,3,Read Holding Registers,query,91,1092
31,155.0,3,Read Holding Registers,response,91,10979
31,155.0,4,Read Input Registers,query,5,60
31,155.0,4,Read Input Registers,response,5,345
32,160.0,3,Read Holding Registers,query,79,948
32,160.0,3,Read Holding Registers,response,79,10531
32,160.0,4,Read Input Registers,query,5,60
32,160.0,4,Read Input Registers,response,5,345
33,165.0,3,Read Holding Registers,query,91,1092
33,165.0,3,Read Holding Registers,response,91,10979
33,165.0,4,Read Input Registers,query,5,60
33,165.0,4,Read Input Registers,response,5,345
34,170.0,3,Read Holding Registers,query,79,948
34,170.0,3,Read Holding Registers,response,79,10531
34,170.0,4,Read Input Registers,query,5,60
34,170.0,4,Read Input Registers,response,5,345
35,175.0,3,Read Holding Registers,query,91,1092
35,175.0,3,Read Holding Registers,response,91,10979
35,175.0,4,Read Input Registers,query,5,60
35,175.0,4,Read Input Registers,response,5,345
36,180.0,3,Read Holding Registers,query,79,948
36,180.0,3,Read Holding Registers,response,79,10531
36,180.0,4,Read Input Registers,query,5,60
36,180.0,4,Read Input Registers,response,5,345
37,185.0,3,Read Holding Registers,query,91,1092
37,185.0,3,Read Holding Registers,response,91,10979
37,185.0,4,Read Input Registers,query,5,60
37,185.0,4,Read Input Registers,response,5,345
38,190.0,3,Read Holding Registers,query,79,948
38,190.0,3,Read Holding Registers,response,79,10531
38,190.0,4,Read Input Registers,query,5,60
38,190.0,4,Read Input Registers,response,5,345
39,195.0,3,Read Holding Registers,query,91,1092
39,195.0,3,Read Holding Registers,response,91,10979
39,195.0,4,Read Input Registers,query,5,60
39,195.0,4,Read Input Registers,response,5,345
40,200.0,3,Read Holding Registers,query,79,948
40,200.0,3,Read Holding Registers,response,79,10531
40,200.0,4,Read Input Registers,query,5,60
40,200.0,4,Read Input Registers,response,5,345
41,205.0,3,Read Holding Registers,query,91,1092
41,205.0,3,Read Holding Registers,response,91,10979
41,205.0,4,Read Input Registers,query,5,60
41,205.0,4,Read Input Registers,response,5,345
42,210.0,3,Read Holding Registers,query,79,948
42,210.0,3,Read Holding Registers,response,79,10531
42,210.0,4,Read Input Registers,query,5,60
42,210.0,4,Read Input Registers,response,5,345
43,215.0,3,Read Holding Registers,query,91,1092
43,215.0,3,Read Holding Registers,response,91,10979
43,215.0,4,Read Input Registers,query,5,60
43,215.0,4,Read Input Registers,response,5,345
44,220.0,3,Read Holding Registers,query,79,948
44,220.0,3,Read Holding Registers,response,79,10531
44,220.0,4,Read Input Registers,query,5,60
44,220.0,4,Read Input Registers,response,5,345
45,225.0,3,Read Holding Registers,query,91,1092
45,225.0,3,Read Holding Registers,response,91,10979
45,225.0,4,Read Input Registers,query,5,60
45,225.0,4,Read Input Registers,response,5,345
46,230.0,3,Read Holding Registers,query,79,948
46,230.0,3,Read Holding Registers,response,79,10531
46,230.0,4,Read Input Registers,query,5,60
46,230.0,4,Read Input Registers,response,5,345
47,235.0,3,Read Holding Registers,query,91,1092
47,235.0,3,Read Holding Registers,response,91,10979
47,235.0,4,Read Input Registers,query,5,60
47,235.0,4,Read Input Registers,response,5,345
48,240.0,3,Read Holding Registers,query,79,948
48,240.0,3,Read Holding Registers,response,79,10531
48,240.0,4,Read Input Registers,query,5,60
48,240.0,4,Read Input Registers,response,5,345
49,245.0,3,Read Holding Registers,query,91,1092
49,245.0,3,Read Holding Registers,response,91,10979
49,245.0,4,Read Input Registers,query,5,60
49,245.0,4,Read Input Registers,response,5,345
50,250.0,3,Read Holding Registers,query,79,948
50,250.0,3,Read Holding Registers,response,79,10531
50,250.0,4,Read Input Registers,query,5,60
50,250.0,4,Read Input Registers,response,5,345
51,255.0,3,Read Holding Registers,query,91,1092
51,255.0,3,Read Holding Registers,response,91,10979
51,255.0,4,Read Input Registers,query,5,60
51,255.0,4,Read Input Registers,response,5,345
52,260.0,3,Read Holding Registers,query,79,948
52,260.0,3,Read Holding Registers,response,79,10531
52,260.0,4,Read Input Registers,query,5,60
52,260.0,4,Read Input Registers,response,5,345
53,265.0,3,Read Holding Registers,query,91,1092
53,265.0,3,Read Holding Registers,response,91,10979
53,265.0,4,Read Input Registers,query,5,60
53,265.0,4,Read Input Registers,response,5,345
54,270.0,3,Read Holding Registers,query,79,948
54,270.0,3,Read Holding Registers,response,79,10531
54,270.0,4,Read Input Registers,query,5,60
54,270.0,4,Read Input Registers,response,5,345
55,275.0,3,Read Holding Registers,query,91,1092
55,275.0,3,Read Holding Registers,response,91,10979
55,275.0,4,Read Input Registers,query,5,60
55,275.0,4,Read Input Registers,response,5,345
56,280.0,3,Read Holding Registers,query,79,948
56,280.0,3,Read Holding Registers,response,79,10531
56,280.0,4,Read Input Registers,query,5,60
56,280.0,4,Read Input Registers,response,5,345
57,285.0,3,Read Holding Registers,query,91,1092
57,285.0,3,Read Holding Registers,response,91,10979
57,285.0,4,Read Input Registers,query,5,60
57,285.0,4,Read Input Registers,response,5,345
58,290.0,3,Read Holding Registers,query,79,948
58,290.0,3,Read Holding Registers,response,79,10531
58,290.0,4,Read Input Registers,query,5,60
58,290.0,4,Read Input Registers,response,5,345
59,295.0,3,Read Holding Registers,query,87,1044
59,295.0,3,Read Holding Registers,response,87,10409
59,295.0,4,Read Input Registers,query,5,60
59,295.0,4,Read Input Registers,response,5,345
