rank,process,avg_rss_mib,max_rss_mib,avg_vsz_mib,avg_mem_pct,max_mem_pct,cumulative_rss_mib,samples,source_files
1,node-red,262.689,266.051,11168.721,1.094,1.110,262.689,501,pidstat_all.log
2,tshark,144.250,144.250,851.791,0.600,0.600,406.939,2,pidstat_all.log
3,node,118.457,545.691,6282.214,0.496,2.270,525.396,36,pidstat_all.log
4,dockerd,103.000,105.570,3523.961,0.429,0.440,628.396,29,pidstat_all.log
5,systemd-journal,92.823,93.418,173.094,0.388,0.390,721.219,124,pidstat_all.log
6,snapd,44.916,44.957,2241.480,0.190,0.190,766.136,7,pidstat_all.log
7,postgres,42.975,142.527,178.885,0.178,0.590,809.111,2494,pidstat_all.log
8,containerd,41.912,42.094,2185.691,0.171,0.180,851.023,16,pidstat_all.log
9,wazuh-logcollec,39.605,40.121,1291.246,0.164,0.170,890.628,24,pidstat_all.log
10,systemd,13.738,13.750,22.223,0.060,0.060,904.366,138,pidstat_all.log
11,runc:[2:INIT],12.004,12.004,1570.188,0.050,0.050,916.370,2,pidstat_all.log
12,runc,11.500,11.500,1809.336,0.050,0.050,927.870,3,pidstat_all.log
13,containerd-shim,11.380,12.008,1204.945,0.048,0.050,939.250,197,pidstat_all.log
14,wazuh-agentd,9.075,9.188,243.426,0.040,0.040,948.324,213,pidstat_all.log
15,dumpcap,7.250,7.250,12.922,0.030,0.030,955.574,3,pidstat_all.log
16,systemd-udevd,6.695,6.695,27.699,0.030,0.030,962.270,192,pidstat_all.log
17,pidstat,5.875,5.875,9.230,0.020,0.020,968.145,5,pidstat_all.log
18,nginx,5.649,5.875,40.321,0.020,0.020,973.794,18,pidstat_all.log
19,dbus-daemon,5.445,5.445,9.844,0.020,0.020,979.239,2,pidstat_all.log
20,mtr,4.771,5.250,6.551,0.018,0.020,984.010,5,pidstat_all.log
21,(udev-worker),4.164,4.258,27.703,0.020,0.020,988.175,194,pidstat_all.log
22,bash,3.746,4.000,8.235,0.014,0.020,991.921,42,pidstat_all.log
23,cron,2.750,2.750,6.664,0.010,0.010,994.671,3,pidstat_all.log
24,ping,2.625,2.625,7.492,0.010,0.010,997.296,12,pidstat_all.log
25,sar,2.375,2.375,5.676,0.010,0.010,999.671,3,pidstat_all.log
26,sleep,2.000,2.000,5.551,0.010,0.010,1001.671,27,pidstat_all.log
27,mtr-packet,1.750,1.750,2.637,0.010,0.010,1003.421,1,pidstat_all.log
