sample,elapsed_s,mem_total_mib,swpd_mib,free_mib,buff_mib,cache_mib,available_proxy_mib,used_including_cache_mib,used_including_cache_pct,used_without_buffer_cache_mib,used_without_buffer_cache_pct,swap_in_kib_s,swap_out_kib_s,context_switches_s,cpu_user_pct,cpu_system_pct,cpu_idle_pct,cpu_iowait_pct
1,0,24032.0,2.2734375,1312.5,392.6796875,19932.04296875,21637.22265625,22719.5,94.53853195739015,2394.77734375,9.964952329186087,0.0,0.0,3635.0,7.0,7.0,86.0,0.0
2,1,24032.0,2.2734375,1326.2578125,392.6796875,19932.125,21651.0625,22705.7421875,94.4812840691578,2380.9375,9.907363099201065,0.0,0.0,1702.0,2.0,2.0,96.0,0.0
3,2,24032.0,2.2734375,1325.61328125,392.6796875,19932.15625,21650.44921875,22706.38671875,94.48396604007158,2381.55078125,9.90991503516145,0.0,0.0,2303.0,3.0,3.0,94.0,0.0
4,3,24032.0,2.2734375,1327.7578125,392.6796875,19932.1796875,21652.6171875,22704.2421875,94.47504239139481,2379.3828125,9.90089386026964,0.0,0.0,1789.0,1.0,2.0,97.0,0.0
5,4,24032.0,2.2734375,1326.1328125,392.6796875,19932.2109375,21651.0234375,22705.8671875,94.48180420897138,2380.9765625,9.90752564289281,0.0,0.0,2120.0,2.0,2.0,96.0,0.0
6,5,24032.0,2.2734375,1343.23046875,392.6875,19932.24609375,21668.1640625,22688.76953125,94.41065883509488,2363.8359375,9.836201470955393,0.0,0.0,2766.0,3.0,4.0,93.0,0.0
7,6,24032.0,2.2734375,1338.55859375,392.6875,19932.26953125,21663.515625,22693.44140625,94.4300990606275,2368.484375,9.85554417027297,0.0,0.0,2213.0,3.0,2.0,95.0,0.0
8,7,24032.0,2.2734375,1337.8203125,392.6875,19932.296875,21662.8046875,22694.1796875,94.43317113640146,2369.1953125,9.858502465462717,0.0,0.0,1682.0,2.0,2.0,97.0,0.0
9,8,24032.0,2.2734375,1336.34375,392.6875,19932.328125,21661.359375,22695.65625,94.4393152879494,2370.640625,9.864516582057258,0.0,0.0,1979.0,2.0,2.0,96.0,0.0
10,9,24032.0,2.2734375,1342.24609375,392.6875,19932.34765625,21667.28125,22689.75390625,94.41475493612683,2364.71875,9.839874958388815,0.0,0.0,1783.0,2.0,2.0,96.0,0.0
11,10,24032.0,2.2734375,1340.28125,392.6875,19932.3828125,21665.3515625,22691.71875,94.42293088382158,2366.6484375,9.847904616760985,0.0,0.0,1926.0,2.0,1.0,97.0,0.0
12,11,24032.0,2.2734375,1340.59375,392.6875,19932.5546875,21665.8359375,22691.40625,94.42163053428762,2366.1640625,9.845889074983354,0.0,0.0,2841.0,3.0,3.0,94.0,0.0
13,12,24032.0,2.2734375,1340.375,392.6875,19932.57421875,21665.63671875,22691.625,94.42254077896138,2366.36328125,9.846718047811253,0.0,0.0,2258.0,2.0,2.0,96.0,0.0
14,13,24032.0,2.2734375,1345.25,392.6875,19932.5859375,21670.5234375,22686.75,94.40225532623168,2361.4765625,9.826383831974034,0.0,0.0,1812.0,2.0,2.0,96.0,0.0
15,14,24032.0,2.2734375,1344.07421875,392.6875,19932.62890625,21669.390625,22687.92578125,94.40714789135319,2362.609375,9.83109759903462,0.0,0.0,1812.0,2.0,2.0,96.0,0.0
16,15,24032.0,2.2734375,1345.38671875,392.6875,19932.66015625,21670.734375,22686.61328125,94.40168642331058,2361.265625,9.825506096038614,0.0,0.0,1785.0,2.0,2.0,97.0,0.0
17,16,24032.0,2.2734375,1345.66015625,392.6875,19932.69921875,21671.046875,22686.33984375,94.40054861746837,2360.953125,9.82420574650466,0.0,0.0,2619.0,3.0,3.0,93.0,0.0
18,17,24032.0,2.2734375,1348.4453125,392.6875,19932.73828125,21673.87109375,22683.5546875,94.388959252247,2358.12890625,9.812453837591544,0.0,0.0,5172.0,3.0,3.0,94.0,0.0
19,18,24032.0,2.2734375,1345.0625,392.6875,19932.75390625,21670.50390625,22686.9375,94.40303553595206,2361.49609375,9.826465103819906,0.0,0.0,2450.0,4.0,2.0,94.0,0.0
20,19,24032.0,2.2734375,1354.41015625,392.6875,19932.7734375,21679.87109375,22677.58984375,94.36413883051765,2352.12890625,9.787487126539613,0.0,0.0,3280.0,4.0,2.0,93.0,0.0
21,20,24032.0,2.2734375,1349.74609375,392.6875,19932.80078125,21675.234375,22682.25390625,94.38354654731191,2356.765625,9.806781062749668,0.0,0.0,4163.0,3.0,3.0,94.0,0.0
22,21,24032.0,2.2734375,1357.4921875,392.6875,19932.82421875,21683.00390625,22674.5078125,94.35131413323901,2348.99609375,9.774451122461718,0.0,0.0,2857.0,4.0,4.0,93.0,0.0
23,22,24032.0,2.2734375,1353.828125,392.6875,19932.85546875,21679.37109375,22678.171875,94.36656073152463,2352.62890625,9.78956768579394,0.0,0.0,4325.0,3.0,3.0,95.0,0.0
24,23,24032.0,2.2734375,1352.59765625,392.6875,19932.8828125,21678.16796875,22679.40234375,94.37168085781458,2353.83203125,9.794574031499668,0.0,0.0,1882.0,2.0,2.0,97.0,0.0
25,24,24032.0,2.2734375,1350.3828125,392.6875,19932.90234375,21675.97265625,22681.6171875,94.38089708513648,2356.02734375,9.8037089869757,0.0,0.0,1957.0,2.0,2.0,97.0,0.0
26,25,24032.0,2.2734375,1348.171875,392.6875,19932.921875,21673.78125,22683.828125,94.39009705808921,2358.21875,9.812827688082557,0.0,0.0,1943.0,2.0,2.0,96.0,0.0
27,26,24032.0,2.2734375,1349.28125,392.6875,19932.96484375,21674.93359375,22682.71875,94.38548081724367,2357.06640625,9.808032649176099,0.0,0.0,2927.0,4.0,3.0,93.0,0.0
28,27,24032.0,2.2734375,1342.89453125,392.6875,19932.98828125,21668.5703125,22689.10546875,94.41205671084387,2363.4296875,9.834511016561253,0.0,0.0,4006.0,3.0,3.0,95.0,0.0
