frame_index,adu_index,time_epoch,time_s,src_ip,dst_ip,src_port,dst_port,tcp_flags,tcp_seq,tcp_ack,direction,client_ip,server_ip,client_port,server_port,transaction_id,unit_id,function_code,function_base,function_name,is_exception,exception_code,exception_name,start_addr,quantity,byte_count,write_value,tcp_payload_bytes,adu_bytes,pdu_hex,parse_note,register_signature
1,1,1780087735.7478027,0.0,PRIVATE_IP_001,PRIVATE_IP_020,44326,502,PA,1689230202,3476812430,Query,PRIVATE_IP_001,PRIVATE_IP_020,44326,502,76,1,3,3,Read Holding Registers,False,,,0.0,100.0,,,12,12,REDACTED_PAYLOAD,ok,PRIVATE_IP_020|U1|FC3|addr=0|qty=100
2,1,1780087735.7479863,0.00018358230590820312,PRIVATE_IP_001,PRIVATE_IP_018,38884,502,PA,2444396544,109772137,Query,PRIVATE_IP_001,PRIVATE_IP_018,38884,502,76,1,3,3,Read Holding Registers,False,,,0.0,100.0,,,12,12,REDACTED_PAYLOAD,ok,PRIVATE_IP_018|U1|FC3|addr=0|qty=100
3,1,1780087735.7534873,0.005684614181518555,PRIVATE_IP_018,PRIVATE_IP_001,502,38884,PA,109772137,2444396556,Response,PRIVATE_IP_001,PRIVATE_IP_018,38884,502,76,1,3,3,Read Holding Registers,False,,,,,200.0,,209,209,REDACTED_PAYLOAD,ok,PRIVATE_IP_018|U1|FC3|no_addr
5,1,1780087735.7536983,0.0058956146240234375,PRIVATE_IP_020,PRIVATE_IP_001,502,44326,PA,3476812430,1689230214,Response,PRIVATE_IP_001,PRIVATE_IP_020,44326,502,76,1,3,3,Read Holding Registers,False,,,,,200.0,,209,209,REDACTED_PAYLOAD,ok,PRIVATE_IP_020|U1|FC3|no_addr
7,1,1780087735.7648048,0.017002105712890625,PRIVATE_IP_001,PRIVATE_IP_019,59748,502,PA,917162837,659711304,Query,PRIVATE_IP_001,PRIVATE_IP_019,59748,502,76,1,3,3,Read Holding Registers,False,,,0.0,100.0,,,12,12,REDACTED_PAYLOAD,ok,PRIVATE_IP_019|U1|FC3|addr=0|qty=100
8,1,1780087735.7695749,0.021772146224975586,PRIVATE_IP_019,PRIVATE_IP_001,502,59748,PA,659711304,917162849,Response,PRIVATE_IP_001,PRIVATE_IP_019,59748,502,76,1,3,3,Read Holding Registers,False,,,,,200.0,,209,209,REDACTED_PAYLOAD,ok,PRIVATE_IP_019|U1|FC3|no_addr
10,1,1780087735.8369591,0.0891563892364502,PRIVATE_IP_001,PRIVATE_IP_017,57898,502,PA,2556262948,138279161,Query,PRIVATE_IP_001,PRIVATE_IP_017,57898,502,76,1,3,3,Read Holding Registers,False,,,0.0,100.0,,,12,12,REDACTED_PAYLOAD,ok,PRIVATE_IP_017|U1|FC3|addr=0|qty=100
11,1,1780087735.8422184,0.09441566467285156,PRIVATE_IP_017,PRIVATE_IP_001,502,57898,PA,138279161,2556262960,Response,PRIVATE_IP_001,PRIVATE_IP_017,57898,502,76,1,3,3,Read Holding Registers,False,,,,,200.0,,209,209,REDACTED_PAYLOAD,ok,PRIVATE_IP_017|U1|FC3|no_addr
65,1,1780087735.9054427,0.1576399803161621,PRIVATE_IP_001,PRIVATE_IP_018,38980,502,PA,1198448167,1313021465,Query,PRIVATE_IP_001,PRIVATE_IP_018,38980,502,37,1,3,3,Read Holding Registers,False,,,53.0,1.0,,,12,12,REDACTED_PAYLOAD,ok,PRIVATE_IP_018|U1|FC3|addr=53|qty=1
66,1,1780087735.905487,0.157684326171875,PRIVATE_IP_001,PRIVATE_IP_017,57952,502,PA,3481319798,1651345871,Query,PRIVATE_IP_001,PRIVATE_IP_017,57952,502,37,1,3,3,Read Holding Registers,False,,,24.0,1.0,,,12,12,REDACTED_PAYLOAD,ok,PRIVATE_IP_017|U1|FC3|addr=24|qty=1
67,1,1780087735.9055157,0.1577129364013672,PRIVATE_IP_001,PRIVATE_IP_019,59746,502,PA,1024050112,3253415031,Query,PRIVATE_IP_001,PRIVATE_IP_019,59746,502,39,1,3,3,Read Holding Registers,False,,,0.0,76.0,,,12,12,REDACTED_PAYLOAD,ok,PRIVATE_IP_019|U1|FC3|addr=0|qty=76
68,1,1780087735.9067054,0.15890264511108398,PRIVATE_IP_001,PRIVATE_IP_016,34020,502,PA,1278066927,557856636,Query,PRIVATE_IP_001,PRIVATE_IP_016,34020,502,5,1,3,3,Read Holding Registers,False,,,1.0,1.0,,,12,12,REDACTED_PAYLOAD,ok,PRIVATE_IP_016|U1|FC3|addr=1|qty=1
69,1,1780087735.906751,0.15894818305969238,PRIVATE_IP_001,PRIVATE_IP_021,43314,502,PA,3244923940,1281755068,Query,PRIVATE_IP_001,PRIVATE_IP_021,43314,502,192,1,3,3,Read Holding Registers,False,,,94.0,75.0,,,12,12,REDACTED_PAYLOAD,ok,PRIVATE_IP_021|U1|FC3|addr=94|qty=75
72,1,1780087735.909866,0.1620633602142334,PRIVATE_IP_018,PRIVATE_IP_001,502,38980,PA,1313021465,1198448179,Response,PRIVATE_IP_001,PRIVATE_IP_018,38980,502,37,1,3,3,Read Holding Registers,False,,,,,2.0,,11,11,REDACTED_PAYLOAD,ok,PRIVATE_IP_018|U1|FC3|no_addr
74,1,1780087735.9102583,0.16245555877685547,PRIVATE_IP_019,PRIVATE_IP_001,502,59746,PA,3253415031,1024050124,Response,PRIVATE_IP_001,PRIVATE_IP_019,59746,502,39,1,3,3,Read Holding Registers,False,,,,,152.0,,161,161,REDACTED_PAYLOAD,ok,PRIVATE_IP_019|U1|FC3|no_addr
78,1,1780087735.9115822,0.16377949714660645,PRIVATE_IP_017,PRIVATE_IP_001,502,57952,PA,1651345871,3481319810,Response,PRIVATE_IP_001,PRIVATE_IP_017,57952,502,37,1,3,3,Read Holding Registers,False,,,,,2.0,,11,11,REDACTED_PAYLOAD,ok,PRIVATE_IP_017|U1|FC3|no_addr
80,1,1780087735.913279,0.16547632217407227,PRIVATE_IP_001,PRIVATE_IP_012,58538,502,PA,1828318821,9912788,Query,PRIVATE_IP_001,PRIVATE_IP_012,58538,502,254,1,3,3,Read Holding Registers,False,,,0.0,22.0,,,12,12,REDACTED_PAYLOAD,ok,PRIVATE_IP_012|U1|FC3|addr=0|qty=22
81,1,1780087735.9133203,0.16551756858825684,PRIVATE_IP_021,PRIVATE_IP_001,502,43314,PA,1281755068,3244923952,Response,PRIVATE_IP_001,PRIVATE_IP_021,43314,502,192,1,3,3,Read Holding Registers,False,,,,,150.0,,159,159,REDACTED_PAYLOAD,ok,PRIVATE_IP_021|U1|FC3|no_addr
84,1,1780087735.91551,0.16770720481872559,PRIVATE_IP_001,PRIVATE_IP_025,36268,502,PA,1250294586,4223015565,Query,PRIVATE_IP_001,PRIVATE_IP_025,36268,502,77,1,4,4,Read Input Registers,False,,,0.0,30.0,,,12,12,REDACTED_PAYLOAD,ok,PRIVATE_IP_025|U1|FC4|addr=0|qty=30
85,1,1780087735.9155889,0.1677861213684082,PRIVATE_IP_001,PRIVATE_IP_015,59014,502,PA,2098353247,655792824,Query,PRIVATE_IP_001,PRIVATE_IP_015,59014,502,191,1,3,3,Read Holding Registers,False,,,301.0,22.0,,,12,12,REDACTED_PAYLOAD,ok,PRIVATE_IP_015|U1|FC3|addr=301|qty=22
86,1,1780087735.9177365,0.16993379592895508,PRIVATE_IP_025,PRIVATE_IP_001,502,36268,PA,4223015565,1250294598,Response,PRIVATE_IP_001,PRIVATE_IP_025,36268,502,77,1,4,4,Read Input Registers,False,,,,,60.0,,69,69,REDACTED_PAYLOAD,ok,PRIVATE_IP_025|U1|FC4|no_addr
88,1,1780087735.9251115,0.1773087978363037,PRIVATE_IP_016,PRIVATE_IP_001,502,34020,PA,557856636,1278066939,Response,PRIVATE_IP_001,PRIVATE_IP_016,34020,502,5,1,131,3,Exception of Read Holding Registers,True,2.0,Illegal Data Address,,,,,9,9,REDACTED_PAYLOAD,exception,PRIVATE_IP_016|U1|FC3|no_addr
90,1,1780087735.9273098,0.17950701713562012,PRIVATE_IP_015,PRIVATE_IP_001,502,59014,PA,655792824,2098353259,Response,PRIVATE_IP_001,PRIVATE_IP_015,59014,502,191,1,3,3,Read Holding Registers,False,,,,,44.0,,53,53,REDACTED_PAYLOAD,ok,PRIVATE_IP_015|U1|FC3|no_addr
92,1,1780087735.9308088,0.18300604820251465,PRIVATE_IP_001,PRIVATE_IP_015,59014,502,PA,2098353259,655792877,Query,PRIVATE_IP_001,PRIVATE_IP_015,59014,502,192,1,3,3,Read Holding Registers,False,,,2.0,123.0,,,12,12,REDACTED_PAYLOAD,ok,PRIVATE_IP_015|U1|FC3|addr=2|qty=123
93,1,1780087735.9353292,0.18752646446228027,PRIVATE_IP_012,PRIVATE_IP_001,502,58538,PA,9912788,1828318833,Response,PRIVATE_IP_001,PRIVATE_IP_012,58538,502,254,1,3,3,Read Holding Registers,False,,,,,44.0,,53,53,REDACTED_PAYLOAD,ok,PRIVATE_IP_012|U1|FC3|no_addr
95,1,1780087735.9366233,0.18882060050964355,PRIVATE_IP_015,PRIVATE_IP_001,502,59014,PA,655792877,2098353271,Response,PRIVATE_IP_001,PRIVATE_IP_015,59014,502,192,1,3,3,Read Holding Registers,False,,,,,246.0,,255,255,REDACTED_PAYLOAD,ok,PRIVATE_IP_015|U1|FC3|no_addr
96,1,1780087735.93928,0.19147729873657227,PRIVATE_IP_001,PRIVATE_IP_015,59014,502,PA,2098353271,655793132,Query,PRIVATE_IP_001,PRIVATE_IP_015,59014,502,193,1,3,3,Read Holding Registers,False,,,125.0,88.0,,,12,12,REDACTED_PAYLOAD,ok,PRIVATE_IP_015|U1|FC3|addr=125|qty=88
97,1,1780087735.944556,0.19675326347351074,PRIVATE_IP_015,PRIVATE_IP_001,502,59014,PA,655793132,2098353283,Response,PRIVATE_IP_001,PRIVATE_IP_015,59014,502,193,1,3,3,Read Holding Registers,False,,,,,176.0,,185,185,REDACTED_PAYLOAD,ok,PRIVATE_IP_015|U1|FC3|no_addr
