frame_index,time_s,src_ip,dst_ip,src_port,dst_port,direction,payload_bytes,syn,fin,rst,probable_retransmission,flags
1,0.0,PRIVATE_IP_001,PRIVATE_IP_020,44326,502,Query,12,0,0,0,0,PA
2,0.00018358230590820312,PRIVATE_IP_001,PRIVATE_IP_018,38884,502,Query,12,0,0,0,0,PA
3,0.005684614181518555,PRIVATE_IP_018,PRIVATE_IP_001,502,38884,Response,209,0,0,0,0,PA
4,0.005820512771606445,PRIVATE_IP_001,PRIVATE_IP_018,38884,502,Query,0,0,0,0,0,A
5,0.0058956146240234375,PRIVATE_IP_020,PRIVATE_IP_001,502,44326,Response,209,0,0,0,0,PA
6,0.005955696105957031,PRIVATE_IP_001,PRIVATE_IP_020,44326,502,Query,0,0,0,0,0,A
7,0.017002105712890625,PRIVATE_IP_001,PRIVATE_IP_019,59748,502,Query,12,0,0,0,0,PA
8,0.021772146224975586,PRIVATE_IP_019,PRIVATE_IP_001,502,59748,Response,209,0,0,0,0,PA
9,0.02187514305114746,PRIVATE_IP_001,PRIVATE_IP_019,59748,502,Query,0,0,0,0,0,A
10,0.0891563892364502,PRIVATE_IP_001,PRIVATE_IP_017,57898,502,Query,12,0,0,0,0,PA
11,0.09441566467285156,PRIVATE_IP_017,PRIVATE_IP_001,502,57898,Response,209,0,0,0,0,PA
12,0.09449934959411621,PRIVATE_IP_001,PRIVATE_IP_017,57898,502,Query,0,0,0,0,0,A
23,0.1382005214691162,PRIVATE_IP_001,PRIVATE_IP_015,51460,502,Query,0,1,0,0,0,S
24,0.13825654983520508,PRIVATE_IP_001,PRIVATE_IP_017,45176,502,Query,0,1,0,0,0,S
25,0.13828802108764648,PRIVATE_IP_001,PRIVATE_IP_018,51384,502,Query,0,1,0,0,0,S
26,0.13831686973571777,PRIVATE_IP_001,PRIVATE_IP_020,48032,502,Query,0,1,0,0,0,S
27,0.13834285736083984,PRIVATE_IP_001,PRIVATE_IP_015,51468,502,Query,0,1,0,0,0,S
28,0.1383955478668213,PRIVATE_IP_001,PRIVATE_IP_021,60076,502,Query,0,1,0,0,0,S
30,0.14080476760864258,PRIVATE_IP_015,PRIVATE_IP_001,502,51460,Response,0,1,0,0,0,SA
31,0.1408686637878418,PRIVATE_IP_001,PRIVATE_IP_015,51460,502,Query,0,0,0,0,0,A
32,0.14091134071350098,PRIVATE_IP_020,PRIVATE_IP_001,502,48032,Response,0,1,0,0,0,SA
33,0.14095115661621094,PRIVATE_IP_001,PRIVATE_IP_020,48032,502,Query,0,0,0,0,0,A
34,0.14126133918762207,PRIVATE_IP_017,PRIVATE_IP_001,502,45176,Response,0,1,0,0,0,SA
35,0.14130806922912598,PRIVATE_IP_001,PRIVATE_IP_017,45176,502,Query,0,0,0,0,0,A
36,0.14134716987609863,PRIVATE_IP_021,PRIVATE_IP_001,502,60076,Response,0,1,0,0,0,SA
37,0.14141011238098145,PRIVATE_IP_001,PRIVATE_IP_021,60076,502,Query,0,0,0,0,0,A
