src_ip,dst_ip,direction,packets,payload_bytes,syn_count,fin_count,rst_count,probable_retransmissions
PRIVATE_IP_001,PRIVATE_IP_016,Query,500,3000,0,0,0,0
PRIVATE_IP_001,PRIVATE_IP_017,Query,3497,8988,499,501,0,0
PRIVATE_IP_001,PRIVATE_IP_018,Query,3497,8988,499,502,0,0
PRIVATE_IP_001,PRIVATE_IP_019,Query,1498,8988,0,0,0,0
PRIVATE_IP_001,PRIVATE_IP_020,Query,2995,5988,499,500,0,0
PRIVATE_IP_001,PRIVATE_IP_021,Query,3743,11964,499,501,0,0
PRIVATE_IP_001,PRIVATE_IP_022,Query,498,2988,0,0,0,0
PRIVATE_IP_001,PRIVATE_IP_025,Query,998,5988,0,0,0,0
PRIVATE_IP_001,PRIVATE_IP_009,Query,498,2988,0,0,0,0
PRIVATE_IP_001,PRIVATE_IP_010,Query,212,0,212,0,0,0
PRIVATE_IP_001,PRIVATE_IP_011,Query,210,0,210,0,0,0
PRIVATE_IP_001,PRIVATE_IP_012,Query,500,3000,0,0,0,0
PRIVATE_IP_001,PRIVATE_IP_013,Query,498,2988,0,0,0,0
PRIVATE_IP_001,PRIVATE_IP_014,Query,498,2988,0,0,0,0
PRIVATE_IP_001,PRIVATE_IP_015,Query,7498,23940,998,1009,0,0
PRIVATE_IP_016,PRIVATE_IP_001,Response,500,2250,0,0,0,0
PRIVATE_IP_017,PRIVATE_IP_001,Response,2255,107250,499,499,0,1
PRIVATE_IP_018,PRIVATE_IP_001,Response,2252,107041,499,499,0,0
PRIVATE_IP_019,PRIVATE_IP_001,Response,750,144541,0,0,0,0
PRIVATE_IP_020,PRIVATE_IP_001,Response,2003,104291,499,499,0,0
PRIVATE_IP_021,PRIVATE_IP_001,Response,2494,84819,499,499,0,0
PRIVATE_IP_022,PRIVATE_IP_001,Response,252,20169,0,0,0,0
PRIVATE_IP_025,PRIVATE_IP_001,Response,499,34431,0,0,0,0
PRIVATE_IP_009,PRIVATE_IP_001,Response,498,13197,0,0,0,0
PRIVATE_IP_012,PRIVATE_IP_001,Response,500,13250,0,0,0,0
PRIVATE_IP_013,PRIVATE_IP_001,Response,498,13197,0,0,0,0
PRIVATE_IP_014,PRIVATE_IP_001,Response,498,13197,0,0,0,0
PRIVATE_IP_015,PRIVATE_IP_001,Response,5021,251485,1003,997,1,0
