Linux 6.8.0-55-generic (ubuntu) 	29/05/26 	_x86_64_	(8 CPU)

15:48:54     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:48:55     all    7,05    0,00    6,80    0,38    0,00    0,25    0,00    0,00    0,00   85,52
15:48:55       0   17,35    0,00    7,14    0,00    0,00    0,00    0,00    0,00    0,00   75,51
15:48:55       1    6,06    0,00    6,06    1,01    0,00    0,00    0,00    0,00    0,00   86,87
15:48:55       2    5,05    0,00    4,04    0,00    0,00    0,00    0,00    0,00    0,00   90,91
15:48:55       3    4,08    0,00   10,20    0,00    0,00    0,00    0,00    0,00    0,00   85,71
15:48:55       4    3,03    0,00    7,07    0,00    0,00    0,00    0,00    0,00    0,00   89,90
15:48:55       5    9,90    0,00    6,93    0,99    0,00    0,00    0,00    0,00    0,00   82,18
15:48:55       6    5,00    0,00    6,00    0,00    0,00    1,00    0,00    0,00    0,00   88,00
15:48:55       7    6,00    0,00    7,00    1,00    0,00    1,00    0,00    0,00    0,00   85,00

15:48:55     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:48:56     all    1,52    0,00    1,64    0,00    0,00    0,13    0,00    0,00    0,00   96,72
15:48:56       0    0,00    0,00    2,00    0,00    0,00    0,00    0,00    0,00    0,00   98,00
15:48:56       1    1,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   98,00
15:48:56       2    2,02    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   97,98
15:48:56       3    2,02    0,00    2,02    0,00    0,00    0,00    0,00    0,00    0,00   95,96
15:48:56       4    3,03    0,00    1,01    0,00    0,00    1,01    0,00    0,00    0,00   94,95
15:48:56       5    3,06    0,00    2,04    0,00    0,00    0,00    0,00    0,00    0,00   94,90
15:48:56       6    0,00    0,00    2,04    0,00    0,00    0,00    0,00    0,00    0,00   97,96
15:48:56       7    1,01    0,00    3,03    0,00    0,00    0,00    0,00    0,00    0,00   95,96

15:48:56     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:48:57     all    2,53    0,00    2,53    0,13    0,00    0,25    0,00    0,00    0,00   94,57
15:48:57       0    0,00    0,00    1,02    0,00    0,00    1,02    0,00    0,00    0,00   97,96
15:48:57       1    2,02    0,00    4,04    0,00    0,00    0,00    0,00    0,00    0,00   93,94
15:48:57       2    5,05    0,00    2,02    0,00    0,00    0,00    0,00    0,00    0,00   92,93
15:48:57       3    5,05    0,00    3,03    0,00    0,00    1,01    0,00    0,00    0,00   90,91
15:48:57       4    3,06    0,00    4,08    1,02    0,00    0,00    0,00    0,00    0,00   91,84
15:48:57       5    2,00    0,00    3,00    0,00    0,00    0,00    0,00    0,00    0,00   95,00
15:48:57       6    3,03    0,00    2,02    0,00    0,00    0,00    0,00    0,00    0,00   94,95
15:48:57       7    0,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00

15:48:57     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:48:58     all    1,75    0,00    1,50    0,00    0,00    0,38    0,00    0,00    0,00   96,38
15:48:58       0    0,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
15:48:58       1    1,00    0,00    1,00    0,00    0,00    1,00    0,00    0,00    0,00   97,00
15:48:58       2    2,00    0,00    1,00    0,00    0,00    1,00    0,00    0,00    0,00   96,00
15:48:58       3    3,00    0,00    2,00    0,00    0,00    0,00    0,00    0,00    0,00   95,00
15:48:58       4    1,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   98,00
15:48:58       5    1,98    0,00    1,98    0,00    0,00    0,99    0,00    0,00    0,00   95,05
15:48:58       6    5,00    0,00    3,00    0,00    0,00    0,00    0,00    0,00    0,00   92,00
15:48:58       7    0,00    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   98,99

15:48:58     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:48:59     all    1,89    0,00    1,51    0,25    0,00    0,00    0,00    0,00    0,00   96,35
15:48:59       0    2,00    0,00    2,00    0,00    0,00    0,00    0,00    0,00    0,00   96,00
15:48:59       1    1,01    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   97,98
15:48:59       2    1,00    0,00    1,00    1,00    0,00    0,00    0,00    0,00    0,00   97,00
15:48:59       3    0,99    0,00    2,97    0,99    0,00    0,00    0,00    0,00    0,00   95,05
15:48:59       4    1,02    0,00    2,04    0,00    0,00    0,00    0,00    0,00    0,00   96,94
15:48:59       5    2,02    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   96,97
15:48:59       6    6,12    0,00    1,02    0,00    0,00    0,00    0,00    0,00    0,00   92,86
15:48:59       7    1,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   98,00

15:48:59     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:49:00     all    3,41    0,00    3,16    0,00    0,00    0,13    0,00    0,00    0,00   93,31
15:49:00       0    6,00    0,00    5,00    0,00    0,00    0,00    0,00    0,00    0,00   89,00
15:49:00       1    1,03    0,00    2,06    0,00    0,00    0,00    0,00    0,00    0,00   96,91
15:49:00       2    6,06    0,00    2,02    0,00    0,00    0,00    0,00    0,00    0,00   91,92
15:49:00       3    3,03    0,00    5,05    0,00    0,00    0,00    0,00    0,00    0,00   91,92
15:49:00       4    4,08    0,00    4,08    0,00    0,00    0,00    0,00    0,00    0,00   91,84
15:49:00       5    2,04    0,00    2,04    0,00    0,00    0,00    0,00    0,00    0,00   95,92
15:49:00       6    2,97    0,00    2,97    0,00    0,00    0,99    0,00    0,00    0,00   93,07
15:49:00       7    2,00    0,00    2,00    0,00    0,00    0,00    0,00    0,00    0,00   96,00

15:49:00     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:49:01     all    2,51    0,00    2,51    0,25    0,00    0,00    0,00    0,00    0,00   94,73
15:49:01       0    1,01    0,00    3,03    1,01    0,00    0,00    0,00    0,00    0,00   94,95
15:49:01       1    3,96    0,00    2,97    0,99    0,00    0,00    0,00    0,00    0,00   92,08
15:49:01       2    6,06    0,00    3,03    0,00    0,00    0,00    0,00    0,00    0,00   90,91
15:49:01       3    2,00    0,00    3,00    0,00    0,00    0,00    0,00    0,00    0,00   95,00
