procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0   2328 1412840 402104 20410200    0    0    67   184 1221    1  1  1 98  0  0  0
 0  0   2328 1344000 402104 20410412    0    0   100  1160 5679 3635  7  7 86  0  0  0
 0  0   2328 1358088 402104 20410496    0    0     0    80 2239 1702  2  2 96  0  0  0
 0  0   2328 1357428 402104 20410528    0    0     0   104 3098 2303  3  3 94  0  0  0
 0  0   2328 1359624 402104 20410552    0    0     0   228 2230 1789  1  2 97  0  0  0
 0  0   2328 1357960 402104 20410584    0    0     0   368 2424 2120  2  2 96  0  0  0
 0  0   2328 1375468 402112 20410620    0    0     0   280 3497 2766  3  4 93  0  0  0
 0  0   2328 1370684 402112 20410644    0    0     0  1028 2953 2213  3  2 95  0  0  0
 0  0   2328 1369928 402112 20410672    0    0     0   192 2207 1682  2  2 97  0  0  0
 1  0   2328 1368416 402112 20410704    0    0     0   388 2360 1979  2  2 96  0  0  0
 0  0   2328 1374460 402112 20410724    0    0     0   152 2335 1783  2  2 96  0  0  0
 0  0   2328 1372448 402112 20410760    0    0     0    88 2227 1926  2  1 97  0  0  0
 1  0   2328 1372768 402112 20410936    0    0     0   952 3589 2841  3  3 94  0  0  0
 0  0   2328 1372544 402112 20410956    0    0     0    96 2651 2258  2  2 96  0  0  0
 0  0   2328 1377536 402112 20410968    0    0     0   224 2319 1812  2  2 96  0  0  0
 0  0   2328 1376332 402112 20411012    0    0     0   136 2322 1812  2  2 96  0  0  0
 0  0   2328 1377676 402112 20411044    0    0     0    88 2227 1785  2  2 97  0  0  0
 0  0   2328 1377956 402112 20411084    0    0     0   156 3304 2619  3  3 93  0  0  0
 0  0   2328 1380808 402112 20411124    0    0     0    92 4553 5172  3  3 94  0  0  0
 5  0   2328 1377344 402112 20411140    0    0     0   312 3022 2450  4  2 94  0  0  0
 2  0   2328 1386916 402112 20411160    0    0     0   120 4093 3280  4  2 93  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0   2328 1382140 402112 20411188    0    0     0   104 4117 4163  3  3 94  0  0  0
 0  0   2328 1390072 402112 20411212    0    0     0   896 3713 2857  4  4 93  0  0  0
 0  0   2328 1386320 402112 20411244    0    0     0   112 4138 4325  3  3 95  0  0  0
 0  0   2328 1385060 402112 20411272    0    0     0   212 2317 1882  2  2 97  0  0  0
 0  0   2328 1382792 402112 20411292    0    0     0   120 2301 1957  2  2 97  0  0  0
 0  0   2328 1380528 402112 20411312    0    0     0    92 2327 1943  2  2 96  0  0  0
 1  0   2328 1381664 402112 20411356    0    0     0   180 3595 2927  4  3 93  0  0  0
 0  0   2328 1375124 402112 20411380    0    0     0   980 4156 4006  3  3 95  0  0  0
 0  0   2328 1381220 402112 20411404    0    0     0   336 2621 2177  2  2 95  0  0  0
 0  0   2328 1384008 402112 20411412    0    0     0   104 2722 2163  2  2 96  0  0  0
 0  0   2328 1383508 402112 20411416    0    0     0    96 2135 1658  2  1 97  0  0  0
