sample,epoch,target,port,ok,tcp_connect_ms,error
1,1780088364.0974567,PRIVATE_IP_022,502,1,4.375090,
2,1780088364.3007646,PRIVATE_IP_022,502,1,3.148415,
3,1780088364.5045364,PRIVATE_IP_022,502,1,3.614882,
4,1780088364.7087932,PRIVATE_IP_022,502,1,4.067493,
5,1780088364.9126954,PRIVATE_IP_022,502,1,3.585112,
6,1780088365.1155343,PRIVATE_IP_022,502,1,2.696098,
7,1780088365.319728,PRIVATE_IP_022,502,1,4.008196,
8,1780088365.523519,PRIVATE_IP_022,502,1,3.660060,
9,1780088365.72774,PRIVATE_IP_022,502,1,4.011977,
10,1780088365.9319222,PRIVATE_IP_022,502,1,3.963516,
11,1780088366.1357098,PRIVATE_IP_022,502,1,3.637808,
12,1780088366.3408883,PRIVATE_IP_022,502,1,4.938971,
13,1780088366.5445862,PRIVATE_IP_022,502,1,3.556613,
14,1780088366.7496035,PRIVATE_IP_022,502,1,4.787176,
15,1780088366.9538612,PRIVATE_IP_022,502,1,4.015387,
16,1780088367.1579099,PRIVATE_IP_022,502,1,3.842312,
17,1780088367.362126,PRIVATE_IP_022,502,1,3.971789,
18,1780088367.565735,PRIVATE_IP_022,502,1,3.411720,
19,1780088367.769908,PRIVATE_IP_022,502,1,4.023964,
20,1780088367.973645,PRIVATE_IP_022,502,1,3.590022,
21,1780088368.1779146,PRIVATE_IP_022,502,1,4.081998,
22,1780088368.3817327,PRIVATE_IP_022,502,1,3.667100,
23,1780088368.5858603,PRIVATE_IP_022,502,1,3.838907,
24,1780088368.7900338,PRIVATE_IP_022,502,1,3.962815,
25,1780088368.993796,PRIVATE_IP_022,502,1,3.565247,
26,1780088369.1977751,PRIVATE_IP_022,502,1,3.817756,
27,1780088369.4018984,PRIVATE_IP_022,502,1,3.899965,
28,1780088369.6057355,PRIVATE_IP_022,502,1,3.586471,
29,1780088369.811908,PRIVATE_IP_022,502,1,5.977899,
30,1780088370.0157897,PRIVATE_IP_022,502,1,3.734069,
31,1780088370.219578,PRIVATE_IP_022,502,1,3.622003,
32,1780088370.4239378,PRIVATE_IP_022,502,1,4.103094,
33,1780088370.6276805,PRIVATE_IP_022,502,1,3.535796,
34,1780088370.8315666,PRIVATE_IP_022,502,1,3.725130,
35,1780088371.035709,PRIVATE_IP_022,502,1,3.903959,
36,1780088371.239491,PRIVATE_IP_022,502,1,3.602196,
37,1780088371.4437044,PRIVATE_IP_022,502,1,3.957835,
38,1780088371.647789,PRIVATE_IP_022,502,1,3.817553,
39,1780088371.8517697,PRIVATE_IP_022,502,1,3.755155,
40,1780088372.0556874,PRIVATE_IP_022,502,1,3.712568,
41,1780088372.2595625,PRIVATE_IP_022,502,1,3.717130,
42,1780088372.4637222,PRIVATE_IP_022,502,1,3.875301,
43,1780088372.6675758,PRIVATE_IP_022,502,1,3.696261,
44,1780088372.8706295,PRIVATE_IP_022,502,1,2.860223,
45,1780088373.074704,PRIVATE_IP_022,502,1,3.889195,
46,1780088373.2784932,PRIVATE_IP_022,502,1,3.641481,
47,1780088373.4827008,PRIVATE_IP_022,502,1,3.990069,
48,1780088373.6870642,PRIVATE_IP_022,502,1,4.171378,
49,1780088373.8919866,PRIVATE_IP_022,502,1,4.711968,
50,1780088374.09578,PRIVATE_IP_022,502,1,3.627576,
51,1780088374.299283,PRIVATE_IP_022,502,1,3.367397,
52,1780088374.5025332,PRIVATE_IP_022,502,1,3.102282,
53,1780088374.7072732,PRIVATE_IP_022,502,1,4.485523,
54,1780088374.9108355,PRIVATE_IP_022,502,1,3.304820,
55,1780088375.1146593,PRIVATE_IP_022,502,1,3.660797,
56,1780088375.3185644,PRIVATE_IP_022,502,1,3.757930,
57,1780088375.5228622,PRIVATE_IP_022,502,1,4.100168,
58,1780088375.7267656,PRIVATE_IP_022,502,1,3.633814,
59,1780088375.9307833,PRIVATE_IP_022,502,1,3.779566,
60,1780088376.1347947,PRIVATE_IP_022,502,1,3.822372,
61,1780088376.3385222,PRIVATE_IP_022,502,1,3.546970,
62,1780088376.542737,PRIVATE_IP_022,502,1,3.932143,
63,1780088376.7467296,PRIVATE_IP_022,502,1,3.712226,
64,1780088376.950676,PRIVATE_IP_022,502,1,3.783936,
65,1780088377.1548114,PRIVATE_IP_022,502,1,3.842388,
66,1780088377.358624,PRIVATE_IP_022,502,1,3.543772,
67,1780088377.5627592,PRIVATE_IP_022,502,1,3.935594,
68,1780088377.7667959,PRIVATE_IP_022,502,1,3.872751,
69,1780088377.9706123,PRIVATE_IP_022,502,1,3.664488,
70,1780088378.174422,PRIVATE_IP_022,502,1,3.629928,
71,1780088378.3784406,PRIVATE_IP_022,502,1,3.775014,
72,1780088378.5826504,PRIVATE_IP_022,502,1,4.001690,
73,1780088378.786813,PRIVATE_IP_022,502,1,3.885382,
74,1780088378.990626,PRIVATE_IP_022,502,1,3.568466,
75,1780088379.1946437,PRIVATE_IP_022,502,1,3.829417,
76,1780088379.398725,PRIVATE_IP_022,502,1,3.855550,
77,1780088379.6027024,PRIVATE_IP_022,502,1,3.718798,
78,1780088379.8066072,PRIVATE_IP_022,502,1,3.744082,
79,1780088380.0105338,PRIVATE_IP_022,502,1,3.779551,
80,1780088380.2147133,PRIVATE_IP_022,502,1,3.945910,
81,1780088380.418562,PRIVATE_IP_022,502,1,3.639119,
82,1780088380.622623,PRIVATE_IP_022,502,1,3.891092,
83,1780088380.8268445,PRIVATE_IP_022,502,1,3.963215,
84,1780088381.0308487,PRIVATE_IP_022,502,1,3.779159,
85,1780088381.2359903,PRIVATE_IP_022,502,1,4.967908,
86,1780088381.4399495,PRIVATE_IP_022,502,1,3.710811,
87,1780088381.643663,PRIVATE_IP_022,502,1,3.544604,
88,1780088381.8479447,PRIVATE_IP_022,502,1,4.010627,
89,1780088382.0517998,PRIVATE_IP_022,502,1,3.497058,
90,1780088382.2554984,PRIVATE_IP_022,502,1,3.547772,
91,1780088382.4598672,PRIVATE_IP_022,502,1,4.088405,
92,1780088382.6637459,PRIVATE_IP_022,502,1,3.681471,
93,1780088382.8676484,PRIVATE_IP_022,502,1,3.754758,
94,1780088383.071865,PRIVATE_IP_022,502,1,3.952337,
95,1780088383.275494,PRIVATE_IP_022,502,1,3.451396,
96,1780088383.4795985,PRIVATE_IP_022,502,1,3.836482,
97,1780088383.683954,PRIVATE_IP_022,502,1,4.046229,
98,1780088383.8874874,PRIVATE_IP_022,502,1,3.333114,
99,1780088384.0915635,PRIVATE_IP_022,502,1,3.929706,
100,1780088384.2945063,PRIVATE_IP_022,502,1,2.770594,
101,1780088384.4988601,PRIVATE_IP_022,502,1,4.049388,
102,1780088384.7027638,PRIVATE_IP_022,502,1,3.676615,
