status,client_ip,server_ip,client_port,server_port,transaction_id,unit_id,request_time_s,response_time_s,rtt_ms,function_code,function_name,start_addr,quantity,request_bytes,response_bytes,total_adu_bytes,is_exception,exception_code,exception_name,register_signature
matched,PRIVATE_IP_001,PRIVATE_IP_019,38884,502,76,1,0.00018358230590820312,0.005684614181518555,5.501031875610352,3,Read Holding Registers,0.0,100.0,12.0,209,221,False,,,PRIVATE_IP_019|U1|FC3|addr=0|qty=100
matched,PRIVATE_IP_001,PRIVATE_IP_021,44326,502,76,1,0.0,0.0058956146240234375,5.8956146240234375,3,Read Holding Registers,0.0,100.0,12.0,209,221,False,,,PRIVATE_IP_021|U1|FC3|addr=0|qty=100
matched,PRIVATE_IP_001,PRIVATE_IP_020,59748,502,76,1,0.017002105712890625,0.021772146224975586,4.770040512084961,3,Read Holding Registers,0.0,100.0,12.0,209,221,False,,,PRIVATE_IP_020|U1|FC3|addr=0|qty=100
matched,PRIVATE_IP_001,PRIVATE_IP_018,57898,502,76,1,0.0891563892364502,0.09441566467285156,5.259275436401367,3,Read Holding Registers,0.0,100.0,12.0,209,221,False,,,PRIVATE_IP_018|U1|FC3|addr=0|qty=100
matched,PRIVATE_IP_001,PRIVATE_IP_019,38980,502,37,1,0.1576399803161621,0.1620633602142334,4.423379898071289,3,Read Holding Registers,53.0,1.0,12.0,11,23,False,,,PRIVATE_IP_019|U1|FC3|addr=53|qty=1
matched,PRIVATE_IP_001,PRIVATE_IP_020,59746,502,39,1,0.1577129364013672,0.16245555877685547,4.742622375488281,3,Read Holding Registers,0.0,76.0,12.0,161,173,False,,,PRIVATE_IP_020|U1|FC3|addr=0|qty=76
matched,PRIVATE_IP_001,PRIVATE_IP_018,57952,502,37,1,0.157684326171875,0.16377949714660645,6.095170974731445,3,Read Holding Registers,24.0,1.0,12.0,11,23,False,,,PRIVATE_IP_018|U1|FC3|addr=24|qty=1
matched,PRIVATE_IP_001,PRIVATE_IP_022,43314,502,192,1,0.15894818305969238,0.16551756858825684,6.569385528564453,3,Read Holding Registers,94.0,75.0,12.0,159,171,False,,,PRIVATE_IP_022|U1|FC3|addr=94|qty=75
matched,PRIVATE_IP_001,PRIVATE_IP_026,36268,502,77,1,0.16770720481872559,0.16993379592895508,2.226591110229492,4,Read Input Registers,0.0,30.0,12.0,69,81,False,,,PRIVATE_IP_026|U1|FC4|addr=0|qty=30
matched,PRIVATE_IP_001,PRIVATE_IP_017,34020,502,5,1,0.15890264511108398,0.1773087978363037,18.406152725219727,3,Read Holding Registers,1.0,1.0,12.0,9,21,True,2.0,Illegal Data Address,PRIVATE_IP_017|U1|FC3|addr=1|qty=1
matched,PRIVATE_IP_001,PRIVATE_IP_016,59014,502,191,1,0.1677861213684082,0.17950701713562012,11.720895767211914,3,Read Holding Registers,301.0,22.0,12.0,53,65,False,,,PRIVATE_IP_016|U1|FC3|addr=301|qty=22
matched,PRIVATE_IP_001,PRIVATE_IP_013,58538,502,254,1,0.16547632217407227,0.18752646446228027,22.050142288208008,3,Read Holding Registers,0.0,22.0,12.0,53,65,False,,,PRIVATE_IP_013|U1|FC3|addr=0|qty=22
matched,PRIVATE_IP_001,PRIVATE_IP_016,59014,502,192,1,0.18300604820251465,0.18882060050964355,5.814552307128906,3,Read Holding Registers,2.0,123.0,12.0,255,267,False,,,PRIVATE_IP_016|U1|FC3|addr=2|qty=123
matched,PRIVATE_IP_001,PRIVATE_IP_016,59014,502,193,1,0.19147729873657227,0.19675326347351074,5.275964736938477,3,Read Holding Registers,125.0,88.0,12.0,185,197,False,,,PRIVATE_IP_016|U1|FC3|addr=125|qty=88
matched,PRIVATE_IP_001,PRIVATE_IP_019,38884,502,77,1,1.0028231143951416,1.007645845413208,4.822731018066406,3,Read Holding Registers,0.0,100.0,12.0,209,221,False,,,PRIVATE_IP_019|U1|FC3|addr=0|qty=100
