bucket,start_s,end_s,queries,responses,matched_transactions,unmatched,exceptions,adu_bytes,mean_rtt_ms,p95_rtt_ms,rst_count,probable_retransmissions
0,0.0,5.0,78,76,78,0,3,10024,7.673844313010191,20.53780555725098,0,0
1,5.0,10.0,77,79,77,0,2,10051,7.737989549512987,23.445844650268555,0,0
2,10.0,15.0,76,76,76,0,3,10000,7.303667695898759,19.006431102752686,0,0
3,15.0,20.0,79,79,79,0,2,10075,7.554516007628622,21.744060516357422,0,0
4,20.0,25.0,76,76,76,0,3,10000,7.495058210272538,21.8622088432312,0,0
5,25.0,30.0,79,79,79,0,2,10075,7.508624958086617,21.841526031494137,0,0
6,30.0,35.0,76,76,76,0,3,10000,7.384017894142552,19.702672958374023,0,0
7,35.0,40.0,79,79,79,0,2,10075,7.235530056530917,19.008469581603997,0,0
8,40.0,45.0,76,76,76,0,3,10000,7.286040406478079,18.85896921157837,0,0
9,45.0,50.0,79,79,79,0,2,10075,7.339208940916423,19.439840316772457,0,0
10,50.0,55.0,76,76,76,0,3,10000,7.546838961149517,21.21800184249878,0,0
11,55.0,60.0,79,79,79,0,2,10075,7.448446901538704,22.894573211669922,0,0
12,60.0,65.0,76,76,76,0,3,10000,7.243877963015907,19.24961805343628,0,0
13,65.0,70.0,79,79,79,0,2,10075,7.090073597582081,18.097043037414547,0,0
14,70.0,75.0,76,76,76,0,3,10000,7.329802764089484,18.42212677001953,0,0
15,75.0,80.0,79,80,79,0,2,10284,7.5308914426006845,21.363496780395504,0,1
16,80.0,85.0,76,76,76,0,3,10000,7.519050648337917,21.295607089996338,0,0
17,85.0,90.0,79,79,79,0,2,10075,7.527291020260582,19.62206363677978,0,0
18,90.0,95.0,76,76,76,0,3,10000,7.195115089416504,21.47728204727173,0,0
19,95.0,100.0,79,79,79,0,2,10075,7.491917549809323,19.002914428710934,0,0
20,100.0,105.0,76,76,76,0,3,10000,7.418256056936164,21.985948085784912,0,0
21,105.0,110.0,79,79,79,0,2,10075,7.230254668223707,21.857714653015137,0,0
22,110.0,115.0,76,76,76,0,3,10000,7.17684783433613,20.41083574295044,0,0
23,115.0,120.0,79,79,79,0,2,10075,7.55489023425911,21.33989334106445,0,0
24,120.0,125.0,76,76,76,0,3,10000,7.208243796699925,19.85698938369751,0,0
25,125.0,130.0,79,79,79,0,2,10075,7.6865516131437275,21.25158309936523,0,0
26,130.0,135.0,76,76,76,0,3,10000,7.562612232409026,21.22551202774048,0,0
