Linux 6.8.0-55-generic (ubuntu) 	29/05/26 	_x86_64_	(8 CPU)

15:48:54        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
15:48:55        all      7,18      0,00      6,80      0,38      0,00      0,00      0,25      0,00      0,00     85,39
15:48:56        all      1,76      0,00      1,76      0,00      0,00      0,00      0,13      0,00      0,00     96,35
15:48:57        all      2,52      0,00      2,52      0,13      0,00      0,00      0,25      0,00      0,00     94,58
15:48:58        all      1,63      0,00      1,38      0,00      0,00      0,00      0,38      0,00      0,00     96,61
15:48:59        all      2,01      0,00      1,51      0,25      0,00      0,00      0,00      0,00      0,00     96,24
15:49:00        all      3,17      0,00      3,17      0,00      0,00      0,00      0,13      0,00      0,00     93,53
15:49:01        all      2,75      0,00      2,63      0,25      0,00      0,00      0,00      0,00      0,00     94,37
15:49:02        all      1,51      0,00      1,39      0,13      0,00      0,00      0,25      0,00      0,00     96,73
15:49:03        all      2,02      0,00      1,51      0,00      0,00      0,00      0,25      0,00      0,00     96,22
15:49:04        all      1,64      0,00      1,64      0,13      0,00      0,00      0,00      0,00      0,00     96,60
15:49:05        all      1,76      0,00      1,26      0,00      0,00      0,00      0,13      0,00      0,00     96,86
15:49:06        all      2,90      0,00      3,03      0,25      0,00      0,00      0,13      0,00      0,00     93,69
15:49:07        all      1,89      0,00      2,02      0,00      0,00      0,00      0,00      0,00      0,00     96,10
15:49:08        all      1,76      0,00      1,51      0,13      0,00      0,00      0,38      0,00      0,00     96,23
15:49:09        all      1,76      0,00      1,64      0,25      0,00      0,00      0,13      0,00      0,00     96,23
15:49:10        all      1,51      0,00      1,51      0,00      0,00      0,00      0,50      0,00      0,00     96,48
15:49:11        all      3,15      0,00      3,15      0,13      0,00      0,00      0,13      0,00      0,00     93,45
15:49:12        all      2,91      0,00      2,41      0,00      0,00      0,00      0,13      0,00      0,00     94,56
15:49:13        all      3,01      0,00      1,88      0,25      0,00      0,00      0,13      0,00      0,00     94,73
15:49:14        all      5,41      0,00      1,89      0,13      0,00      0,00      0,25      0,00      0,00     92,33
15:49:15        all      3,40      0,00      2,39      0,13      0,00      0,00      0,25      0,00      0,00     93,84
15:49:16        all      3,80      0,00      3,42      0,00      0,00      0,00      0,13      0,00      0,00     92,66
15:49:17        all      2,77      0,00      2,27      0,00      0,00      0,00      0,25      0,00      0,00     94,71
