sample,elapsed_s,mem_total_mib,swpd_mib,free_mib,buff_mib,cache_mib,available_proxy_mib,used_including_cache_mib,used_including_cache_pct,used_without_buffer_cache_mib,used_without_buffer_cache_pct,swap_in_kib_s,swap_out_kib_s,context_switches_s,cpu_user_pct,cpu_system_pct,cpu_idle_pct,cpu_iowait_pct
1,0,24032.0,4.03515625,2262.63671875,392.83984375,19851.87109375,22507.34765625,21769.36328125,90.58490047124667,1524.65234375,6.344259086842544,0.0,0.0,3644.0,9.0,7.0,84.0,0.0
2,1,24032.0,4.03515625,2262.63671875,392.83984375,19851.90234375,22507.37890625,21769.36328125,90.58490047124667,1524.62109375,6.344129051889149,0.0,0.0,2318.0,5.0,2.0,94.0,0.0
3,2,24032.0,4.03515625,2261.43359375,392.83984375,19851.94921875,22506.22265625,21770.56640625,90.58990681695239,1525.77734375,6.34894034516478,0.0,0.0,2810.0,5.0,3.0,92.0,0.0
4,3,24032.0,4.03515625,2261.59375,392.83984375,19851.9765625,22506.41015625,21770.40625,90.58924038781625,1525.58984375,6.348160135444407,0.0,0.0,2379.0,5.0,3.0,92.0,0.0
5,4,24032.0,4.03515625,2259.90234375,392.83984375,19852.0,22504.7421875,21772.09765625,90.59627852966877,1527.2578125,6.355100751081891,0.0,0.0,2073.0,4.0,2.0,94.0,0.0
6,5,24032.0,4.03515625,2260.375,392.83984375,19852.0390625,22505.25390625,21771.625,90.59431175099867,1526.74609375,6.35297142872004,0.0,0.0,3143.0,7.0,5.0,89.0,0.0
7,6,24032.0,4.03515625,2261.015625,392.83984375,19852.0625,22505.91796875,21770.984375,90.59164603445407,1526.08203125,6.350208185960386,0.0,0.0,2367.0,5.0,2.0,93.0,0.0
8,7,24032.0,4.03515625,2258.54296875,392.83984375,19852.09375,22503.4765625,21773.45703125,90.60193505014148,1528.5234375,6.360367166694407,0.0,0.0,2488.0,5.0,3.0,92.0,0.0
9,8,24032.0,4.03515625,2251.2734375,392.83984375,19852.10546875,22496.21875,21780.7265625,90.6321844311751,1535.78125,6.390567784620506,0.0,0.0,2292.0,4.0,4.0,92.0,0.0
10,9,24032.0,4.03515625,2251.03125,392.83984375,19852.1328125,22496.00390625,21780.96875,90.63319220206392,1535.99609375,6.3914617749251,0.0,0.0,2368.0,10.0,2.0,88.0,0.0
11,10,24032.0,4.03515625,2256.328125,392.83984375,19852.171875,22501.33984375,21775.671875,90.61115127746339,1530.66015625,6.369258306632823,0.0,0.0,2041.0,4.0,2.0,94.0,0.0
12,11,24032.0,4.03515625,2265.03515625,392.83984375,19852.2109375,22510.0859375,21766.96484375,90.57492028857357,1521.9140625,6.332864774051266,0.0,0.0,5030.0,7.0,5.0,87.0,0.0
13,12,24032.0,4.03515625,2270.96875,392.83984375,19852.25390625,22516.0625,21761.03125,90.55022990179761,1515.9375,6.307995589214381,0.0,0.0,2515.0,5.0,3.0,92.0,0.0
14,13,24032.0,4.03515625,2268.08984375,392.83984375,19852.28515625,22513.21484375,21763.91015625,90.56220937187916,1518.78515625,6.319845024342544,0.0,0.0,4404.0,6.0,3.0,90.0,0.0
15,14,24032.0,4.03515625,2259.02734375,392.83984375,19852.3359375,22504.203125,21772.97265625,90.59991950836384,1527.796875,6.357343854027962,0.0,0.0,8548.0,7.0,5.0,88.0,0.0
16,15,24032.0,4.03515625,2268.67578125,392.83984375,19852.359375,22513.875,21763.32421875,90.559771216503,1518.125,6.317098035952064,0.0,0.0,2302.0,5.0,2.0,93.0,0.0
17,16,24032.0,4.03515625,2270.71484375,392.83984375,19852.3828125,22515.9375,21761.28515625,90.55128643579394,1516.0625,6.308515729027962,0.0,0.0,3120.0,6.0,4.0,90.0,0.0
18,17,24032.0,4.03515625,2279.80859375,392.83984375,19852.421875,22525.0703125,21752.19140625,90.51344626435586,1506.9296875,6.270513013898135,0.0,0.0,2419.0,5.0,3.0,92.0,0.0
19,18,24032.0,4.03515625,2287.19140625,392.83984375,19852.43359375,22532.46484375,21744.80859375,90.48272550661618,1499.53515625,6.239743493050932,0.0,0.0,2492.0,5.0,2.0,93.0,0.0
20,19,24032.0,4.03515625,2283.28515625,392.83984375,19852.46484375,22528.58984375,21748.71484375,90.49897987579061,1503.41015625,6.25586782727197,0.0,0.0,2703.0,10.0,3.0,87.0,0.0
21,20,24032.0,4.03515625,2286.97265625,392.83984375,19852.4921875,22532.3046875,21745.02734375,90.48363575128995,1499.6953125,6.240409922187084,0.0,0.0,2086.0,4.0,2.0,93.0,0.0
22,21,24032.0,4.03515625,2279.51171875,392.83984375,19852.515625,22524.8671875,21752.48828125,90.51468159641311,1507.1328125,6.271358241095207,0.0,0.0,3552.0,7.0,4.0,89.0,0.0
