Linux 6.8.0-55-generic (ubuntu) 	16/06/26 	_x86_64_	(8 CPU)

15:59:37     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:59:38     all    8,58    0,00    6,68    0,76    0,00    0,50    0,00    0,00    0,00   83,48
15:59:38       0    9,18    0,00    4,08    0,00    0,00    1,02    0,00    0,00    0,00   85,71
15:59:38       1   15,00    0,00   11,00    0,00    0,00    1,00    0,00    0,00    0,00   73,00
15:59:38       2    1,01    0,00    4,04    0,00    0,00    1,01    0,00    0,00    0,00   93,94
15:59:38       3   10,00    0,00    6,00    0,00    0,00    1,00    0,00    0,00    0,00   83,00
15:59:38       4    6,06    0,00    7,07    1,01    0,00    0,00    0,00    0,00    0,00   85,86
15:59:38       5    9,00    0,00    8,00    1,00    0,00    0,00    0,00    0,00    0,00   82,00
15:59:38       6   15,31    0,00    7,14    2,04    0,00    0,00    0,00    0,00    0,00   75,51
15:59:38       7    3,03    0,00    6,06    2,02    0,00    0,00    0,00    0,00    0,00   88,89

15:59:38     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:59:39     all    4,54    0,00    1,64    0,00    0,00    0,38    0,00    0,00    0,00   93,44
15:59:39       0   16,00    0,00    2,00    0,00    0,00    1,00    0,00    0,00    0,00   81,00
15:59:39       1    2,04    0,00    2,04    0,00    0,00    0,00    0,00    0,00    0,00   95,92
15:59:39       2    2,02    0,00    3,03    0,00    0,00    0,00    0,00    0,00    0,00   94,95
15:59:39       3    2,02    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   97,98
15:59:39       4    2,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   97,00
15:59:39       5   11,11    0,00    3,03    0,00    0,00    1,01    0,00    0,00    0,00   84,85
15:59:39       6    1,01    0,00    1,01    0,00    0,00    1,01    0,00    0,00    0,00   96,97
15:59:39       7    0,00    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   98,99

15:59:39     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:59:40     all    4,94    0,00    2,53    0,13    0,00    0,13    0,00    0,00    0,00   92,27
15:59:40       0    1,02    0,00    1,02    1,02    0,00    0,00    0,00    0,00    0,00   96,94
15:59:40       1    6,12    0,00    3,06    0,00    0,00    0,00    0,00    0,00    0,00   90,82
15:59:40       2   17,17    0,00    3,03    0,00    0,00    1,01    0,00    0,00    0,00   78,79
15:59:40       3    7,14    0,00    2,04    0,00    0,00    0,00    0,00    0,00    0,00   90,82
15:59:40       4    1,02    0,00    1,02    0,00    0,00    0,00    0,00    0,00    0,00   97,96
15:59:40       5    2,02    0,00    5,05    0,00    0,00    0,00    0,00    0,00    0,00   92,93
15:59:40       6    3,03    0,00    3,03    0,00    0,00    0,00    0,00    0,00    0,00   93,94
15:59:40       7    2,00    0,00    2,00    0,00    0,00    0,00    0,00    0,00    0,00   96,00

15:59:40     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:59:41     all    5,04    0,00    2,39    0,13    0,00    0,25    0,00    0,00    0,00   92,19
15:59:41       0    3,96    0,00    2,97    0,00    0,00    0,99    0,00    0,00    0,00   92,08
15:59:41       1   14,00    0,00    5,00    1,00    0,00    1,00    0,00    0,00    0,00   79,00
15:59:41       2    1,01    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   97,98
15:59:41       3    6,12    0,00    1,02    0,00    0,00    0,00    0,00    0,00    0,00   92,86
15:59:41       4    1,01    0,00    2,02    0,00    0,00    0,00    0,00    0,00    0,00   96,97
15:59:41       5   12,12    0,00    3,03    0,00    0,00    0,00    0,00    0,00    0,00   84,85
15:59:41       6    1,00    0,00    2,00    0,00    0,00    0,00    0,00    0,00    0,00   97,00
15:59:41       7    1,02    0,00    2,04    0,00    0,00    0,00    0,00    0,00    0,00   96,94

15:59:41     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:59:42     all    4,29    0,00    1,52    0,00    0,00    0,13    0,00    0,00    0,00   94,07
15:59:42       0    1,02    0,00    1,02    0,00    0,00    0,00    0,00    0,00    0,00   97,96
15:59:42       1   15,15    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   83,84
15:59:42       2    2,02    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   96,97
15:59:42       3   10,10    0,00    3,03    0,00    0,00    1,01    0,00    0,00    0,00   85,86
15:59:42       4    2,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   97,00
15:59:42       5    2,04    0,00    3,06    0,00    0,00    0,00    0,00    0,00    0,00   94,90
15:59:42       6    1,01    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   97,98
15:59:42       7    1,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   98,00

15:59:42     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:59:43     all    6,52    0,00    4,52    0,00    0,00    0,50    0,00    0,00    0,00   88,46
15:59:43       0    2,00    0,00    3,00    0,00    0,00    1,00    0,00    0,00    0,00   94,00
15:59:43       1    2,00    0,00    3,00    0,00    0,00    1,00    0,00    0,00    0,00   94,00
15:59:43       2    4,95    0,00    2,97    0,00    0,00    0,99    0,00    0,00    0,00   91,09
15:59:43       3   26,00    0,00    6,00    0,00    0,00    0,00    0,00    0,00    0,00   68,00
