procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  3   4132 2383980 402268 20327076    0    0    59   222 1654    1  2  1 97  0  0  0
 0  0   4132 2316940 402268 20328316    0    0   992   156 5801 3644  9  7 84  0  0  0
 0  0   4132 2316940 402268 20328348    0    0     0   212 3302 2318  5  2 94  0  0  0
 0  0   4132 2315708 402268 20328396    0    0     0   176 4007 2810  5  3 92  0  0  0
 0  0   4132 2315872 402268 20328424    0    0     0   280 3399 2379  5  3 92  0  0  0
 1  0   4132 2314140 402268 20328448    0    0     0    72 2993 2073  4  2 94  0  0  0
 1  0   4132 2314624 402268 20328488    0    0     0  1272 4476 3143  7  5 89  0  0  0
 0  0   4132 2315280 402268 20328512    0    0     0   184 3464 2367  5  2 93  0  0  0
 0  0   4132 2312748 402268 20328544    0    0     0   128 3560 2488  5  3 92  0  0  0
 1  0   4132 2305304 402268 20328556    0    0     0   340 3309 2292  4  4 92  0  0  0
 0  0   4132 2305056 402268 20328584    0    0     0   104 3665 2368 10  2 88  0  0  0
 0  0   4132 2310480 402268 20328624    0    0     0   840 3078 2041  4  2 94  0  0  0
 0  0   4132 2319396 402268 20328664    0    0     0   164 5447 5030  7  5 87  0  0  0
 2  0   4132 2325472 402268 20328708    0    0     0   100 3602 2515  5  3 92  0  0  0
 2  0   4132 2322524 402268 20328740    0    0     0   288 4895 4404  6  3 90  0  0  0
 1  0   4132 2313244 402268 20328792    0    0     0    72 7444 8548  7  5 88  0  0  0
 2  0   4132 2323124 402268 20328816    0    0     0   112 3376 2302  5  2 93  0  0  0
 2  0   4132 2325212 402268 20328840    0    0     0  1068 4608 3120  6  4 90  0  0  0
 2  0   4132 2334524 402268 20328880    0    0     0   132 3393 2419  5  3 92  0  0  0
 1  0   4132 2342084 402268 20328892    0    0     0   364 3360 2492  5  2 93  0  0  0
 4  0   4132 2338084 402268 20328924    0    0     0   112 3999 2703 10  3 87  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0   4132 2341860 402268 20328952    0    0     0    80 3117 2086  4  2 93  0  0  0
 0  0   4132 2334220 402268 20328976    0    0     0   156 4478 3552  7  4 89  0  0  0
 0  0   4132 2332724 402268 20329012    0    0     0    96 3482 2486  5  2 93  0  0  0
 0  0   4132 2332916 402268 20329040    0    0     0   220 4695 4271  5  3 92  0  0  0
 0  0   4132 2331932 402268 20329076    0    0     0    92 2962 2044  4  2 94  0  0  0
 0  0   4132 2338560 402268 20329068    0    0     0   112 3736 2721  5  3 92  0  0  0
 3  0   4132 2335028 402268 20329096    0    0     0   968 4319 2965  6  4 90  0  0  0
 1  0   4132 2333768 402268 20329120    0    0     0   120 3213 2176  5  2 93  0  0  0
 0  0   4132 2336960 402268 20329152    0    0     0   292 3316 2346  4  2 93  0  0  0
 0  0   4132 2334220 402268 20329168    0    0     0   112 3025 1982  4  2 93  0  0  0
 2  0   4132 2332208 402268 20329208    0    0     0    88 3112 2072  4  2 94  0  0  0
 0  0   4132 2328680 402268 20329220    0    0     0   928 3348 2185  5  2 93  0  0  0
 2  0   4132 2328652 402268 20329400    0    0     0   144 4927 3452 10  4 86  0  0  0
 0  0   4132 2328036 402268 20329428    0    0     0   288 3111 2219  5  2 93  0  0  0
 5  0   4132 2327032 402268 20329448    0    0     0    72 2865 1916  4  2 94  0  0  0
 0  0   4132 2323532 402268 20329484    0    0     0   140 3120 2163  5  2 93  0  0  0
 0  0   4132 2321516 402268 20329504    0    0     0   864 3034 2103  4  2 94  0  0  0
 0  0   4132 2319036 402268 20329540    0    0     0  1044 4546 3134  6  4 90  0  0  0
 0  0   4132 2318784 402268 20329568    0    0     0   344 3431 2315  5  3 92  0  0  0
 0  0   4132 2323596 402268 20329596    0    0     0   104 3202 2226  5  2 93  0  0  0
 1  0   4132 2317348 402268 20329612    0    0     0    80 3037 2039  5  3 93  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0   4132 2314636 402268 20329640    0    0     0   104 3021 2059  5  2 94  0  0  0
 0  0   4132 2312872 402268 20329660    0    0     0   152 4147 3029  5  4 91  0  0  0
 1  0   4132 2310996 402268 20329684    0    0     0   232 4357 3996  5  3 92  0  0  0
 1  0   4132 2312184 402268 20329720    0    0     0    76 7613 8509 12  4 84  0  0  0
 0  0   4132 2311264 402268 20329756    0    0     0   112 3143 2184  5  2 93  0  0  0
 0  0   4132 2316076 402268 20329788    0    0     0    72 3193 2317  4  2 93  0  0  0
 1  0   4132 2315048 402268 20329812    0    0     0   920 4857 3385  6  4 89  0  0  0
 0  0   4132 2314908 402268 20329852    0    0     0   232 3713 2700  5  2 92  0  0  0
