rank,process,avg_rss_mib,max_rss_mib,avg_vsz_mib,avg_mem_pct,max_mem_pct,cumulative_rss_mib,samples,source_files
1,node-red,319.922,321.223,12251.855,1.330,1.340,319.922,301,pidstat_all.log
2,tshark,144.250,144.250,851.791,0.600,0.600,464.172,2,pidstat_all.log
3,dockerd,102.352,102.352,3484.191,0.430,0.430,566.524,3,pidstat_all.log
4,systemd-journal,79.945,80.664,161.965,0.331,0.340,646.469,75,pidstat_all.log
5,snapd,44.828,44.828,2241.730,0.190,0.190,691.297,9,pidstat_all.log
6,postgres,44.572,98.602,178.994,0.186,0.410,735.869,1469,pidstat_all.log
7,wazuh-logcollec,42.797,43.078,1286.285,0.180,0.180,778.666,14,pidstat_all.log
8,lldap,15.555,15.555,31.564,0.060,0.060,794.221,12,pidstat_all.log
9,systemd,14.137,14.137,22.559,0.060,0.060,808.357,85,pidstat_all.log
10,runc,11.625,11.625,1785.418,0.050,0.050,819.982,3,pidstat_all.log
11,containerd-shim,11.219,12.008,1204.909,0.049,0.050,831.201,153,pidstat_all.log
12,wazuh-agentd,10.613,10.613,307.973,0.040,0.040,841.815,89,pidstat_all.log
13,dumpcap,7.250,7.250,12.922,0.030,0.030,849.065,2,pidstat_all.log
14,nginx,6.336,6.336,40.762,0.030,0.030,855.401,11,pidstat_all.log
15,systemd-udevd,6.125,6.125,27.164,0.030,0.030,861.526,116,pidstat_all.log
16,pidstat,5.859,5.875,9.230,0.020,0.020,867.385,8,pidstat_all.log
17,dbus-daemon,5.297,5.297,9.973,0.020,0.020,872.682,2,pidstat_all.log
18,mtr,4.746,5.250,6.551,0.018,0.020,877.428,5,pidstat_all.log
19,bash,4.125,4.125,7.828,0.020,0.020,881.553,15,pidstat_all.log
20,(udev-worker),3.642,3.734,27.168,0.018,0.020,885.195,118,pidstat_all.log
21,pg_isready,3.000,3.000,8.539,0.010,0.010,888.195,1,pidstat_all.log
22,ping,2.625,2.625,7.492,0.010,0.010,890.820,12,pidstat_all.log
23,sar,2.375,2.375,5.676,0.010,0.010,893.195,1,pidstat_all.log
24,timeout,2.000,2.000,5.559,0.010,0.010,895.195,1,pidstat_all.log
25,sleep,2.000,2.000,5.551,0.010,0.010,897.195,1,pidstat_all.log
26,mtr-packet,1.750,1.750,2.637,0.010,0.010,898.945,1,pidstat_all.log
27,wget,0.875,0.875,1.656,0.000,0.000,899.820,1,pidstat_all.log
