Linux 6.8.0-55-generic (ubuntu) 	16/06/26 	_x86_64_	(8 CPU)

15:59:37        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
15:59:38        all      8,56      0,00      6,17      0,50      0,00      0,00      0,50      0,00      0,00     84,26
15:59:39        all      4,42      0,00      1,52      0,00      0,00      0,00      0,38      0,00      0,00     93,69
15:59:40        all      4,94      0,00      2,53      0,13      0,00      0,00      0,13      0,00      0,00     92,28
15:59:41        all      5,17      0,00      2,40      0,13      0,00      0,00      0,25      0,00      0,00     92,06
15:59:42        all      4,29      0,00      1,64      0,00      0,00      0,00      0,13      0,00      0,00     93,94
15:59:43        all      6,42      0,00      4,53      0,00      0,00      0,00      0,63      0,00      0,00     88,43
15:59:44        all      4,55      0,00      2,27      0,00      0,00      0,00      0,38      0,00      0,00     92,80
15:59:45        all      5,54      0,00      2,64      0,25      0,00      0,00      0,00      0,00      0,00     91,56
15:59:46        all      3,92      0,00      3,29      0,13      0,00      0,00      0,38      0,00      0,00     92,28
15:59:47        all      9,47      0,00      2,15      0,13      0,00      0,00      0,25      0,00      0,00     88,01
15:59:48        all      4,29      0,00      1,89      0,00      0,00      0,00      0,50      0,00      0,00     93,32
15:59:49        all      7,19      0,00      5,42      0,25      0,00      0,00      0,13      0,00      0,00     87,01
15:59:50        all      4,96      0,00      2,16      0,00      0,00      0,00      0,25      0,00      0,00     92,63
15:59:51        all      6,58      0,00      2,78      0,25      0,00      0,00      0,25      0,00      0,00     90,13
15:59:52        all      7,59      0,00      4,05      0,13      0,00      0,00      0,51      0,00      0,00     87,72
15:59:53        all      4,79      0,00      2,02      0,13      0,00      0,00      0,38      0,00      0,00     92,69
15:59:54        all      6,16      0,00      4,02      0,13      0,00      0,00      0,25      0,00      0,00     89,45
15:59:55        all      4,58      0,00      2,04      0,13      0,00      0,00      0,00      0,00      0,00     93,26
15:59:56        all      4,90      0,00      2,26      0,00      0,00      0,00      0,50      0,00      0,00     92,34
15:59:57        all      9,49      0,00      2,66      0,00      0,00      0,00      0,25      0,00      0,00     87,59
15:59:58        all      4,41      0,00      2,14      0,25      0,00      0,00      0,38      0,00      0,00     92,82
15:59:59        all      6,60      0,00      3,43      0,13      0,00      0,00      0,13      0,00      0,00     89,72
16:00:00        all      4,53      0,00      2,39      0,13      0,00      0,00      0,50      0,00      0,00     92,44
16:00:01        all      5,06      0,00      2,28      0,38      0,00      0,00      0,25      0,00      0,00     92,04
16:00:02        all      4,42      0,00      1,52      0,13      0,00      0,00      0,13      0,00      0,00     93,81
16:00:03        all      5,54      0,00      2,64      0,00      0,00      0,00      0,50      0,00      0,00     91,31
16:00:04        all      5,82      0,00      3,67      0,25      0,00      0,00      0,13      0,00      0,00     90,14
16:00:05        all      4,42      0,00      1,77      0,00      0,00      0,00      0,38      0,00      0,00     93,43
16:00:06        all      4,42      0,00      2,27      0,13      0,00      0,00      0,38      0,00      0,00     92,80
16:00:07        all      4,30      0,00      1,77      0,00      0,00      0,00      0,13      0,00      0,00     93,80
16:00:08        all      4,40      0,00      1,88      0,13      0,00      0,00      0,25      0,00      0,00     93,34
16:00:09        all      4,43      0,00      2,03      0,00      0,00      0,00      0,38      0,00      0,00     93,16
16:00:10        all     10,14      0,00      4,06      0,13      0,00      0,00      0,13      0,00      0,00     85,55
16:00:11        all      4,68      0,00      1,64      0,25      0,00      0,00      0,25      0,00      0,00     93,17
16:00:12        all      3,90      0,00      1,76      0,00      0,00      0,00      0,25      0,00      0,00     94,08
16:00:13        all      4,91      0,00      2,26      0,13      0,00      0,00      0,25      0,00      0,00     92,45
16:00:14        all      4,04      0,00      1,77      0,25      0,00      0,00      0,13      0,00      0,00     93,81
16:00:15        all      5,47      0,00      3,44      0,00      0,00      0,00      0,38      0,00      0,00     90,71
16:00:16        all      5,16      0,00      2,39      0,13      0,00      0,00      0,25      0,00      0,00     92,08
16:00:17        all      4,66      0,00      1,89      0,13      0,00      0,00      0,38      0,00      0,00     92,95
16:00:18        all      4,68      0,00      2,15      0,00      0,00      0,00      0,25      0,00      0,00     92,92
16:00:19        all      4,42      0,00      1,64      0,13      0,00      0,00      0,25      0,00      0,00     93,55
16:00:20        all      5,43      0,00      3,54      0,00      0,00      0,00      0,38      0,00      0,00     90,66
16:00:21        all      4,92      0,00      2,27      0,25      0,00      0,00      0,25      0,00      0,00     92,31
16:00:22        all     11,76      0,00      3,79      0,00      0,00      0,00      0,63      0,00      0,00     83,82
16:00:23        all      4,67      0,00      1,89      0,00      0,00      0,00      0,25      0,00      0,00     93,19
16:00:24        all      4,55      0,00      1,77      0,13      0,00      0,00      0,38      0,00      0,00     93,17
16:00:25        all      6,32      0,00      3,92      0,25      0,00      0,00      0,13      0,00      0,00     89,38
16:00:26        all      4,90      0,00      2,14      0,25      0,00      0,00      0,50      0,00      0,00     92,21
16:00:27        all      4,41      0,00      2,02      0,00      0,00      0,00      0,13      0,00      0,00     93,44
16:00:28        all      4,06      0,00      1,52      0,13      0,00      0,00      0,25      0,00      0,00     94,04
16:00:29        all      4,77      0,00      2,63      0,25      0,00      0,00      0,38      0,00      0,00     91,97
16:00:30        all      4,68      0,00      1,77      0,00      0,00      0,00      0,51      0,00      0,00     93,05
16:00:31        all      6,74      0,00      4,33      0,00      0,00      0,00      0,38      0,00      0,00     88,55
16:00:32        all      4,93      0,00      2,15      0,13      0,00      0,00      0,13      0,00      0,00     92,67
16:00:33        all      5,16      0,00      2,52      0,00      0,00      0,00      0,50      0,00      0,00     91,81
16:00:34        all      9,41      0,00      2,13      0,25      0,00      0,00      0,38      0,00      0,00     87,83
16:00:35        all      4,57      0,00      1,91      0,00      0,00      0,00      0,13      0,00      0,00     93,39
16:00:36        all      6,44      0,00      4,04      0,38      0,00      0,00      0,25      0,00      0,00     88,89
16:00:37        all      4,41      0,00      2,02      0,13      0,00      0,00      0,25      0,00      0,00     93,20
16:00:38        all      4,41      0,00      1,64      0,00      0,00      0,00      0,38      0,00      0,00     93,58
16:00:39        all      3,80      0,00      1,90      0,00      0,00      0,00      0,38      0,00      0,00     93,92
16:00:40        all      4,55      0,00      1,52      0,00      0,00      0,00      0,13      0,00      0,00     93,81
16:00:41        all      5,16      0,00      3,77      0,38      0,00      0,00      0,25      0,00      0,00     90,44
16:00:42        all      4,68      0,00      2,02      0,13      0,00      0,00      0,25      0,00      0,00     92,92
16:00:43        all      4,28      0,00      1,89      0,00      0,00      0,00      0,38      0,00      0,00     93,45
16:00:44        all      4,29      0,00      1,64      0,00      0,00      0,00      0,38      0,00      0,00     93,69
16:00:45        all      4,64      0,00      2,01      0,25      0,00      0,00      0,63      0,00      0,00     92,47
16:00:46        all     10,43      0,00      3,56      0,00      0,00      0,00      0,00      0,00      0,00     86,01
16:00:47        all      4,02      0,00      1,76      0,25      0,00      0,00      0,38      0,00      0,00     93,59
16:00:48        all      4,65      0,00      1,64      0,00      0,00      0,00      0,50      0,00      0,00     93,21
16:00:49        all      4,05      0,00      1,52      0,13      0,00      0,00      0,51      0,00      0,00     93,80
16:00:50        all      4,77      0,00      2,01      0,00      0,00      0,00      0,25      0,00      0,00     92,97
16:00:51        all      4,92      0,00      2,40      0,25      0,00      0,00      0,38      0,00      0,00     92,06
16:00:52        all      7,86      0,00      5,20      0,00      0,00      0,00      0,13      0,00      0,00     86,82
16:00:53        all      4,53      0,00      2,14      0,00      0,00      0,00      0,25      0,00      0,00     93,07
16:00:54        all      4,03      0,00      1,76      0,13      0,00      0,00      0,50      0,00      0,00     93,58
16:00:55        all      4,80      0,00      1,89      0,13      0,00      0,00      0,25      0,00      0,00     92,93
16:00:56        all      8,72      0,00      1,90      0,00      0,00      0,00      0,13      0,00      0,00     89,25
