sample,epoch,target,port,ok,tcp_connect_ms,error
1,1782364144.732435,PRIVATE_IP_022,502,1,6.622220,
2,1782364144.9372385,PRIVATE_IP_022,502,1,4.527149,
3,1782364145.1410954,PRIVATE_IP_022,502,1,3.630643,
4,1782364145.3464596,PRIVATE_IP_022,502,1,5.017670,
5,1782364145.5502474,PRIVATE_IP_022,502,1,3.626291,
6,1782364145.7555714,PRIVATE_IP_022,502,1,5.042201,
7,1782364145.9604788,PRIVATE_IP_022,502,1,4.702930,
8,1782364146.1643496,PRIVATE_IP_022,502,1,3.622004,
9,1782364146.3695016,PRIVATE_IP_022,502,1,5.006370,
10,1782364146.5742753,PRIVATE_IP_022,502,1,4.573160,
11,1782364146.7793317,PRIVATE_IP_022,502,1,4.849322,
12,1782364146.9842498,PRIVATE_IP_022,502,1,4.632676,
13,1782364147.1879988,PRIVATE_IP_022,502,1,3.616230,
14,1782364147.3929555,PRIVATE_IP_022,502,1,4.808180,
15,1782364147.5971875,PRIVATE_IP_022,502,1,3.973638,
16,1782364147.8012145,PRIVATE_IP_022,502,1,3.770231,
17,1782364148.0054238,PRIVATE_IP_022,502,1,4.059757,
18,1782364148.210551,PRIVATE_IP_022,502,1,4.893399,
19,1782364148.4155452,PRIVATE_IP_022,502,1,4.709043,
20,1782364148.6205616,PRIVATE_IP_022,502,1,4.851535,
21,1782364148.8258164,PRIVATE_IP_022,502,1,5.041012,
22,1782364149.0306427,PRIVATE_IP_022,502,1,4.639753,
23,1782364149.2350776,PRIVATE_IP_022,502,1,4.093029,
24,1782364149.440654,PRIVATE_IP_022,502,1,5.286368,
25,1782364149.6455996,PRIVATE_IP_022,502,1,4.667912,
26,1782364149.850379,PRIVATE_IP_022,502,1,4.575809,
27,1782364150.0553653,PRIVATE_IP_022,502,1,4.724191,
28,1782364150.2605402,PRIVATE_IP_022,502,1,4.960139,
29,1782364150.4660783,PRIVATE_IP_022,502,1,5.377767,
30,1782364150.6708431,PRIVATE_IP_022,502,1,4.602277,
31,1782364150.8752582,PRIVATE_IP_022,502,1,4.184798,
32,1782364151.0791974,PRIVATE_IP_022,502,1,3.685364,
33,1782364151.2849646,PRIVATE_IP_022,502,1,5.513771,
34,1782364151.489496,PRIVATE_IP_022,502,1,4.297903,
35,1782364151.6945255,PRIVATE_IP_022,502,1,4.762552,
36,1782364151.8994308,PRIVATE_IP_022,502,1,4.639251,
37,1782364152.10378,PRIVATE_IP_022,502,1,4.207167,
38,1782364152.3084965,PRIVATE_IP_022,502,1,4.426782,
39,1782364152.5146441,PRIVATE_IP_022,502,1,5.863908,
40,1782364152.7191675,PRIVATE_IP_022,502,1,4.412499,
41,1782364152.9245493,PRIVATE_IP_022,502,1,5.183773,
42,1782364153.13458,PRIVATE_IP_022,502,1,9.877748,
43,1782364153.3393605,PRIVATE_IP_022,502,1,4.588214,
44,1782364153.5435674,PRIVATE_IP_022,502,1,3.989957,
45,1782364153.7482276,PRIVATE_IP_022,502,1,4.460258,
46,1782364153.9521177,PRIVATE_IP_022,502,1,3.673452,
47,1782364154.1572435,PRIVATE_IP_022,502,1,4.902125,
48,1782364154.3627942,PRIVATE_IP_022,502,1,5.333827,
49,1782364154.5672278,PRIVATE_IP_022,502,1,4.153701,
50,1782364154.7714434,PRIVATE_IP_022,502,1,3.999095,
51,1782364154.976847,PRIVATE_IP_022,502,1,5.201461,
52,1782364155.1818328,PRIVATE_IP_022,502,1,4.743722,
53,1782364155.3860433,PRIVATE_IP_022,502,1,4.015634,
54,1782364155.5902846,PRIVATE_IP_022,502,1,4.053424,
55,1782364155.7941911,PRIVATE_IP_022,502,1,3.727855,
56,1782364155.9985898,PRIVATE_IP_022,502,1,4.119377,
57,1782364156.203089,PRIVATE_IP_022,502,1,4.371562,
58,1782364156.4071853,PRIVATE_IP_022,502,1,3.938588,
59,1782364156.611312,PRIVATE_IP_022,502,1,3.850450,
60,1782364156.817798,PRIVATE_IP_022,502,1,6.293629,
61,1782364157.0222578,PRIVATE_IP_022,502,1,4.275429,
62,1782364157.2264845,PRIVATE_IP_022,502,1,3.983483,
63,1782364157.43124,PRIVATE_IP_022,502,1,4.588515,
64,1782364157.6356225,PRIVATE_IP_022,502,1,4.260214,
65,1782364157.8401377,PRIVATE_IP_022,502,1,4.310561,
66,1782364158.0437784,PRIVATE_IP_022,502,1,3.462607,
67,1782364158.2482994,PRIVATE_IP_022,502,1,4.356621,
68,1782364158.453624,PRIVATE_IP_022,502,1,5.121992,
69,1782364158.6596408,PRIVATE_IP_022,502,1,5.819550,
70,1782364158.864827,PRIVATE_IP_022,502,1,4.962692,
71,1782364159.0683374,PRIVATE_IP_022,502,1,3.384329,
72,1782364159.2747302,PRIVATE_IP_022,502,1,5.907371,
73,1782364159.4794688,PRIVATE_IP_022,502,1,4.501387,
74,1782364159.6845467,PRIVATE_IP_022,502,1,4.824946,
75,1782364159.8890119,PRIVATE_IP_022,502,1,4.155475,
76,1782364160.0932918,PRIVATE_IP_022,502,1,4.104558,
77,1782364160.2971823,PRIVATE_IP_022,502,1,3.725470,
78,1782364160.5014756,PRIVATE_IP_022,502,1,3.989079,
79,1782364160.706493,PRIVATE_IP_022,502,1,4.794568,
