Linux 6.8.0-55-generic (ubuntu) 	24/06/26 	_x86_64_	(8 CPU)

23:06:32        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
23:06:33        all      7,59      0,00      6,71      0,00      0,00      0,00      0,25      0,00      0,00     85,44
23:06:34        all      5,56      0,00      2,28      0,00      0,00      0,00      0,38      0,00      0,00     91,78
23:06:35        all      8,85      0,00      2,53      0,00      0,00      0,00      0,38      0,00      0,00     88,24
23:06:36        all      4,92      0,00      1,77      0,13      0,00      0,00      0,13      0,00      0,00     93,06
23:06:37        all      4,68      0,00      1,90      0,00      0,00      0,00      0,25      0,00      0,00     93,17
23:06:38        all      5,65      0,00      3,89      0,13      0,00      0,00      0,50      0,00      0,00     89,82
23:06:39        all      6,58      0,00      2,78      0,00      0,00      0,00      0,63      0,00      0,00     90,00
23:06:40        all      4,71      0,00      1,78      0,13      0,00      0,00      0,13      0,00      0,00     93,26
23:06:41        all      4,16      0,00      2,14      0,13      0,00      0,00      0,38      0,00      0,00     93,20
23:06:42        all      4,79      0,00      2,02      0,13      0,00      0,00      0,38      0,00      0,00     92,70
23:06:43        all      4,04      0,25      2,02      0,00      0,00      0,00      0,25      0,00      0,00     93,44
23:06:44        all      6,71      0,00      4,18      0,25      0,00      0,00      0,25      0,00      0,00     88,61
23:06:45        all      8,84      0,00      2,02      0,13      0,00      0,00      0,38      0,00      0,00     88,64
23:06:46        all      5,92      0,00      2,39      0,00      0,00      0,00      0,50      0,00      0,00     91,18
23:06:47        all      3,90      0,00      1,89      0,13      0,00      0,00      0,25      0,00      0,00     93,83
23:06:48        all      4,54      0,00      2,14      0,13      0,00      0,00      0,13      0,00      0,00     93,06
23:06:49        all      8,37      0,00      4,82      0,13      0,00      0,00      0,38      0,00      0,00     86,31
23:06:50        all      5,16      0,00      2,02      0,00      0,00      0,00      0,50      0,00      0,00     92,32
23:06:51        all      4,68      0,00      1,90      0,00      0,00      0,00      0,13      0,00      0,00     93,29
23:06:52        all      4,54      0,00      2,40      0,00      0,00      0,00      0,25      0,00      0,00     92,81
23:06:53        all      4,29      0,00      1,64      0,25      0,00      0,00      0,13      0,00      0,00     93,69
23:06:54        all      5,43      0,00      3,16      0,13      0,00      0,00      0,25      0,00      0,00     91,04
23:06:55        all      4,15      0,00      1,88      0,00      0,00      0,00      0,38      0,00      0,00     93,59
