procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0   4132 1700216 420852 20900144    0    0    53   228 1826    2  2  1 97  0  0  0
 0  0   4132 1635220 420852 20900296    0    0     0   192 6119 4223  8  7 86  0  0  0
 0  0   4132 1641832 420852 20900328    0    0     0   104 3879 2616  5  3 92  0  0  0
 1  0   4132 1638556 420852 20900372    0    0     0   240 3988 2674  9  3 88  0  0  0
 0  0   4132 1633900 420852 20900396    0    0     0   260 3383 2482  5  2 93  0  0  0
 0  0   4132 1633280 420852 20900436    0    0     0   320 3203 2557  5  2 93  0  0  0
 2  0   4132 1642276 420852 20900472    0    0     0   172 4147 3026  6  4 90  0  0  0
 1  0   4132 1635744 420852 20900508    0    0     0   132 5394 4692  7  3 90  0  0  0
 0  0   4132 1632244 420852 20900548    0    0     0   272 3710 2914  5  2 93  0  0  0
 1  0   4132 1632244 420852 20900568    0    0     0    80 3222 2295  4  2 93  0  0  0
 1  0   4132 1637484 420852 20900588    0    0     0   272 3325 2372  5  2 93  0  0  0
 1  0   4132 1635720 420852 20900612    0    0     0   240 3052 2136  4  2 93  0  0  0
 1  0   4132 1648176 420852 20900656    0    0     0   176 5077 3627  7  5 88  0  0  0
 1  0   4132 1650220 420852 20900676    0    0     0   204 3616 2334  9  2 89  0  0  0
 1  0   4132 1649464 420852 20900708    0    0     0   116 3952 2717  6  3 92  0  0  0
 1  0   4132 1647476 420852 20900720    0    0     0   100 2973 2095  4  2 93  0  0  0
 1  0   4132 1648272 420852 20900756    0    0     0   304 3135 2140  4  3 93  0  0  0
 1  0   4132 1637584 420852 20900780    0    0     0   136 7278 7478  8  5 87  0  0  0
 1  0   4132 1634824 420852 20900828    0    0     0   236 3531 2535  5  2 92  0  0  0
 2  0   4132 1631500 420852 20900844    0    0     0    92 3066 2166  5  2 93  0  0  0
 1  0   4132 1628728 420852 20900872    0    0     0  2084 3772 2349  5  3 93  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0   4132 1627268 420852 20900880    0    0     0   228 2822 2062  4  2 94  0  0  0
 1  0   4132 1626536 420852 20900920    0    0     0   180 4215 3125  6  3 91  0  0  0
 2  0   4132 1632032 420852 20900932    0    0     0   224 2795 1977  4  2 94  0  0  0
 1  0   4132 1630776 420852 20900960    0    0     0   108 6881 2772  9  2 88  0  0  0
 1  0   4132 1626184 420852 20900980    0    0     0   128 4512 4224  5  3 92  0  0  0
 0  0   4132 1624196 420852 20901016    0    0     0   128 3120 2328  4  2 94  0  0  0
 3  0   4132 1631372 420852 20901172    0    0     0   208 3840 2621  6  4 91  0  0  0
