src_ip,dst_ip,direction,adu_count,adu_bytes,tcp_payload_bytes
PRIVATE_IP_001,PRIVATE_IP_016,query,1499,17988,17988
PRIVATE_IP_016,PRIVATE_IP_001,response,1498,174278,174278
PRIVATE_IP_001,PRIVATE_IP_022,query,1198,14376,14376
PRIVATE_IP_022,PRIVATE_IP_001,response,1197,159419,159419
PRIVATE_IP_001,PRIVATE_IP_019,query,451,5412,5412
PRIVATE_IP_019,PRIVATE_IP_001,response,450,64350,64350
PRIVATE_IP_001,PRIVATE_IP_020,query,450,5400,5400
PRIVATE_IP_001,PRIVATE_IP_018,query,450,5400,5400
PRIVATE_IP_018,PRIVATE_IP_001,response,449,64339,64339
PRIVATE_IP_020,PRIVATE_IP_001,response,449,86689,86689
PRIVATE_IP_001,PRIVATE_IP_026,query,302,3624,3624
PRIVATE_IP_001,PRIVATE_IP_021,query,301,3612,3612
PRIVATE_IP_021,PRIVATE_IP_001,response,300,62700,62700
PRIVATE_IP_026,PRIVATE_IP_001,response,300,20700,20700
PRIVATE_IP_001,PRIVATE_IP_010,query,150,1800,1800
PRIVATE_IP_001,PRIVATE_IP_017,query,150,1800,1800
PRIVATE_IP_010,PRIVATE_IP_001,response,150,7950,7950
PRIVATE_IP_017,PRIVATE_IP_001,response,150,1350,1350
PRIVATE_IP_001,PRIVATE_IP_015,query,149,1788,1788
PRIVATE_IP_001,PRIVATE_IP_013,query,149,1788,1788
PRIVATE_IP_001,PRIVATE_IP_014,query,149,1788,1788
PRIVATE_IP_013,PRIVATE_IP_001,response,149,7897,7897
PRIVATE_IP_014,PRIVATE_IP_001,response,149,7897,7897
PRIVATE_IP_015,PRIVATE_IP_001,response,149,7897,7897
