frame_index,time_epoch,src_ip,dst_ip,src_port,dst_port,direction,transaction_id,protocol_id,length,unit_id,function_code,function_base,function_name,is_exception,exception_code,reference_num,quantity,byte_count,value_hex,adu_bytes,tcp_payload_bytes,register_signature
1,1781798342.2520738,PRIVATE_IP_001,PRIVATE_IP_016,35554,502,query,17,0,6,1,3,3,Read Holding Registers,False,,300.0,22.0,,,12,12,fc3:unit1:reg300:qty22:serverPRIVATE_IP_016
2,1781798342.2577305,PRIVATE_IP_016,PRIVATE_IP_001,502,35554,response,17,0,47,1,3,3,Read Holding Registers,False,,,,44.0,REDACTED_PAYLOAD,53,53,
4,1781798342.264135,PRIVATE_IP_001,PRIVATE_IP_016,35554,502,query,18,0,6,1,3,3,Read Holding Registers,False,,1.0,124.0,,,12,12,fc3:unit1:reg1:qty124:serverPRIVATE_IP_016
5,1781798342.270741,PRIVATE_IP_016,PRIVATE_IP_001,502,35554,response,18,0,251,1,3,3,Read Holding Registers,False,,,,248.0,REDACTED_PAYLOAD,257,257,
6,1781798342.2740643,PRIVATE_IP_001,PRIVATE_IP_016,35554,502,query,19,0,6,1,3,3,Read Holding Registers,False,,125.0,88.0,,,12,12,fc3:unit1:reg125:qty88:serverPRIVATE_IP_016
7,1781798342.2790694,PRIVATE_IP_016,PRIVATE_IP_001,502,35554,response,19,0,179,1,3,3,Read Holding Registers,False,,,,176.0,REDACTED_PAYLOAD,185,185,
8,1781798342.2852085,PRIVATE_IP_001,PRIVATE_IP_018,46478,502,query,78,0,6,1,3,3,Read Holding Registers,False,,0.0,100.0,,,12,12,fc3:unit1:reg0:qty100:serverPRIVATE_IP_018
9,1781798342.2868466,PRIVATE_IP_001,PRIVATE_IP_021,45716,502,query,5,0,6,1,3,3,Read Holding Registers,False,,0.0,100.0,,,12,12,fc3:unit1:reg0:qty100:serverPRIVATE_IP_021
10,1781798342.2869,PRIVATE_IP_001,PRIVATE_IP_019,49960,502,query,78,0,6,1,3,3,Read Holding Registers,False,,0.0,100.0,,,12,12,fc3:unit1:reg0:qty100:serverPRIVATE_IP_019
11,1781798342.286944,PRIVATE_IP_001,PRIVATE_IP_026,51880,502,query,5,0,6,1,4,4,Read Input Registers,False,,0.0,30.0,,,12,12,fc4:unit1:reg0:qty30:serverPRIVATE_IP_026
12,1781798342.2869887,PRIVATE_IP_001,PRIVATE_IP_020,52010,502,query,5,0,6,1,3,3,Read Holding Registers,False,,0.0,100.0,,,12,12,fc3:unit1:reg0:qty100:serverPRIVATE_IP_020
13,1781798342.2885134,PRIVATE_IP_001,PRIVATE_IP_016,35554,502,query,20,0,6,1,3,3,Read Holding Registers,False,,101.0,33.0,,,12,12,fc3:unit1:reg101:qty33:serverPRIVATE_IP_016
