request_frame,response_frame,client_ip,server_ip,transaction_id,unit_id,function_code,function_base,function_name,reference_num,quantity,register_signature,request_time_epoch,response_time_epoch,rtt_ms,status,is_exception,exception_code,request_bytes,response_bytes
1,2,PRIVATE_IP_001,PRIVATE_IP_016,17,1,3,3,Read Holding Registers,300.0,22.0,fc3:unit1:reg300:qty22:serverPRIVATE_IP_016,1781798342.2520738,1781798342.2577305,5.656719207763672,matched,False,,12,53
4,5,PRIVATE_IP_001,PRIVATE_IP_016,18,1,3,3,Read Holding Registers,1.0,124.0,fc3:unit1:reg1:qty124:serverPRIVATE_IP_016,1781798342.264135,1781798342.270741,6.606101989746094,matched,False,,12,257
6,7,PRIVATE_IP_001,PRIVATE_IP_016,19,1,3,3,Read Holding Registers,125.0,88.0,fc3:unit1:reg125:qty88:serverPRIVATE_IP_016,1781798342.2740643,1781798342.2790694,5.005121231079102,matched,False,,12,185
8,16,PRIVATE_IP_001,PRIVATE_IP_018,78,1,3,3,Read Holding Registers,0.0,100.0,fc3:unit1:reg0:qty100:serverPRIVATE_IP_018,1781798342.2852085,1781798342.2904758,5.26738166809082,matched,False,,12,209
9,18,PRIVATE_IP_001,PRIVATE_IP_021,5,1,3,3,Read Holding Registers,0.0,100.0,fc3:unit1:reg0:qty100:serverPRIVATE_IP_021,1781798342.2868466,1781798342.2906153,3.7686824798583984,matched,False,,12,209
10,20,PRIVATE_IP_001,PRIVATE_IP_019,78,1,3,3,Read Holding Registers,0.0,100.0,fc3:unit1:reg0:qty100:serverPRIVATE_IP_019,1781798342.2869,1781798342.2917016,4.801511764526367,matched,False,,12,209
11,14,PRIVATE_IP_001,PRIVATE_IP_026,5,1,4,4,Read Input Registers,0.0,30.0,fc4:unit1:reg0:qty30:serverPRIVATE_IP_026,1781798342.286944,1781798342.2890973,2.1533966064453125,matched,False,,12,69
12,22,PRIVATE_IP_001,PRIVATE_IP_020,5,1,3,3,Read Holding Registers,0.0,100.0,fc3:unit1:reg0:qty100:serverPRIVATE_IP_020,1781798342.2869887,1781798342.2921999,5.211114883422852,matched,False,,12,209
13,24,PRIVATE_IP_001,PRIVATE_IP_016,20,1,3,3,Read Holding Registers,101.0,33.0,fc3:unit1:reg101:qty33:serverPRIVATE_IP_016,1781798342.2885134,1781798342.2958236,7.310152053833008,matched,False,,12,75
28,29,PRIVATE_IP_001,PRIVATE_IP_022,7,1,3,3,Read Holding Registers,0.0,86.0,fc3:unit1:reg0:qty86:serverPRIVATE_IP_022,1781798342.5895517,1781798342.596625,7.073402404785156,matched,False,,12,181
31,32,PRIVATE_IP_001,PRIVATE_IP_022,8,1,3,3,Read Holding Registers,94.0,86.0,fc3:unit1:reg94:qty86:serverPRIVATE_IP_022,1781798342.5982919,1781798342.6046348,6.342887878417969,matched,False,,12,181
54,74,PRIVATE_IP_001,PRIVATE_IP_019,3,1,3,3,Read Holding Registers,53.0,1.0,fc3:unit1:reg53:qty1:serverPRIVATE_IP_019,1781798342.9999127,1781798343.0051923,5.279541015625,matched,False,,12,11
64,86,PRIVATE_IP_001,PRIVATE_IP_017,3,1,3,3,Read Holding Registers,1.0,1.0,fc3:unit1:reg1:qty1:serverPRIVATE_IP_017,1781798343.0011363,1781798343.0194592,18.32294464111328,matched,True,2.0,12,9
65,88,PRIVATE_IP_001,PRIVATE_IP_010,3,1,3,3,Read Holding Registers,0.0,22.0,fc3:unit1:reg0:qty22:serverPRIVATE_IP_010,1781798343.001171,1781798343.0217721,20.60103416442871,matched,False,,12,53
70,82,PRIVATE_IP_001,PRIVATE_IP_022,0,1,3,3,Read Holding Registers,94.0,75.0,fc3:unit1:reg94:qty75:serverPRIVATE_IP_022,1781798343.0045688,1781798343.0112648,6.695985794067383,matched,False,,12,159
90,91,PRIVATE_IP_001,PRIVATE_IP_016,21,1,3,3,Read Holding Registers,300.0,22.0,fc3:unit1:reg300:qty22:serverPRIVATE_IP_016,1781798343.2544687,1781798343.2588205,4.35185432434082,matched,False,,12,53
93,94,PRIVATE_IP_001,PRIVATE_IP_016,22,1,3,3,Read Holding Registers,1.0,124.0,fc3:unit1:reg1:qty124:serverPRIVATE_IP_016,1781798343.264376,1781798343.2724676,8.09168815612793,matched,False,,12,257
95,96,PRIVATE_IP_001,PRIVATE_IP_016,23,1,3,3,Read Holding Registers,125.0,88.0,fc3:unit1:reg125:qty88:serverPRIVATE_IP_016,1781798343.2754655,1781798343.2803175,4.852056503295898,matched,False,,12,185
97,105,PRIVATE_IP_001,PRIVATE_IP_018,79,1,3,3,Read Holding Registers,0.0,100.0,fc3:unit1:reg0:qty100:serverPRIVATE_IP_018,1781798343.2814665,1781798343.2863274,4.860877990722656,matched,False,,12,209
98,109,PRIVATE_IP_001,PRIVATE_IP_021,6,1,3,3,Read Holding Registers,0.0,100.0,fc3:unit1:reg0:qty100:serverPRIVATE_IP_021,1781798343.2823,1781798343.2868063,4.506349563598633,matched,False,,12,209
99,107,PRIVATE_IP_001,PRIVATE_IP_019,79,1,3,3,Read Holding Registers,0.0,100.0,fc3:unit1:reg0:qty100:serverPRIVATE_IP_019,1781798343.282371,1781798343.2866607,4.2896270751953125,matched,False,,12,209
100,102,PRIVATE_IP_001,PRIVATE_IP_026,6,1,4,4,Read Input Registers,0.0,30.0,fc4:unit1:reg0:qty30:serverPRIVATE_IP_026,1781798343.2824197,1781798343.2844255,2.0058155059814453,matched,False,,12,69
101,111,PRIVATE_IP_001,PRIVATE_IP_020,6,1,3,3,Read Holding Registers,0.0,100.0,fc3:unit1:reg0:qty100:serverPRIVATE_IP_020,1781798343.2824626,1781798343.2871525,4.689931869506836,matched,False,,12,209
104,113,PRIVATE_IP_001,PRIVATE_IP_016,24,1,3,3,Read Holding Registers,101.0,33.0,fc3:unit1:reg101:qty33:serverPRIVATE_IP_016,1781798343.2845957,1781798343.2887752,4.179477691650391,matched,False,,12,75
118,119,PRIVATE_IP_001,PRIVATE_IP_022,9,1,3,3,Read Holding Registers,0.0,86.0,fc3:unit1:reg0:qty86:serverPRIVATE_IP_022,1781798343.5891972,1781798343.5955808,6.383657455444336,matched,False,,12,181
121,122,PRIVATE_IP_001,PRIVATE_IP_022,10,1,3,3,Read Holding Registers,94.0,86.0,fc3:unit1:reg94:qty86:serverPRIVATE_IP_022,1781798343.5992737,1781798343.6054966,6.222963333129883,matched,False,,12,181
144,176,PRIVATE_IP_001,PRIVATE_IP_016,73,1,3,3,Read Holding Registers,1.0,1.0,fc3:unit1:reg1:qty1:serverPRIVATE_IP_016,1781798344.0009434,1781798344.0105567,9.613275527954102,matched,False,,12,11
145,167,PRIVATE_IP_001,PRIVATE_IP_018,165,1,3,3,Read Holding Registers,24.0,1.0,fc3:unit1:reg24:qty1:serverPRIVATE_IP_018,1781798344.0009935,1781798344.005095,4.10151481628418,matched,False,,12,11
146,193,PRIVATE_IP_001,PRIVATE_IP_013,168,1,3,3,Read Holding Registers,0.0,22.0,fc3:unit1:reg0:qty22:serverPRIVATE_IP_013,1781798344.0010405,1781798344.025973,24.9326229095459,matched,False,,12,53
147,189,PRIVATE_IP_001,PRIVATE_IP_015,168,1,3,3,Read Holding Registers,0.0,22.0,fc3:unit1:reg0:qty22:serverPRIVATE_IP_015,1781798344.0010648,1781798344.0226228,21.558046340942383,matched,False,,12,53
148,184,PRIVATE_IP_001,PRIVATE_IP_014,168,1,3,3,Read Holding Registers,0.0,22.0,fc3:unit1:reg0:qty22:serverPRIVATE_IP_014,1781798344.0010886,1781798344.0187583,17.669677734375,matched,False,,12,53
149,172,PRIVATE_IP_001,PRIVATE_IP_020,168,1,3,3,Read Holding Registers,0.0,76.0,fc3:unit1:reg0:qty76:serverPRIVATE_IP_020,1781798344.0011196,1781798344.0068915,5.771875381469727,matched,False,,12,161
159,178,PRIVATE_IP_001,PRIVATE_IP_022,1,1,3,3,Read Holding Registers,0.0,75.0,fc3:unit1:reg0:qty75:serverPRIVATE_IP_022,1781798344.0030468,1781798344.0111666,8.119821548461914,matched,False,,12,159
180,188,PRIVATE_IP_001,PRIVATE_IP_016,74,1,3,3,Read Holding Registers,215.0,1.0,fc3:unit1:reg215:qty1:serverPRIVATE_IP_016,1781798344.013442,1781798344.0205402,7.098197937011719,matched,False,,12,11
183,191,PRIVATE_IP_001,PRIVATE_IP_022,2,1,3,3,Read Holding Registers,3.0,1.0,fc3:unit1:reg3:qty1:serverPRIVATE_IP_022,1781798344.015138,1781798344.0230978,7.959842681884766,matched,False,,12,11
192,195,PRIVATE_IP_001,PRIVATE_IP_022,3,1,3,3,Read Holding Registers,97.0,1.0,fc3:unit1:reg97:qty1:serverPRIVATE_IP_022,1781798344.0254004,1781798344.0311775,5.777120590209961,matched,False,,12,11
198,199,PRIVATE_IP_001,PRIVATE_IP_016,25,1,3,3,Read Holding Registers,300.0,22.0,fc3:unit1:reg300:qty22:serverPRIVATE_IP_016,1781798344.2528486,1781798344.2587466,5.897998809814453,matched,False,,12,53
201,202,PRIVATE_IP_001,PRIVATE_IP_016,26,1,3,3,Read Holding Registers,1.0,124.0,fc3:unit1:reg1:qty124:serverPRIVATE_IP_016,1781798344.2630756,1781798344.2702081,7.132530212402344,matched,False,,12,257
203,204,PRIVATE_IP_001,PRIVATE_IP_016,27,1,3,3,Read Holding Registers,125.0,88.0,fc3:unit1:reg125:qty88:serverPRIVATE_IP_016,1781798344.2752092,1781798344.2811785,5.96928596496582,matched,False,,12,185
205,215,PRIVATE_IP_001,PRIVATE_IP_018,80,1,3,3,Read Holding Registers,0.0,100.0,fc3:unit1:reg0:qty100:serverPRIVATE_IP_018,1781798344.2878318,1781798344.2924538,4.621982574462891,matched,False,,12,209
206,213,PRIVATE_IP_001,PRIVATE_IP_021,7,1,3,3,Read Holding Registers,0.0,100.0,fc3:unit1:reg0:qty100:serverPRIVATE_IP_021,1781798344.2878954,1781798344.291709,3.813505172729492,matched,False,,12,209
207,217,PRIVATE_IP_001,PRIVATE_IP_019,80,1,3,3,Read Holding Registers,0.0,100.0,fc3:unit1:reg0:qty100:serverPRIVATE_IP_019,1781798344.2879274,1781798344.2925417,4.614353179931641,matched,False,,12,209
208,211,PRIVATE_IP_001,PRIVATE_IP_026,7,1,4,4,Read Input Registers,0.0,30.0,fc4:unit1:reg0:qty30:serverPRIVATE_IP_026,1781798344.287967,1781798344.2900949,2.1278858184814453,matched,False,,12,69
209,220,PRIVATE_IP_001,PRIVATE_IP_020,7,1,3,3,Read Holding Registers,0.0,100.0,fc3:unit1:reg0:qty100:serverPRIVATE_IP_020,1781798344.2880008,1781798344.2951095,7.1086883544921875,matched,False,,12,209
