register_signature,samples,poll_min_s,poll_avg_s,poll_median_s,poll_p95_s,poll_max_s,poll_std_s
fc3:unit1:reg0:qty100:serverPRIVATE_IP_018,300,0.21008682250976562,0.9971585957209269,1.0002846717834473,1.0048120021820068,1.0187959671020508,0.04734368002365717
fc3:unit1:reg0:qty86:serverPRIVATE_IP_022,300,0.21006417274475098,0.9972047670682271,1.0004167556762695,1.003648281097412,1.0070738792419434,0.047227270853135495
fc3:unit1:reg0:qty100:serverPRIVATE_IP_019,299,0.9897544384002686,1.000497329992594,1.0004851818084717,1.0054090023040771,1.0158450603485107,0.0030731026584060257
fc3:unit1:reg0:qty100:serverPRIVATE_IP_021,299,0.9897575378417969,1.0004972781624681,1.000380277633667,1.0054118633270264,1.0188562870025635,0.003139862462671285
fc3:unit1:reg0:qty100:serverPRIVATE_IP_020,299,0.9896612167358398,1.0005588100905403,1.0004024505615234,1.0059747695922852,1.0128014087677002,0.003163662193470664
fc3:unit1:reg1:qty124:serverPRIVATE_IP_016,299,0.3976912498474121,1.0005112531591818,1.0004124641418457,1.0045156478881836,1.602480173110962,0.04940207327791356
fc3:unit1:reg125:qty88:serverPRIVATE_IP_016,299,0.38785576820373535,1.0005212180989242,1.000392198562622,1.0069091320037842,1.6105995178222656,0.05023129757469089
fc3:unit1:reg101:qty33:serverPRIVATE_IP_016,299,0.3740391731262207,1.0004995212108396,1.000298023223877,1.008389949798584,1.6252562999725342,0.051481916893986956
fc3:unit1:reg94:qty86:serverPRIVATE_IP_022,299,0.732694149017334,1.0005536390387493,1.0006380081176758,1.0070300102233887,1.267993688583374,0.022222179989661785
fc3:unit1:reg300:qty22:serverPRIVATE_IP_016,299,0.21086525917053223,1.0004854967761598,1.0004405975341797,1.003403902053833,2.0000593662261963,0.07481059199081337
fc4:unit1:reg0:qty30:serverPRIVATE_IP_026,299,0.9897432327270508,1.0005431215101261,1.0002434253692627,1.0079352855682373,1.0158560276031494,0.0036934130027501313
fc3:unit1:reg94:qty75:serverPRIVATE_IP_022,149,1.9908380508422852,2.0011248108524606,2.0006344318389893,2.008026599884033,2.0203192234039307,0.0036857642046012
fc3:unit1:reg1:qty1:serverPRIVATE_IP_017,149,1.990917444229126,2.001147423814607,2.0006306171417236,2.0080056190490723,2.0202419757843018,0.003702582981917726
fc3:unit1:reg0:qty22:serverPRIVATE_IP_010,149,1.9908747673034668,2.0011474366156046,2.0007081031799316,2.008009433746338,2.0202796459198,0.0036605327998336747
fc3:unit1:reg53:qty1:serverPRIVATE_IP_019,149,1.990976333618164,2.001155274026346,2.00050950050354,2.0081911087036133,2.0201926231384277,0.0038015792464086624
fc3:unit1:reg0:qty22:serverPRIVATE_IP_014,148,1.9878952503204346,2.001173815211734,2.000546455383301,2.0075948238372803,2.0133464336395264,0.003681456139936078
fc3:unit1:reg0:qty22:serverPRIVATE_IP_013,148,1.9878888130187988,2.0011734140885844,2.000341296195984,2.0073978900909424,2.0158934593200684,0.004013496571453527
fc3:unit1:reg215:qty1:serverPRIVATE_IP_016,148,1.9834444522857666,2.0011818086778796,2.0011115074157715,2.013601779937744,2.020827531814575,0.006545516350086235
fc3:unit1:reg0:qty22:serverPRIVATE_IP_015,148,1.9878921508789062,2.0011735961243913,2.000491976737976,2.0072827339172363,2.014970302581787,0.0037784997149526594
fc3:unit1:reg0:qty76:serverPRIVATE_IP_020,148,1.987891435623169,2.0011739682506873,2.0006892681121826,2.0075783729553223,2.0132226943969727,0.0036095830556171276
fc3:unit1:reg1:qty1:serverPRIVATE_IP_016,148,1.9878854751586914,2.0011731998340503,2.000318169593811,2.009342670440674,2.016000986099243,0.004438054465204031
fc3:unit1:reg97:qty1:serverPRIVATE_IP_022,148,1.9830684661865234,2.001119729634878,2.0007344484329224,2.0128798484802246,2.0247204303741455,0.006780712204290745
fc3:unit1:reg3:qty1:serverPRIVATE_IP_022,148,1.9847307205200195,2.0011273783606454,2.0003812313079834,2.0114450454711914,2.0221593379974365,0.005974705128672361
fc3:unit1:reg0:qty75:serverPRIVATE_IP_022,147,1.9878885746002197,2.0147747117645887,2.0005695819854736,2.008387565612793,3.998438835144043,0.1647692746415759
fc3:unit1:reg24:qty1:serverPRIVATE_IP_018,147,1.9878730773925781,2.0147867673108366,2.0004098415374756,2.008607864379883,3.996080160140991,0.16458485028664782
