server_ip,unit_id,function_base,function_name,reference_num,quantity,register_signature,transactions,rtt_avg_ms,rtt_p95_ms,first_seen,last_seen
PRIVATE_IP_018,1,3,Read Holding Registers,0.0,100.0,fc3:unit1:reg0:qty100:serverPRIVATE_IP_018,301,41.568868580054605,6.044149398803711,1781798342.2852085,1781798641.4327872
PRIVATE_IP_022,1,3,Read Holding Registers,0.0,86.0,fc3:unit1:reg0:qty86:serverPRIVATE_IP_022,301,22.74231498819649,10.69498062133789,1781798342.5895517,1781798641.7509818
PRIVATE_IP_021,1,3,Read Holding Registers,0.0,100.0,fc3:unit1:reg0:qty100:serverPRIVATE_IP_021,300,6.553874810536702,5.982470512390137,1781798342.2868466,1781798641.4355328
PRIVATE_IP_020,1,3,Read Holding Registers,0.0,100.0,fc3:unit1:reg0:qty100:serverPRIVATE_IP_020,300,6.952002843221028,6.588852405548096,1781798342.2869887,1781798641.454073
PRIVATE_IP_019,1,3,Read Holding Registers,0.0,100.0,fc3:unit1:reg0:qty100:serverPRIVATE_IP_019,300,6.478771368662517,6.014358997344971,1781798342.2869,1781798641.4356017
PRIVATE_IP_016,1,3,Read Holding Registers,1.0,124.0,fc3:unit1:reg1:qty124:serverPRIVATE_IP_016,300,6.273961067199707,9.180986881256105,1781798342.264135,1781798641.4169996
PRIVATE_IP_026,1,4,Read Input Registers,0.0,30.0,fc4:unit1:reg0:qty30:serverPRIVATE_IP_026,300,4.072546164194743,3.160858154296875,1781798342.286944,1781798641.4493372
PRIVATE_IP_022,1,3,Read Holding Registers,94.0,86.0,fc3:unit1:reg94:qty86:serverPRIVATE_IP_022,300,7.4334414800008135,10.056746006011963,1781798342.5982919,1781798641.76383
PRIVATE_IP_016,1,3,Read Holding Registers,101.0,33.0,fc3:unit1:reg101:qty33:serverPRIVATE_IP_016,300,5.676290988922119,8.682477474212648,1781798342.2885134,1781798641.4378703
PRIVATE_IP_016,1,3,Read Holding Registers,300.0,22.0,fc3:unit1:reg300:qty22:serverPRIVATE_IP_016,300,220.47345717748007,8.354890346527101,1781798342.2520738,1781798641.3972373
PRIVATE_IP_016,1,3,Read Holding Registers,125.0,88.0,fc3:unit1:reg125:qty88:serverPRIVATE_IP_016,300,5.991655190785726,8.297789096832277,1781798342.2740643,1781798641.4299085
PRIVATE_IP_010,1,3,Read Holding Registers,0.0,22.0,fc3:unit1:reg0:qty22:serverPRIVATE_IP_010,150,19.879050254821777,25.235128402709957,1781798343.001171,1781798641.1721392
PRIVATE_IP_019,1,3,Read Holding Registers,53.0,1.0,fc3:unit1:reg53:qty1:serverPRIVATE_IP_019,150,5.490360260009766,7.977032661437985,1781798342.9999127,1781798641.1720486
PRIVATE_IP_017,1,3,Read Holding Registers,1.0,1.0,fc3:unit1:reg1:qty1:serverPRIVATE_IP_017,150,29.466296831766766,109.2847943305969,1781798343.0011363,1781798641.1721025
PRIVATE_IP_022,1,3,Read Holding Registers,94.0,75.0,fc3:unit1:reg94:qty75:serverPRIVATE_IP_022,150,9.684820175170898,15.02250432968138,1781798343.0045688,1781798641.1721656
PRIVATE_IP_020,1,3,Read Holding Registers,0.0,76.0,fc3:unit1:reg0:qty76:serverPRIVATE_IP_020,149,4.946159836429878,6.761407852172852,1781798344.0011196,1781798640.174867
PRIVATE_IP_013,1,3,Read Holding Registers,0.0,22.0,fc3:unit1:reg0:qty22:serverPRIVATE_IP_013,149,20.589182040835386,25.231599807739258,1781798344.0010405,1781798640.1747057
PRIVATE_IP_016,1,3,Read Holding Registers,1.0,1.0,fc3:unit1:reg1:qty1:serverPRIVATE_IP_016,149,10.572665489760022,16.630268096923828,1781798344.0009434,1781798640.174577
PRIVATE_IP_015,1,3,Read Holding Registers,0.0,22.0,fc3:unit1:reg0:qty22:serverPRIVATE_IP_015,149,20.227067422546796,25.203752517700195,1781798344.0010648,1781798640.174757
PRIVATE_IP_022,1,3,Read Holding Registers,3.0,1.0,fc3:unit1:reg3:qty1:serverPRIVATE_IP_022,149,7.22882251611492,10.124874114990234,1781798344.015138,1781798640.18199
PRIVATE_IP_022,1,3,Read Holding Registers,97.0,1.0,fc3:unit1:reg97:qty1:serverPRIVATE_IP_022,149,7.126627352413715,10.01448631286621,1781798344.0254004,1781798640.1911204
PRIVATE_IP_014,1,3,Read Holding Registers,0.0,22.0,fc3:unit1:reg0:qty22:serverPRIVATE_IP_014,149,19.46850751070368,24.707841873168945,1781798344.0010886,1781798640.1748133
PRIVATE_IP_016,1,3,Read Holding Registers,215.0,1.0,fc3:unit1:reg215:qty1:serverPRIVATE_IP_016,149,6.067416811949455,10.172653198242182,1781798344.013442,1781798640.1883497
PRIVATE_IP_022,1,3,Read Holding Registers,0.0,75.0,fc3:unit1:reg0:qty75:serverPRIVATE_IP_022,148,8.461580083176896,13.925409317016602,1781798344.0030468,1781798640.1749294
PRIVATE_IP_018,1,3,Read Holding Registers,24.0,1.0,fc3:unit1:reg24:qty1:serverPRIVATE_IP_018,148,4.801479545799461,7.10430145263672,1781798344.0009935,1781798640.1746483
