frame_index,time_epoch,src_ip,dst_ip,src_port,dst_port,direction,payload_bytes,syn,fin,rst,ack,probable_retransmission
1,1781798342.2520738,PRIVATE_IP_001,PRIVATE_IP_016,35554,502,query,12,0,0,0,1,0
2,1781798342.2577305,PRIVATE_IP_016,PRIVATE_IP_001,502,35554,response,53,0,0,0,1,0
3,1781798342.257776,PRIVATE_IP_001,PRIVATE_IP_016,35554,502,query,0,0,0,0,1,0
4,1781798342.264135,PRIVATE_IP_001,PRIVATE_IP_016,35554,502,query,12,0,0,0,1,0
5,1781798342.270741,PRIVATE_IP_016,PRIVATE_IP_001,502,35554,response,257,0,0,0,1,0
6,1781798342.2740643,PRIVATE_IP_001,PRIVATE_IP_016,35554,502,query,12,0,0,0,1,0
7,1781798342.2790694,PRIVATE_IP_016,PRIVATE_IP_001,502,35554,response,185,0,0,0,1,0
8,1781798342.2852085,PRIVATE_IP_001,PRIVATE_IP_018,46478,502,query,12,0,0,0,1,0
9,1781798342.2868466,PRIVATE_IP_001,PRIVATE_IP_021,45716,502,query,12,0,0,0,1,0
10,1781798342.2869,PRIVATE_IP_001,PRIVATE_IP_019,49960,502,query,12,0,0,0,1,0
11,1781798342.286944,PRIVATE_IP_001,PRIVATE_IP_026,51880,502,query,12,0,0,0,1,0
12,1781798342.2869887,PRIVATE_IP_001,PRIVATE_IP_020,52010,502,query,12,0,0,0,1,0
13,1781798342.2885134,PRIVATE_IP_001,PRIVATE_IP_016,35554,502,query,12,0,0,0,1,0
14,1781798342.2890973,PRIVATE_IP_026,PRIVATE_IP_001,502,51880,response,69,0,0,0,1,0
15,1781798342.2891994,PRIVATE_IP_001,PRIVATE_IP_026,51880,502,query,0,0,0,0,1,0
16,1781798342.2904758,PRIVATE_IP_018,PRIVATE_IP_001,502,46478,response,209,0,0,0,1,0
17,1781798342.2905612,PRIVATE_IP_001,PRIVATE_IP_018,46478,502,query,0,0,0,0,1,0
18,1781798342.2906153,PRIVATE_IP_021,PRIVATE_IP_001,502,45716,response,209,0,0,0,1,0
19,1781798342.2906554,PRIVATE_IP_001,PRIVATE_IP_021,45716,502,query,0,0,0,0,1,0
20,1781798342.2917016,PRIVATE_IP_019,PRIVATE_IP_001,502,49960,response,209,0,0,0,1,0
21,1781798342.2917492,PRIVATE_IP_001,PRIVATE_IP_019,49960,502,query,0,0,0,0,1,0
22,1781798342.2921999,PRIVATE_IP_020,PRIVATE_IP_001,502,52010,response,209,0,0,0,1,0
23,1781798342.2922502,PRIVATE_IP_001,PRIVATE_IP_020,52010,502,query,0,0,0,0,1,0
24,1781798342.2958236,PRIVATE_IP_016,PRIVATE_IP_001,502,35554,response,75,0,0,0,1,0
25,1781798342.3360534,PRIVATE_IP_001,PRIVATE_IP_016,35554,502,query,0,0,0,0,1,0
26,1781798342.338086,PRIVATE_IP_001,PRIVATE_IP_012,39432,502,query,0,1,0,0,0,0
27,1781798342.46615,PRIVATE_IP_001,PRIVATE_IP_011,47544,502,query,0,1,0,0,0,0
28,1781798342.5895517,PRIVATE_IP_001,PRIVATE_IP_022,60550,502,query,12,0,0,0,1,0
29,1781798342.596625,PRIVATE_IP_022,PRIVATE_IP_001,502,60550,response,181,0,0,0,1,0
30,1781798342.5967078,PRIVATE_IP_001,PRIVATE_IP_022,60550,502,query,0,0,0,0,1,0
31,1781798342.5982919,PRIVATE_IP_001,PRIVATE_IP_022,60550,502,query,12,0,0,0,1,0
32,1781798342.6046348,PRIVATE_IP_022,PRIVATE_IP_001,502,60550,response,181,0,0,0,1,0
33,1781798342.6451092,PRIVATE_IP_001,PRIVATE_IP_022,60550,502,query,0,0,0,0,1,0
34,1781798342.992775,PRIVATE_IP_001,PRIVATE_IP_016,38342,502,query,0,1,0,0,0,0
35,1781798342.992827,PRIVATE_IP_001,PRIVATE_IP_018,41218,502,query,0,1,0,0,0,0
36,1781798342.9928544,PRIVATE_IP_001,PRIVATE_IP_019,41072,502,query,0,1,0,0,0,0
37,1781798342.9928772,PRIVATE_IP_001,PRIVATE_IP_021,38968,502,query,0,1,0,0,0,0
38,1781798342.9929078,PRIVATE_IP_001,PRIVATE_IP_016,38352,502,query,0,1,0,0,0,0
39,1781798342.9929316,PRIVATE_IP_001,PRIVATE_IP_022,35196,502,query,0,1,0,0,0,0
40,1781798342.9953208,PRIVATE_IP_018,PRIVATE_IP_001,502,41218,response,0,1,0,0,1,0
41,1781798342.9953759,PRIVATE_IP_001,PRIVATE_IP_018,41218,502,query,0,0,0,0,1,0
42,1781798342.9955356,PRIVATE_IP_019,PRIVATE_IP_001,502,41072,response,0,1,0,0,1,0
43,1781798342.9955747,PRIVATE_IP_001,PRIVATE_IP_019,41072,502,query,0,0,0,0,1,0
44,1781798342.9956515,PRIVATE_IP_021,PRIVATE_IP_001,502,38968,response,0,1,0,0,1,0
45,1781798342.995684,PRIVATE_IP_001,PRIVATE_IP_021,38968,502,query,0,0,0,0,1,0
46,1781798342.995834,PRIVATE_IP_001,PRIVATE_IP_018,41218,502,query,0,0,1,0,1,0
47,1781798342.9958858,PRIVATE_IP_001,PRIVATE_IP_019,41072,502,query,0,0,1,0,1,0
48,1781798342.9959178,PRIVATE_IP_001,PRIVATE_IP_021,38968,502,query,0,0,1,0,1,0
49,1781798342.9964476,PRIVATE_IP_022,PRIVATE_IP_001,502,35196,response,0,1,0,0,1,0
50,1781798342.996488,PRIVATE_IP_001,PRIVATE_IP_022,35196,502,query,0,0,0,0,1,0
51,1781798342.9974492,PRIVATE_IP_001,PRIVATE_IP_022,35196,502,query,0,0,1,0,1,0
52,1781798342.9997797,PRIVATE_IP_016,PRIVATE_IP_001,502,38342,response,0,1,0,0,1,0
53,1781798342.999875,PRIVATE_IP_001,PRIVATE_IP_016,38342,502,query,0,0,0,0,1,0
54,1781798342.9999127,PRIVATE_IP_001,PRIVATE_IP_019,47096,502,query,12,0,0,0,1,0
55,1781798342.9999652,PRIVATE_IP_001,PRIVATE_IP_016,38342,502,query,0,0,1,0,1,0
56,1781798343.0001411,PRIVATE_IP_016,PRIVATE_IP_001,502,38352,response,0,1,0,0,1,0
57,1781798343.0001926,PRIVATE_IP_001,PRIVATE_IP_016,38352,502,query,0,0,0,0,1,0
58,1781798343.000235,PRIVATE_IP_019,PRIVATE_IP_001,502,41072,response,0,0,0,0,1,0
59,1781798343.0003004,PRIVATE_IP_018,PRIVATE_IP_001,502,41218,response,0,0,0,0,1,0
60,1781798343.0003583,PRIVATE_IP_021,PRIVATE_IP_001,502,38968,response,0,0,0,0,1,0
61,1781798343.0007477,PRIVATE_IP_001,PRIVATE_IP_016,38352,502,query,0,0,1,0,1,0
62,1781798343.0009859,PRIVATE_IP_019,PRIVATE_IP_001,502,41072,response,0,0,1,0,1,0
63,1781798343.0010717,PRIVATE_IP_001,PRIVATE_IP_019,41072,502,query,0,0,0,0,1,0
64,1781798343.0011363,PRIVATE_IP_001,PRIVATE_IP_017,41742,502,query,12,0,0,0,1,0
