src_ip,dst_ip,direction,packets,payload_bytes,syn_count,fin_count,rst_count,probable_retransmissions
PRIVATE_IP_001,PRIVATE_IP_015,query,4792,17988,598,601,0,1
PRIVATE_IP_001,PRIVATE_IP_021,query,3442,14376,299,299,0,1
PRIVATE_IP_015,PRIVATE_IP_001,response,3317,174278,598,598,0,0
PRIVATE_IP_001,PRIVATE_IP_018,query,2100,5412,299,302,0,1
PRIVATE_IP_021,PRIVATE_IP_001,response,2100,159419,299,299,0,0
PRIVATE_IP_001,PRIVATE_IP_017,query,2097,5400,299,301,0,1
PRIVATE_IP_001,PRIVATE_IP_020,query,1800,3612,299,302,0,1
PRIVATE_IP_017,PRIVATE_IP_001,response,1354,64339,299,299,0,0
PRIVATE_IP_018,PRIVATE_IP_001,response,1354,64350,299,299,0,0
PRIVATE_IP_020,PRIVATE_IP_001,response,1199,62700,299,299,0,0
PRIVATE_IP_001,PRIVATE_IP_019,query,899,5400,0,0,0,1
PRIVATE_IP_001,PRIVATE_IP_025,query,602,3624,0,0,0,2
PRIVATE_IP_019,PRIVATE_IP_001,response,453,86689,0,0,0,0
PRIVATE_IP_025,PRIVATE_IP_001,response,302,20700,0,0,0,0
PRIVATE_IP_016,PRIVATE_IP_001,response,300,1350,0,0,0,0
PRIVATE_IP_009,PRIVATE_IP_001,response,300,7950,0,0,0,0
PRIVATE_IP_001,PRIVATE_IP_009,query,300,1800,0,0,0,0
PRIVATE_IP_001,PRIVATE_IP_016,query,300,1800,0,0,0,0
PRIVATE_IP_001,PRIVATE_IP_014,query,298,1788,0,0,0,0
PRIVATE_IP_001,PRIVATE_IP_012,query,298,1788,0,0,0,0
PRIVATE_IP_013,PRIVATE_IP_001,response,298,7897,0,0,0,0
PRIVATE_IP_012,PRIVATE_IP_001,response,298,7897,0,0,0,0
PRIVATE_IP_014,PRIVATE_IP_001,response,298,7897,0,0,0,0
PRIVATE_IP_001,PRIVATE_IP_013,query,298,1788,0,0,0,0
PRIVATE_IP_001,PRIVATE_IP_010,query,167,0,167,0,0,0
PRIVATE_IP_001,PRIVATE_IP_011,query,166,0,166,0,0,0
PRIVATE_IP_001,PRIVATE_IP_022,query,75,0,75,0,0,0
PRIVATE_IP_022,PRIVATE_IP_001,response,75,0,0,0,75,0
