bucket,time_start_s,function_base,function_name,direction,adu_count,adu_bytes
0,0.0,3,Read Holding Registers,query,82,984
0,0.0,3,Read Holding Registers,response,82,10604
0,0.0,4,Read Input Registers,query,5,60
0,0.0,4,Read Input Registers,response,5,345
1,5.0,3,Read Holding Registers,query,88,1056
1,5.0,3,Read Holding Registers,response,88,10906
1,5.0,4,Read Input Registers,query,5,60
1,5.0,4,Read Input Registers,response,5,345
2,10.0,3,Read Holding Registers,query,82,984
2,10.0,3,Read Holding Registers,response,82,10604
2,10.0,4,Read Input Registers,query,5,60
2,10.0,4,Read Input Registers,response,5,345
3,15.0,3,Read Holding Registers,query,88,1056
3,15.0,3,Read Holding Registers,response,88,10906
3,15.0,4,Read Input Registers,query,5,60
3,15.0,4,Read Input Registers,response,5,345
4,20.0,3,Read Holding Registers,query,82,984
4,20.0,3,Read Holding Registers,response,82,10604
4,20.0,4,Read Input Registers,query,5,60
4,20.0,4,Read Input Registers,response,5,345
5,25.0,3,Read Holding Registers,query,88,1056
5,25.0,3,Read Holding Registers,response,88,10906
5,25.0,4,Read Input Registers,query,5,60
5,25.0,4,Read Input Registers,response,5,345
6,30.0,3,Read Holding Registers,query,82,984
6,30.0,3,Read Holding Registers,response,82,10604
6,30.0,4,Read Input Registers,query,5,60
6,30.0,4,Read Input Registers,response,5,345
7,35.0,3,Read Holding Registers,query,88,1056
7,35.0,3,Read Holding Registers,response,88,10906
7,35.0,4,Read Input Registers,query,5,60
7,35.0,4,Read Input Registers,response,5,345
8,40.0,3,Read Holding Registers,query,82,984
8,40.0,3,Read Holding Registers,response,82,10604
8,40.0,4,Read Input Registers,query,5,60
8,40.0,4,Read Input Registers,response,5,345
9,45.0,3,Read Holding Registers,query,88,1056
9,45.0,3,Read Holding Registers,response,88,10906
9,45.0,4,Read Input Registers,query,5,60
9,45.0,4,Read Input Registers,response,5,345
10,50.0,3,Read Holding Registers,query,82,984
10,50.0,3,Read Holding Registers,response,82,10604
10,50.0,4,Read Input Registers,query,5,60
10,50.0,4,Read Input Registers,response,5,345
11,55.0,3,Read Holding Registers,query,88,1056
11,55.0,3,Read Holding Registers,response,88,10906
11,55.0,4,Read Input Registers,query,5,60
11,55.0,4,Read Input Registers,response,5,345
12,60.0,3,Read Holding Registers,query,82,984
12,60.0,3,Read Holding Registers,response,82,10604
12,60.0,4,Read Input Registers,query,5,60
12,60.0,4,Read Input Registers,response,5,345
13,65.0,3,Read Holding Registers,query,88,1056
13,65.0,3,Read Holding Registers,response,88,10906
13,65.0,4,Read Input Registers,query,5,60
13,65.0,4,Read Input Registers,response,5,345
14,70.0,3,Read Holding Registers,query,82,984
14,70.0,3,Read Holding Registers,response,82,10604
14,70.0,4,Read Input Registers,query,5,60
14,70.0,4,Read Input Registers,response,5,345
15,75.0,3,Read Holding Registers,query,88,1056
15,75.0,3,Read Holding Registers,response,88,10906
15,75.0,4,Read Input Registers,query,5,60
15,75.0,4,Read Input Registers,response,5,345
