api,signature,cycle_ms
PRIVATE_IP_021,FC3_addr0_qty86,1000.266075
PRIVATE_IP_021,FC3_addr94_qty86,999.580860
PRIVATE_IP_021,FC3_addr0_qty86,1000.576019
PRIVATE_IP_021,FC3_addr94_qty86,1004.765034
PRIVATE_IP_021,FC3_addr94_qty75,2000.226021
PRIVATE_IP_021,FC3_addr0_qty86,1002.401829
PRIVATE_IP_021,FC3_addr94_qty86,1006.934166
PRIVATE_IP_021,FC3_addr0_qty75,1999.495029
PRIVATE_IP_021,FC3_addr3_qty1,1992.709875
PRIVATE_IP_021,FC3_addr97_qty1,1993.947029
PRIVATE_IP_021,FC3_addr0_qty86,1000.735044
PRIVATE_IP_021,FC3_addr94_qty86,996.864796
PRIVATE_IP_021,FC3_addr94_qty75,2009.200811
PRIVATE_IP_021,FC3_addr0_qty86,999.382019
PRIVATE_IP_021,FC3_addr94_qty86,996.746063
PRIVATE_IP_021,FC3_addr0_qty75,2007.128000
PRIVATE_IP_021,FC3_addr3_qty1,2015.061140
PRIVATE_IP_021,FC3_addr97_qty1,2014.220953
PRIVATE_IP_021,FC3_addr0_qty86,1001.770973
PRIVATE_IP_021,FC3_addr94_qty86,1001.276970
PRIVATE_IP_021,FC3_addr94_qty75,1996.289968
PRIVATE_IP_021,FC3_addr0_qty86,998.001099
PRIVATE_IP_021,FC3_addr94_qty86,996.827126
PRIVATE_IP_021,FC3_addr0_qty75,1997.180939
PRIVATE_IP_021,FC3_addr3_qty1,1992.085934
PRIVATE_IP_021,FC3_addr97_qty1,1996.603012
PRIVATE_IP_021,FC3_addr0_qty86,1001.070023
PRIVATE_IP_021,FC3_addr94_qty86,1001.737833
PRIVATE_IP_021,FC3_addr94_qty75,1999.730110
PRIVATE_IP_021,FC3_addr0_qty86,1000.576019
PRIVATE_IP_021,FC3_addr94_qty86,1005.075216
PRIVATE_IP_021,FC3_addr0_qty75,1998.929977
PRIVATE_IP_021,FC3_addr3_qty1,1999.444008
PRIVATE_IP_021,FC3_addr97_qty1,1997.241974
PRIVATE_IP_021,FC3_addr0_qty86,1001.716852
PRIVATE_IP_021,FC3_addr94_qty86,995.575905
PRIVATE_IP_021,FC3_addr94_qty75,2000.716925
PRIVATE_IP_021,FC3_addr0_qty86,1000.868082
PRIVATE_IP_021,FC3_addr94_qty86,1004.005909
PRIVATE_IP_021,FC3_addr0_qty75,2002.338171
PRIVATE_IP_021,FC3_addr3_qty1,2001.899004
PRIVATE_IP_021,FC3_addr97_qty1,1996.572018
PRIVATE_IP_021,FC3_addr0_qty86,999.766111
PRIVATE_IP_021,FC3_addr94_qty86,996.234179
PRIVATE_IP_021,FC3_addr94_qty75,2003.453970
PRIVATE_IP_021,FC3_addr0_qty86,1000.482798
PRIVATE_IP_021,FC3_addr94_qty86,1000.636816
PRIVATE_IP_021,FC3_addr0_qty75,1999.652863
PRIVATE_IP_021,FC3_addr3_qty1,1996.348858
PRIVATE_IP_021,FC3_addr97_qty1,1997.598171
PRIVATE_IP_021,FC3_addr0_qty86,1000.470161
PRIVATE_IP_021,FC3_addr94_qty86,1003.513098
PRIVATE_IP_021,FC3_addr94_qty75,2000.316143
PRIVATE_IP_021,FC3_addr0_qty86,1001.049995
PRIVATE_IP_021,FC3_addr94_qty86,998.620033
PRIVATE_IP_021,FC3_addr0_qty75,2004.418135
PRIVATE_IP_021,FC3_addr3_qty1,2007.176161
PRIVATE_IP_021,FC3_addr97_qty1,2006.491899
PRIVATE_IP_021,FC3_addr0_qty86,1001.678944
PRIVATE_IP_021,FC3_addr94_qty86,1006.888866
PRIVATE_IP_021,FC3_addr94_qty75,2004.827976
PRIVATE_IP_021,FC3_addr0_qty86,998.461008
PRIVATE_IP_021,FC3_addr94_qty86,997.308016
PRIVATE_IP_021,FC3_addr0_qty75,2009.325981
PRIVATE_IP_021,FC3_addr3_qty1,2009.677887
PRIVATE_IP_021,FC3_addr97_qty1,2009.918928
PRIVATE_IP_021,FC3_addr0_qty86,1000.495911
PRIVATE_IP_021,FC3_addr94_qty86,995.835066
PRIVATE_IP_021,FC3_addr94_qty75,2001.733065
PRIVATE_IP_021,FC3_addr0_qty86,1000.256062
PRIVATE_IP_021,FC3_addr94_qty86,1005.003929
PRIVATE_IP_021,FC3_addr0_qty75,1995.413065
PRIVATE_IP_021,FC3_addr3_qty1,1996.575117
PRIVATE_IP_021,FC3_addr97_qty1,1996.407032
PRIVATE_IP_021,FC3_addr0_qty86,999.985933
PRIVATE_IP_021,FC3_addr94_qty86,997.390032
PRIVATE_IP_021,FC3_addr94_qty75,2011.267900
PRIVATE_IP_021,FC3_addr0_qty86,1000.921011
PRIVATE_IP_021,FC3_addr94_qty86,1001.971006
PRIVATE_IP_021,FC3_addr0_qty75,2000.284910
PRIVATE_IP_021,FC3_addr3_qty1,2001.821995
PRIVATE_IP_021,FC3_addr97_qty1,2003.273964
PRIVATE_IP_021,FC3_addr0_qty86,1001.027107
PRIVATE_IP_021,FC3_addr94_qty86,998.582125
PRIVATE_IP_021,FC3_addr94_qty75,1995.532990
PRIVATE_IP_021,FC3_addr0_qty86,1001.587868
PRIVATE_IP_021,FC3_addr94_qty86,1002.920866
PRIVATE_IP_021,FC3_addr0_qty75,2004.611015
PRIVATE_IP_021,FC3_addr3_qty1,2000.169992
PRIVATE_IP_021,FC3_addr97_qty1,2001.886129
PRIVATE_IP_021,FC3_addr0_qty86,1001.173019
PRIVATE_IP_021,FC3_addr94_qty86,1001.456022
PRIVATE_IP_021,FC3_addr94_qty75,2002.630949
PRIVATE_IP_021,FC3_addr0_qty86,1002.285004
PRIVATE_IP_021,FC3_addr94_qty86,1000.667095
PRIVATE_IP_021,FC3_addr0_qty75,2000.078917
PRIVATE_IP_021,FC3_addr3_qty1,2001.821995
PRIVATE_IP_021,FC3_addr97_qty1,2000.612974
PRIVATE_IP_021,FC3_addr0_qty86,999.751091
PRIVATE_IP_021,FC3_addr94_qty86,1001.768827
PRIVATE_IP_021,FC3_addr94_qty75,1998.250961
PRIVATE_IP_021,FC3_addr0_qty86,999.577999
PRIVATE_IP_021,FC3_addr94_qty86,1004.327059
PRIVATE_IP_021,FC3_addr0_qty75,2003.077030
PRIVATE_IP_021,FC3_addr3_qty1,2000.361919
PRIVATE_IP_021,FC3_addr97_qty1,1998.270035
PRIVATE_IP_021,FC3_addr0_qty86,1000.809908
PRIVATE_IP_021,FC3_addr94_qty86,1001.106977
PRIVATE_IP_021,FC3_addr94_qty75,2000.738144
PRIVATE_IP_021,FC3_addr0_qty86,1001.070023
PRIVATE_IP_021,FC3_addr94_qty86,994.013071
PRIVATE_IP_021,FC3_addr0_qty75,1994.127989
PRIVATE_IP_021,FC3_addr3_qty1,1997.761011
PRIVATE_IP_021,FC3_addr97_qty1,1999.174833
PRIVATE_IP_021,FC3_addr0_qty86,1001.340151
PRIVATE_IP_021,FC3_addr94_qty86,1007.006884
PRIVATE_IP_021,FC3_addr94_qty75,2002.156019
PRIVATE_IP_021,FC3_addr0_qty86,1003.503799
PRIVATE_IP_021,FC3_addr94_qty86,999.982119
PRIVATE_IP_021,FC3_addr0_qty75,2000.961065
PRIVATE_IP_021,FC3_addr3_qty1,1999.378920
PRIVATE_IP_021,FC3_addr97_qty1,1998.504162
PRIVATE_IP_021,FC3_addr0_qty86,1001.134157
PRIVATE_IP_021,FC3_addr94_qty86,1001.813889
PRIVATE_IP_021,FC3_addr94_qty75,2008.357048
PRIVATE_IP_021,FC3_addr0_qty86,999.420881
PRIVATE_IP_021,FC3_addr94_qty86,997.780085
PRIVATE_IP_021,FC3_addr0_qty75,2005.512953
PRIVATE_IP_021,FC3_addr3_qty1,2008.084059
PRIVATE_IP_021,FC3_addr97_qty1,2007.905960
PRIVATE_IP_021,FC3_addr0_qty86,1000.033140
PRIVATE_IP_021,FC3_addr94_qty86,998.780966
PRIVATE_IP_021,FC3_addr94_qty75,1993.816853
PRIVATE_IP_021,FC3_addr0_qty86,999.646902
PRIVATE_IP_021,FC3_addr94_qty86,1003.647089
PRIVATE_IP_021,FC3_addr0_qty75,2006.829977
PRIVATE_IP_021,FC3_addr3_qty1,2004.748106
PRIVATE_IP_021,FC3_addr97_qty1,2006.722927
PRIVATE_IP_021,FC3_addr0_qty86,999.629974
PRIVATE_IP_021,FC3_addr94_qty86,994.884014
PRIVATE_IP_021,FC3_addr94_qty75,1999.770164
PRIVATE_IP_021,FC3_addr0_qty86,1001.729965
PRIVATE_IP_021,FC3_addr94_qty86,1003.558874
PRIVATE_IP_021,FC3_addr0_qty75,1997.823000
PRIVATE_IP_021,FC3_addr3_qty1,1997.695923
PRIVATE_IP_021,FC3_addr97_qty1,1996.076107
PRIVATE_IP_021,FC3_addr0_qty86,999.212027
PRIVATE_IP_021,FC3_addr94_qty86,998.747110
PRIVATE_IP_021,FC3_addr94_qty75,2004.059792
PRIVATE_IP_021,FC3_addr0_qty86,1000.429153
PRIVATE_IP_021,FC3_addr94_qty86,1004.374981
PRIVATE_IP_021,FC3_addr0_qty75,2003.003120
PRIVATE_IP_021,FC3_addr3_qty1,2007.452011
PRIVATE_IP_021,FC3_addr97_qty1,2007.553816
PRIVATE_IP_021,FC3_addr0_qty86,999.596834
PRIVATE_IP_021,FC3_addr94_qty86,1001.641989
PRIVATE_IP_021,FC3_addr94_qty75,1998.392105
PRIVATE_IP_021,FC3_addr0_qty86,1000.467062
PRIVATE_IP_021,FC3_addr94_qty86,993.858099
PRIVATE_IP_021,FC3_addr0_qty75,1996.649027
PRIVATE_IP_021,FC3_addr3_qty1,1993.345022
PRIVATE_IP_021,FC3_addr97_qty1,1993.531227
PRIVATE_IP_021,FC3_addr0_qty86,1000.371933
PRIVATE_IP_021,FC3_addr94_qty86,1001.323938
PRIVATE_IP_021,FC3_addr94_qty75,2003.737926
PRIVATE_IP_021,FC3_addr0_qty86,1004.456997
PRIVATE_IP_021,FC3_addr94_qty86,1003.834009
PRIVATE_IP_021,FC3_addr0_qty75,2007.281780
PRIVATE_IP_021,FC3_addr3_qty1,2010.071993
PRIVATE_IP_021,FC3_addr97_qty1,2007.906914
PRIVATE_IP_021,FC3_addr0_qty86,999.727964
PRIVATE_IP_021,FC3_addr94_qty86,1002.321005
PRIVATE_IP_021,FC3_addr94_qty75,2000.035048
PRIVATE_IP_021,FC3_addr0_qty86,1001.164198
PRIVATE_IP_021,FC3_addr94_qty86,999.450922
PRIVATE_IP_021,FC3_addr0_qty75,1996.968031
PRIVATE_IP_021,FC3_addr3_qty1,1997.359037
PRIVATE_IP_021,FC3_addr97_qty1,1998.274088
PRIVATE_IP_021,FC3_addr0_qty86,999.751806
PRIVATE_IP_021,FC3_addr94_qty86,998.210907
PRIVATE_IP_021,FC3_addr94_qty75,2003.169060
PRIVATE_IP_021,FC3_addr0_qty86,1001.718044
PRIVATE_IP_021,FC3_addr94_qty86,1009.657145
PRIVATE_IP_021,FC3_addr0_qty75,2001.356125
PRIVATE_IP_021,FC3_addr3_qty1,1995.336056
PRIVATE_IP_021,FC3_addr97_qty1,2002.990961
PRIVATE_IP_021,FC3_addr0_qty86,1003.880978
PRIVATE_IP_021,FC3_addr94_qty86,999.757051
PRIVATE_IP_021,FC3_addr94_qty75,1995.739937
PRIVATE_IP_021,FC3_addr0_qty86,998.807192
PRIVATE_IP_021,FC3_addr94_qty86,995.260000
PRIVATE_IP_021,FC3_addr0_qty75,2004.639864
PRIVATE_IP_021,FC3_addr3_qty1,2008.756876
PRIVATE_IP_021,FC3_addr97_qty1,2002.667904
PRIVATE_IP_021,FC3_addr0_qty86,999.530792
PRIVATE_IP_021,FC3_addr94_qty86,1000.176907
PRIVATE_IP_021,FC3_addr94_qty75,2007.735968
PRIVATE_IP_021,FC3_addr0_qty86,1002.123117
PRIVATE_IP_021,FC3_addr94_qty86,1000.382900
PRIVATE_IP_021,FC3_addr0_qty75,1996.984005
PRIVATE_IP_021,FC3_addr3_qty1,1999.121904
PRIVATE_IP_021,FC3_addr97_qty1,2002.402067
PRIVATE_IP_021,FC3_addr0_qty86,998.960018
PRIVATE_IP_021,FC3_addr94_qty86,998.946190
PRIVATE_IP_021,FC3_addr94_qty75,1999.758005
PRIVATE_IP_021,FC3_addr0_qty86,1001.044989
PRIVATE_IP_021,FC3_addr94_qty86,1004.555941
PRIVATE_IP_021,FC3_addr0_qty75,1999.199152
PRIVATE_IP_021,FC3_addr3_qty1,1996.132135
PRIVATE_IP_021,FC3_addr97_qty1,1994.056940
PRIVATE_IP_021,FC3_addr0_qty86,1000.999928
PRIVATE_IP_021,FC3_addr94_qty86,999.264956
PRIVATE_IP_021,FC3_addr94_qty75,1998.991013
PRIVATE_IP_021,FC3_addr0_qty86,1002.130985
PRIVATE_IP_021,FC3_addr94_qty86,1001.265049
PRIVATE_IP_021,FC3_addr0_qty75,2006.770849
PRIVATE_IP_021,FC3_addr3_qty1,2005.764961
PRIVATE_IP_021,FC3_addr97_qty1,2005.222082
PRIVATE_IP_021,FC3_addr0_qty86,1000.771999
PRIVATE_IP_021,FC3_addr94_qty86,1000.621080
PRIVATE_IP_021,FC3_addr94_qty75,1999.813080
PRIVATE_IP_021,FC3_addr0_qty86,999.835014
PRIVATE_IP_021,FC3_addr94_qty86,1000.803947
PRIVATE_IP_021,FC3_addr0_qty75,1998.967171
PRIVATE_IP_021,FC3_addr3_qty1,2000.354052
PRIVATE_IP_021,FC3_addr97_qty1,2003.393888
PRIVATE_IP_021,FC3_addr0_qty86,1000.514984
PRIVATE_IP_021,FC3_addr94_qty86,1007.084846
PRIVATE_IP_021,FC3_addr94_qty75,2005.984068
PRIVATE_IP_021,FC3_addr0_qty86,1000.669956
PRIVATE_IP_021,FC3_addr94_qty86,995.885134
PRIVATE_IP_021,FC3_addr0_qty75,1999.683857
PRIVATE_IP_021,FC3_addr3_qty1,1998.399019
PRIVATE_IP_021,FC3_addr97_qty1,1995.142937
PRIVATE_IP_021,FC3_addr0_qty86,1001.000166
PRIVATE_IP_021,FC3_addr94_qty86,999.230862
PRIVATE_IP_021,FC3_addr94_qty75,1996.930838
PRIVATE_IP_021,FC3_addr0_qty86,1000.058889
PRIVATE_IP_021,FC3_addr94_qty86,1002.307177
PRIVATE_IP_021,FC3_addr0_qty75,1999.515057
PRIVATE_IP_021,FC3_addr3_qty1,1999.418020
PRIVATE_IP_021,FC3_addr97_qty1,2000.559092
PRIVATE_IP_021,FC3_addr0_qty86,1001.734972
PRIVATE_IP_021,FC3_addr94_qty86,1001.233816
PRIVATE_IP_021,FC3_addr94_qty75,2001.507998
PRIVATE_IP_021,FC3_addr0_qty86,998.042107
PRIVATE_IP_021,FC3_addr94_qty86,998.270035
PRIVATE_IP_021,FC3_addr0_qty75,2001.897097
PRIVATE_IP_021,FC3_addr3_qty1,2000.661850
PRIVATE_IP_021,FC3_addr97_qty1,1999.896049
PRIVATE_IP_021,FC3_addr0_qty86,1002.815962
PRIVATE_IP_021,FC3_addr94_qty86,1004.875183
PRIVATE_IP_021,FC3_addr94_qty75,2000.699043
PRIVATE_IP_021,FC3_addr0_qty86,999.605894
PRIVATE_IP_021,FC3_addr94_qty86,998.273849
PRIVATE_IP_021,FC3_addr0_qty75,2000.538826
PRIVATE_IP_021,FC3_addr3_qty1,2007.397175
PRIVATE_IP_021,FC3_addr97_qty1,2006.257057
PRIVATE_IP_021,FC3_addr0_qty86,1002.590179
PRIVATE_IP_021,FC3_addr94_qty86,1004.683971
PRIVATE_IP_021,FC3_addr94_qty75,2000.066996
PRIVATE_IP_021,FC3_addr0_qty86,998.179913
PRIVATE_IP_021,FC3_addr94_qty86,993.530035
PRIVATE_IP_021,FC3_addr0_qty75,1998.666048
PRIVATE_IP_021,FC3_addr3_qty1,1997.803926
PRIVATE_IP_021,FC3_addr97_qty1,1998.968840
PRIVATE_IP_021,FC3_addr0_qty86,1001.261950
PRIVATE_IP_021,FC3_addr94_qty86,1007.133007
PRIVATE_IP_021,FC3_addr94_qty75,2006.302118
PRIVATE_IP_021,FC3_addr0_qty86,1000.179052
PRIVATE_IP_021,FC3_addr94_qty86,997.429132
PRIVATE_IP_021,FC3_addr0_qty75,2005.139112
PRIVATE_IP_021,FC3_addr3_qty1,2001.725912
PRIVATE_IP_021,FC3_addr97_qty1,2002.451181
PRIVATE_IP_021,FC3_addr0_qty86,1002.650023
PRIVATE_IP_021,FC3_addr94_qty86,1003.569841
PRIVATE_IP_021,FC3_addr94_qty75,1996.632814
PRIVATE_IP_021,FC3_addr0_qty86,997.903109
PRIVATE_IP_021,FC3_addr94_qty86,995.491982
PRIVATE_IP_021,FC3_addr0_qty75,1999.001026
PRIVATE_IP_021,FC3_addr3_qty1,2001.314163
PRIVATE_IP_021,FC3_addr97_qty1,2003.888845
PRIVATE_IP_021,FC3_addr0_qty86,999.566793
PRIVATE_IP_021,FC3_addr94_qty86,996.458054
PRIVATE_IP_021,FC3_addr94_qty75,2001.672029
PRIVATE_IP_021,FC3_addr0_qty86,1001.435041
PRIVATE_IP_021,FC3_addr94_qty86,1002.532005
PRIVATE_IP_021,FC3_addr0_qty75,2005.371809
PRIVATE_IP_021,FC3_addr3_qty1,2006.911993
PRIVATE_IP_021,FC3_addr97_qty1,2010.586023
PRIVATE_IP_021,FC3_addr0_qty86,1000.019073
PRIVATE_IP_021,FC3_addr94_qty86,1000.790119
PRIVATE_IP_021,FC3_addr94_qty75,1999.287128
PRIVATE_IP_021,FC3_addr0_qty86,1000.648022
PRIVATE_IP_021,FC3_addr94_qty86,1005.658865
PRIVATE_IP_021,FC3_addr0_qty75,1997.848034
PRIVATE_IP_021,FC3_addr3_qty1,1993.582010
PRIVATE_IP_021,FC3_addr97_qty1,1985.080957
PRIVATE_IP_021,FC3_addr0_qty86,1000.493050
PRIVATE_IP_021,FC3_addr94_qty86,995.347977
PRIVATE_IP_021,FC3_addr94_qty75,2000.725985
PRIVATE_IP_021,FC3_addr0_qty86,1001.300812
PRIVATE_IP_021,FC3_addr94_qty86,999.884129
PRIVATE_IP_021,FC3_addr0_qty75,2001.309156
PRIVATE_IP_021,FC3_addr3_qty1,1998.494864
PRIVATE_IP_021,FC3_addr97_qty1,1997.737169
PRIVATE_IP_021,FC3_addr0_qty86,1002.075195
PRIVATE_IP_021,FC3_addr94_qty86,1003.226995
PRIVATE_IP_021,FC3_addr94_qty75,2004.169941
PRIVATE_IP_021,FC3_addr0_qty86,1000.343800
PRIVATE_IP_021,FC3_addr94_qty86,997.891903
PRIVATE_IP_021,FC3_addr0_qty75,1999.820948
PRIVATE_IP_021,FC3_addr3_qty1,1999.946117
PRIVATE_IP_021,FC3_addr97_qty1,2005.083799
PRIVATE_IP_021,FC3_addr0_qty86,1002.312183
PRIVATE_IP_021,FC3_addr94_qty86,1004.297972
PRIVATE_IP_021,FC3_addr94_qty75,1996.406078
PRIVATE_IP_021,FC3_addr0_qty86,998.456001
PRIVATE_IP_021,FC3_addr94_qty86,998.916149
PRIVATE_IP_021,FC3_addr0_qty75,2002.552986
