api,rtt_ms
PRIVATE_IP_021,5.191088
PRIVATE_IP_021,5.528927
PRIVATE_IP_021,8.397818
PRIVATE_IP_021,4.920959
PRIVATE_IP_021,5.048990
PRIVATE_IP_021,9.050131
PRIVATE_IP_021,4.995823
PRIVATE_IP_021,3.973007
PRIVATE_IP_021,6.564856
PRIVATE_IP_021,4.488945
PRIVATE_IP_021,6.943941
PRIVATE_IP_021,10.129213
PRIVATE_IP_021,8.751869
PRIVATE_IP_021,4.483938
PRIVATE_IP_021,6.049156
PRIVATE_IP_021,2.778053
PRIVATE_IP_021,9.288073
PRIVATE_IP_021,4.708052
PRIVATE_IP_021,8.623123
PRIVATE_IP_021,6.534100
PRIVATE_IP_021,5.228996
PRIVATE_IP_021,11.815071
PRIVATE_IP_021,5.300999
PRIVATE_IP_021,7.991076
PRIVATE_IP_021,3.302097
PRIVATE_IP_021,4.868984
PRIVATE_IP_021,19.491196
PRIVATE_IP_021,6.042957
PRIVATE_IP_021,6.722927
PRIVATE_IP_021,6.771088
PRIVATE_IP_021,5.189896
PRIVATE_IP_021,6.425142
PRIVATE_IP_021,4.267931
PRIVATE_IP_021,7.192135
PRIVATE_IP_021,8.614063
PRIVATE_IP_021,6.716967
PRIVATE_IP_021,5.017996
PRIVATE_IP_021,6.628036
PRIVATE_IP_021,8.738041
PRIVATE_IP_021,4.234076
PRIVATE_IP_021,5.027056
PRIVATE_IP_021,10.606050
PRIVATE_IP_021,12.130022
PRIVATE_IP_021,4.138947
PRIVATE_IP_021,6.602049
PRIVATE_IP_021,6.243944
PRIVATE_IP_021,3.923893
PRIVATE_IP_021,7.486105
PRIVATE_IP_021,5.371809
PRIVATE_IP_021,5.246878
PRIVATE_IP_021,8.686066
PRIVATE_IP_021,3.892183
PRIVATE_IP_021,5.612135
PRIVATE_IP_021,4.386187
PRIVATE_IP_021,4.557133
PRIVATE_IP_021,2.822876
PRIVATE_IP_021,4.565954
PRIVATE_IP_021,7.351875
PRIVATE_IP_021,6.573915
PRIVATE_IP_021,5.554914
PRIVATE_IP_021,5.626917
PRIVATE_IP_021,5.525827
PRIVATE_IP_021,5.465031
PRIVATE_IP_021,7.126093
PRIVATE_IP_021,7.915974
PRIVATE_IP_021,5.921125
PRIVATE_IP_021,8.768082
PRIVATE_IP_021,4.594088
PRIVATE_IP_021,3.345966
PRIVATE_IP_021,4.853964
PRIVATE_IP_021,4.821062
PRIVATE_IP_021,10.586977
PRIVATE_IP_021,4.958153
PRIVATE_IP_021,6.891966
PRIVATE_IP_021,12.805939
PRIVATE_IP_021,7.785082
PRIVATE_IP_021,4.781961
PRIVATE_IP_021,6.717920
PRIVATE_IP_021,5.180836
PRIVATE_IP_021,4.075050
PRIVATE_IP_021,5.846024
PRIVATE_IP_021,4.513979
PRIVATE_IP_021,11.634111
PRIVATE_IP_021,5.833149
PRIVATE_IP_021,4.433155
PRIVATE_IP_021,7.344961
PRIVATE_IP_021,4.318953
PRIVATE_IP_021,5.984068
PRIVATE_IP_021,5.547047
