epoch,iso,cpu_pct,load1,mem_total_mib,mem_avail_mib,mem_used_mib,mem_used_pct,swap_used_mib,temp_max_c ,net_br0_rx_mbps,net_br0_tx_mbps,net_br0_total_mbps,net_br0_rx_pps,net_br0_tx_pps,net_br0_rx_errors_s,net_br0_tx_errors_s,net_br0_rx_drops_s,net_br0_tx_drops_s ,net_enp2s0_rx_mbps,net_enp2s0_tx_mbps,net_enp2s0_total_mbps,net_enp2s0_rx_pps,net_enp2s0_tx_pps,net_enp2s0_rx_errors_s,net_enp2s0_tx_errors_s,net_enp2s0_rx_drops_s,net_enp2s0_tx_drops_s ,net_enp1s0_rx_mbps,net_enp1s0_tx_mbps,net_enp1s0_total_mbps,net_enp1s0_rx_pps,net_enp1s0_tx_pps,net_enp1s0_rx_errors_s,net_enp1s0_tx_errors_s,net_enp1s0_rx_drops_s,net_enp1s0_tx_drops_s
1781799423.878696492,2026-06-18T16:17:03+00:00,1.235,0.17,7783.762,7259.098,524.664,6.740,0.000,49.00,0.088064,0.045696,0.133760,136.000000,56.000000,0.000000,0.000000,0.000000,0.000000,0.073216,0.077776,0.150992,110.000000,85.000000,0.000000,0.000000,0.000000,0.000000,0.031784,0.028144,0.059928,28.000000,56.000000,0.000000,0.000000,0.000000,0.000000
1781799425.065058186,2026-06-18T16:17:05+00:00,4.506,0.17,7783.762,7257.957,525.805,6.755,0.000,48.00,0.089408,0.050160,0.139568,143.000000,61.000000,0.000000,0.000000,0.000000,0.000000,0.076336,0.078064,0.154400,116.000000,87.000000,0.000000,0.000000,0.000000,0.000000,0.028160,0.026704,0.054864,27.000000,53.000000,0.000000,0.000000,0.000000,0.000000
1781799426.211215664,2026-06-18T16:17:06+00:00,3.712,0.17,7783.762,7255.363,528.398,6.788,0.000,47.00,0.063920,0.006096,0.070016,112.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.041648,0.039240,0.080888,74.000000,41.000000,0.000000,0.000000,0.000000,0.000000,0.034520,0.037520,0.072040,36.000000,71.000000,0.000000,0.000000,0.000000,0.000000
1781799427.409560273,2026-06-18T16:17:07+00:00,4.603,0.17,7783.762,7252.176,531.586,6.829,0.000,48.00,0.056096,0.001200,0.057296,92.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.033136,0.036384,0.069520,65.000000,32.000000,0.000000,0.000000,0.000000,0.000000,0.034664,0.030688,0.065352,31.000000,60.000000,0.000000,0.000000,0.000000,0.000000
1781799428.714387796,2026-06-18T16:17:08+00:00,6.977,0.16,7783.762,7253.668,530.094,6.810,0.000,49.00,0.053056,0.001200,0.054256,98.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.036832,0.033736,0.070568,69.000000,31.000000,0.000000,0.000000,0.000000,0.000000,0.032536,0.035296,0.067832,29.000000,66.000000,0.000000,0.000000,0.000000,0.000000
1781799429.871890231,2026-06-18T16:17:09+00:00,3.493,0.16,7783.762,7254.820,528.941,6.795,0.000,47.00,0.055368,0.001200,0.056568,85.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.029152,0.032464,0.061616,60.000000,28.000000,0.000000,0.000000,0.000000,0.000000,0.031784,0.032512,0.064296,28.000000,65.000000,0.000000,0.000000,0.000000,0.000000
1781799431.182263202,2026-06-18T16:17:11+00:00,6.154,0.16,7783.762,7255.184,528.578,6.791,0.000,47.00,0.053888,0.001200,0.055088,101.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.035648,0.033560,0.069208,69.000000,34.000000,0.000000,0.000000,0.000000,0.000000,0.033776,0.034256,0.068032,35.000000,68.000000,0.000000,0.000000,0.000000,0.000000
1781799432.340038892,2026-06-18T16:17:12+00:00,3.905,0.16,7783.762,7255.836,527.926,6.782,0.000,48.00,0.060416,0.001200,0.061616,106.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.037888,0.036496,0.074384,70.000000,34.000000,0.000000,0.000000,0.000000,0.000000,0.036744,0.036928,0.073672,33.000000,69.000000,0.000000,0.000000,0.000000,0.000000
1781799433.664364490,2026-06-18T16:17:13+00:00,6.654,0.14,7783.762,7255.141,528.621,6.791,0.000,48.00,0.057472,0.001200,0.058672,95.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.031648,0.032224,0.063872,63.000000,30.000000,0.000000,0.000000,0.000000,0.000000,0.027640,0.028096,0.055736,26.000000,57.000000,0.000000,0.000000,0.000000,0.000000
1781799434.822305530,2026-06-18T16:17:14+00:00,3.478,0.14,7783.762,7256.059,527.703,6.780,0.000,48.00,0.046760,0.001200,0.047960,88.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.032224,0.037360,0.069584,65.000000,32.000000,0.000000,0.000000,0.000000,0.000000,0.036672,0.033184,0.069856,33.000000,65.000000,0.000000,0.000000,0.000000,0.000000
1781799436.190900096,2026-06-18T16:17:16+00:00,7.394,0.14,7783.762,7257.223,526.539,6.765,0.000,49.00,0.060320,0.001200,0.061520,96.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.033728,0.034072,0.067800,66.000000,35.000000,0.000000,0.000000,0.000000,0.000000,0.032360,0.032240,0.064600,33.000000,65.000000,0.000000,0.000000,0.000000,0.000000
1781799437.336632012,2026-06-18T16:17:17+00:00,4.376,0.14,7783.762,7258.340,525.422,6.750,0.000,48.00,0.055944,0.001200,0.057144,101.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.031600,0.032880,0.064480,65.000000,31.000000,0.000000,0.000000,0.000000,0.000000,0.034736,0.031168,0.065904,31.000000,61.000000,0.000000,0.000000,0.000000,0.000000
1781799438.487882133,2026-06-18T16:17:18+00:00,3.736,0.13,7783.762,7259.305,524.457,6.738,0.000,48.00,0.056472,0.001200,0.057672,99.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.036096,0.035024,0.071120,68.000000,32.000000,0.000000,0.000000,0.000000,0.000000,0.030768,0.033552,0.064320,29.000000,67.000000,0.000000,0.000000,0.000000,0.000000
1781799439.770188735,2026-06-18T16:17:19+00:00,5.894,0.13,7783.762,7258.590,525.172,6.747,0.000,48.00,0.050072,0.001200,0.051272,85.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.028192,0.030720,0.058912,57.000000,29.000000,0.000000,0.000000,0.000000,0.000000,0.036416,0.031696,0.068112,31.000000,62.000000,0.000000,0.000000,0.000000,0.000000
