run_id,scenario,target,iface,section,item,metric,value,unit,status,interpretation,recommendation
bridge_PRIVATE_IP_021_20260616_172248,bridge,PRIVATE_IP_021,tun0,Conectividad,Perdida ICMP,icmp_packet_loss,0,%,OK,Perdida ICMP observada: 0 %.,Mantener como referencia baseline.
bridge_PRIVATE_IP_021_20260616_172248,bridge,PRIVATE_IP_021,tun0,Latencia,RTT ICMP promedio,icmp_rtt_avg,3.619,ms,OK,RTT ICMP promedio: 3.619 ms.,Usar como referencia directa para comparar baseline vs VPN.
bridge_PRIVATE_IP_021_20260616_172248,bridge,PRIVATE_IP_021,tun0,Latencia,TCP connect promedio,tcp_connect_avg,4.395319,ms,OK,TCP connect promedio: 4.395319 ms.,Usar como referencia directa para comparar baseline vs VPN.
bridge_PRIVATE_IP_021_20260616_172248,bridge,PRIVATE_IP_021,tun0,Latencia,TCP connect p95,tcp_connect_p95,5.201677,ms,OK,TCP connect p95: 5.201677 ms.,Usar como referencia directa para comparar baseline vs VPN.
bridge_PRIVATE_IP_021_20260616_172248,bridge,PRIVATE_IP_021,tun0,Latencia,TCP connect p99,tcp_connect_p99,6.348961,ms,OK,TCP connect p99: 6.348961 ms.,Usar como referencia directa para comparar baseline vs VPN.
bridge_PRIVATE_IP_021_20260616_172248,bridge,PRIVATE_IP_021,tun0,Servicio TCP,Tasa de exito TCP connect,tcp_connect_success_rate,100.000000,%,OK,Tasa de exito de establecimiento TCP: 100.000000 %.,El puerto TCP fue alcanzable durante todas las muestras.
bridge_PRIVATE_IP_021_20260616_172248,bridge,PRIVATE_IP_021,tun0,MTU,PMTU aproximada,pmtu_ipv4_approx,1500,bytes,OK,PMTU IPv4 aproximada: 1500 bytes.,PMTU cercana a Ethernet estandar.
bridge_PRIVATE_IP_021_20260616_172248,bridge,PRIVATE_IP_021,tun0,Captura,Entropia de payload,payload_entropy,2.071295,bits_per_byte,INFO,Entropia estimada: 2.071295 bits_per_byte.,"Entropia baja, compatible con trafico estructurado o texto claro."
bridge_PRIVATE_IP_021_20260616_172248,bridge,PRIVATE_IP_021,tun0,Recursos,CPU ocupada,cpu_avg_busy_pct,10.720,%,OK,CPU ocupada promedio: 10.720 %.,No se aprecia saturacion general de CPU.
bridge_PRIVATE_IP_021_20260616_172248,bridge,PRIVATE_IP_021,tun0,Recursos,Proceso con mayor CPU,top_process_cpu,34.984,%,INFO,El proceso con mayor consumo agregado fue node-red con 34.984 %CPU promedio.,Comparar el mismo top de procesos entre baseline y VPN.
bridge_PRIVATE_IP_021_20260616_172248,bridge,PRIVATE_IP_021,tun0,Trafico,Conteo por servicio,packet_service_counts,,packets,INFO,Se genero conteo de paquetes por servicio usando metodo: pcap_tshark.,"Si existe pcap, el conteo es real; si no, se estima desde logs de las pruebas."
bridge_PRIVATE_IP_021_20260616_172248,bridge,PRIVATE_IP_021,tun0,Interfaz,Delta TX/RX,interface_delta,TX 0 / RX 0,packets,INFO,Durante la corrida se observo delta de 0 paquetes TX y 0 paquetes RX en tun0.,Usar para verificar si la prueba genero trafico real en la interfaz seleccionada.
