rank,process,avg_rss_mib,max_rss_mib,avg_vsz_mib,avg_mem_pct,max_mem_pct,cumulative_rss_mib,samples,source_files
1,node-red,317.425,319.113,12248.058,1.321,1.330,317.425,301,pidstat_all.log
2,tshark,144.250,144.250,851.791,0.600,0.600,461.675,2,pidstat_all.log
3,systemd-journal,101.818,102.289,193.774,0.420,0.430,563.492,66,pidstat_all.log
4,postgres,58.011,420.016,190.854,0.242,1.750,621.504,1504,pidstat_all.log
5,snapd,44.957,45.133,2241.730,0.190,0.190,666.461,18,pidstat_all.log
6,wazuh-logcollec,41.648,41.926,1286.293,0.170,0.170,708.109,13,pidstat_all.log
7,redis-server,17.953,18.332,57.234,0.074,0.080,726.063,11,pidstat_all.log
8,lldap,15.071,15.430,29.251,0.059,0.060,741.134,12,pidstat_all.log
9,systemd,14.262,14.262,22.559,0.060,0.060,755.395,70,pidstat_all.log
10,containerd-shim,11.225,12.012,1204.908,0.049,0.050,766.620,153,pidstat_all.log
11,wazuh-agentd,10.614,10.691,307.973,0.040,0.040,777.234,105,pidstat_all.log
12,dumpcap,7.250,7.250,12.922,0.030,0.030,784.484,2,pidstat_all.log
13,nginx,6.480,6.480,40.766,0.030,0.030,790.965,11,pidstat_all.log
14,systemd-udevd,6.125,6.125,27.164,0.030,0.030,797.090,116,pidstat_all.log
15,pidstat,5.875,5.875,9.230,0.020,0.020,802.965,5,pidstat_all.log
16,dbus-daemon,5.297,5.297,9.973,0.020,0.020,808.262,2,pidstat_all.log
17,mtr,4.846,5.375,6.551,0.018,0.020,813.108,5,pidstat_all.log
18,bash,4.250,4.250,7.828,0.020,0.020,817.358,15,pidstat_all.log
19,(udev-worker),3.639,3.734,27.168,0.017,0.020,820.997,118,pidstat_all.log
20,cron,2.750,2.750,6.664,0.010,0.010,823.747,3,pidstat_all.log
21,ping,2.625,2.625,7.492,0.010,0.010,826.372,12,pidstat_all.log
22,sar,2.375,2.375,5.676,0.010,0.010,828.747,2,pidstat_all.log
23,timeout,2.000,2.000,5.559,0.010,0.010,830.747,1,pidstat_all.log
24,sleep,2.000,2.000,5.551,0.010,0.010,832.747,1,pidstat_all.log
25,mtr-packet,1.750,1.750,2.637,0.010,0.010,834.497,1,pidstat_all.log
