sample,elapsed_s,mem_total_mib,swpd_mib,free_mib,buff_mib,cache_mib,available_proxy_mib,used_including_cache_mib,used_including_cache_pct,used_without_buffer_cache_mib,used_without_buffer_cache_pct,swap_in_kib_s,swap_out_kib_s,context_switches_s,cpu_user_pct,cpu_system_pct,cpu_idle_pct,cpu_iowait_pct
1,0,24032.0,4.03515625,2103.1171875,393.51953125,19962.953125,22459.58984375,21928.8828125,91.24868014522303,1572.41015625,6.542985004369174,0.0,0.0,3638.0,8.0,7.0,85.0,0.0
2,1,24032.0,4.03515625,2113.3671875,393.51953125,19962.97265625,22469.859375,21918.6328125,91.20602868050932,1562.140625,6.5002522678095875,0.0,0.0,3380.0,6.0,3.0,91.0,0.0
3,2,24032.0,4.03515625,2121.328125,393.51953125,19963.015625,22477.86328125,21910.671875,91.17290227613182,1554.13671875,6.466947065371172,0.0,0.0,2347.0,5.0,3.0,92.0,0.0
4,3,24032.0,4.03515625,2120.88671875,393.51953125,19963.03515625,22477.44140625,21911.11328125,91.17473901984854,1554.55859375,6.46870253724201,0.0,0.0,2163.0,5.0,3.0,93.0,0.0
5,4,24032.0,4.03515625,2121.125,393.51953125,19963.06640625,22477.7109375,21910.875,91.1737475033289,1554.2890625,6.467580985768976,0.0,0.0,2220.0,5.0,3.0,92.0,0.0
6,5,24032.0,4.03515625,2126.16796875,393.51953125,19963.1015625,22482.7890625,21905.83203125,91.1527631127247,1549.2109375,6.446450305842211,0.0,0.0,3130.0,10.0,4.0,86.0,0.0
7,6,24032.0,4.03515625,2131.88671875,393.51953125,19963.125,22488.53125,21900.11328125,91.12896671625333,1543.46875,6.422556383155792,0.0,0.0,2423.0,5.0,2.0,93.0,0.0
8,7,24032.0,4.03515625,2134.04296875,393.51953125,19963.15625,22490.71875,21897.95703125,91.11999430446905,1541.28125,6.413453936418109,0.0,0.0,2646.0,5.0,2.0,93.0,0.0
9,8,24032.0,4.03515625,2136.0546875,393.51953125,19963.1796875,22492.75390625,21895.9453125,91.1116233043442,1539.24609375,6.404985410078229,0.0,0.0,1983.0,4.0,2.0,93.0,0.0
10,9,24032.0,4.03515625,2139.2109375,393.51953125,19963.1953125,22495.92578125,21892.7890625,91.09848977405126,1536.07421875,6.391786862308589,0.0,0.0,2544.0,5.0,3.0,92.0,0.0
