sample,epoch,target,port,ok,tcp_connect_ms,error
1,1781648997.892745,PRIVATE_IP_022,502,1,5.496717,
2,1781648998.0969417,PRIVATE_IP_022,502,1,3.985995,
3,1781648998.3009412,PRIVATE_IP_022,502,1,3.826627,
4,1781648998.504637,PRIVATE_IP_022,502,1,3.557888,
5,1781648998.708953,PRIVATE_IP_022,502,1,4.104077,
6,1781648998.9128606,PRIVATE_IP_022,502,1,3.678984,
7,1781648999.117758,PRIVATE_IP_022,502,1,4.742373,
8,1781648999.3218386,PRIVATE_IP_022,502,1,3.924518,
9,1781648999.5257516,PRIVATE_IP_022,502,1,3.780617,
10,1781648999.7297935,PRIVATE_IP_022,502,1,3.838883,
11,1781648999.933869,PRIVATE_IP_022,502,1,3.882229,
12,1781649000.1377678,PRIVATE_IP_022,502,1,3.668059,
13,1781649000.342067,PRIVATE_IP_022,502,1,4.148994,
14,1781649000.5457797,PRIVATE_IP_022,502,1,3.532389,
15,1781649000.7508535,PRIVATE_IP_022,502,1,4.727725,
16,1781649000.9548717,PRIVATE_IP_022,502,1,3.806676,
17,1781649001.159343,PRIVATE_IP_022,502,1,4.269892,
18,1781649001.3640995,PRIVATE_IP_022,502,1,4.480828,
19,1781649001.5692344,PRIVATE_IP_022,502,1,4.835692,
20,1781649001.7743306,PRIVATE_IP_022,502,1,4.815196,
21,1781649001.9792354,PRIVATE_IP_022,502,1,4.723666,
22,1781649002.1841497,PRIVATE_IP_022,502,1,4.670161,
23,1781649002.3886833,PRIVATE_IP_022,502,1,4.391275,
24,1781649002.5927806,PRIVATE_IP_022,502,1,3.930747,
25,1781649002.7968652,PRIVATE_IP_022,502,1,3.923014,
26,1781649003.0017905,PRIVATE_IP_022,502,1,4.677943,
27,1781649003.2068524,PRIVATE_IP_022,502,1,4.566448,
28,1781649003.4106941,PRIVATE_IP_022,502,1,3.717280,
29,1781649003.6149607,PRIVATE_IP_022,502,1,4.014458,
30,1781649003.82019,PRIVATE_IP_022,502,1,4.957253,
31,1781649004.0249178,PRIVATE_IP_022,502,1,4.492387,
32,1781649004.2288718,PRIVATE_IP_022,502,1,3.726718,
33,1781649004.4327292,PRIVATE_IP_022,502,1,3.675885,
34,1781649004.63672,PRIVATE_IP_022,502,1,3.838547,
35,1781649004.8407528,PRIVATE_IP_022,502,1,3.801460,
36,1781649005.0448818,PRIVATE_IP_022,502,1,3.917343,
37,1781649005.2491717,PRIVATE_IP_022,502,1,4.086305,
38,1781649005.4527204,PRIVATE_IP_022,502,1,3.392418,
39,1781649005.6567678,PRIVATE_IP_022,502,1,3.932638,
40,1781649005.8621426,PRIVATE_IP_022,502,1,5.136462,
41,1781649006.0673769,PRIVATE_IP_022,502,1,5.039009,
42,1781649006.272894,PRIVATE_IP_022,502,1,4.704725,
43,1781649006.4770634,PRIVATE_IP_022,502,1,4.043338,
44,1781649006.6821573,PRIVATE_IP_022,502,1,4.933161,
45,1781649006.886969,PRIVATE_IP_022,502,1,4.612190,
46,1781649007.091729,PRIVATE_IP_022,502,1,4.461746,
47,1781649007.2961287,PRIVATE_IP_022,502,1,4.160584,
48,1781649007.5007389,PRIVATE_IP_022,502,1,4.424964,
49,1781649007.7049952,PRIVATE_IP_022,502,1,4.058870,
50,1781649007.9097862,PRIVATE_IP_022,502,1,4.496088,
51,1781649008.114823,PRIVATE_IP_022,502,1,4.883320,
52,1781649008.3196461,PRIVATE_IP_022,502,1,4.538545,
53,1781649008.5240815,PRIVATE_IP_022,502,1,4.179574,
54,1781649008.7289245,PRIVATE_IP_022,502,1,4.669241,
55,1781649008.9343874,PRIVATE_IP_022,502,1,5.219745,
56,1781649009.1387646,PRIVATE_IP_022,502,1,4.196358,
57,1781649009.3427134,PRIVATE_IP_022,502,1,3.799222,
58,1781649009.5475938,PRIVATE_IP_022,502,1,4.731576,
59,1781649009.7517865,PRIVATE_IP_022,502,1,4.020822,
60,1781649009.9571376,PRIVATE_IP_022,502,1,5.151015,
61,1781649010.1617239,PRIVATE_IP_022,502,1,4.426375,
62,1781649010.3657568,PRIVATE_IP_022,502,1,3.843228,
63,1781649010.5699658,PRIVATE_IP_022,502,1,4.059025,
64,1781649010.7750423,PRIVATE_IP_022,502,1,4.874721,
65,1781649010.9799817,PRIVATE_IP_022,502,1,4.682327,
66,1781649011.1849675,PRIVATE_IP_022,502,1,4.711172,
67,1781649011.3911524,PRIVATE_IP_022,502,1,6.050914,
68,1781649011.594591,PRIVATE_IP_022,502,1,3.324422,
69,1781649011.7986891,PRIVATE_IP_022,502,1,3.989039,
70,1781649012.0035257,PRIVATE_IP_022,502,1,4.655527,
71,1781649012.207726,PRIVATE_IP_022,502,1,4.033377,
72,1781649012.4122608,PRIVATE_IP_022,502,1,4.294862,
73,1781649012.6168962,PRIVATE_IP_022,502,1,4.416472,
