Linux 6.8.0-55-generic (ubuntu) 	16/06/26 	_x86_64_	(8 CPU)

17:22:49     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:22:50     all    8,06    0,00    6,42    0,25    0,00    0,50    0,00    0,00    0,00   84,76
17:22:50       0   11,00    0,00    5,00    0,00    0,00    1,00    0,00    0,00    0,00   83,00
17:22:50       1    7,07    0,00    5,05    0,00    0,00    1,01    0,00    0,00    0,00   86,87
17:22:50       2    3,09    0,00    6,19    0,00    0,00    1,03    0,00    0,00    0,00   89,69
17:22:50       3    6,00    0,00   10,00    1,00    0,00    1,00    0,00    0,00    0,00   82,00
17:22:50       4   17,17    0,00    9,09    0,00    0,00    0,00    0,00    0,00    0,00   73,74
17:22:50       5    4,00    0,00    5,00    0,00    0,00    0,00    0,00    0,00    0,00   91,00
17:22:50       6   13,13    0,00    6,06    0,00    0,00    0,00    0,00    0,00    0,00   80,81
17:22:50       7    3,00    0,00    5,00    1,00    0,00    0,00    0,00    0,00    0,00   91,00

17:22:50     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:22:51     all    5,58    0,00    2,53    0,00    0,00    0,13    0,00    0,00    0,00   91,76
17:22:51       0    6,06    0,00    2,02    0,00    0,00    0,00    0,00    0,00    0,00   91,92
17:22:51       1    7,14    0,00    3,06    0,00    0,00    0,00    0,00    0,00    0,00   89,80
17:22:51       2    7,00    0,00    2,00    0,00    0,00    1,00    0,00    0,00    0,00   90,00
17:22:51       3   16,33    0,00    2,04    0,00    0,00    0,00    0,00    0,00    0,00   81,63
17:22:51       4    2,06    0,00    2,06    0,00    0,00    0,00    0,00    0,00    0,00   95,88
17:22:51       5    4,04    0,00    4,04    0,00    0,00    0,00    0,00    0,00    0,00   91,92
17:22:51       6    1,00    0,00    2,00    0,00    0,00    0,00    0,00    0,00    0,00   97,00
17:22:51       7    1,02    0,00    3,06    0,00    0,00    0,00    0,00    0,00    0,00   95,92

