Linux 6.8.0-55-generic (ubuntu) 	16/06/26 	_x86_64_	(8 CPU)

17:22:49        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
17:22:50        all      8,17      0,00      6,66      0,25      0,00      0,00      0,50      0,00      0,00     84,42
17:22:51        all      5,46      0,00      2,29      0,00      0,00      0,00      0,13      0,00      0,00     92,12
17:22:52        all      5,16      0,00      2,64      0,00      0,00      0,00      0,38      0,00      0,00     91,82
17:22:53        all      4,65      0,00      2,14      0,13      0,00      0,00      0,63      0,00      0,00     92,45
17:22:54        all      5,16      0,00      2,64      0,25      0,00      0,00      0,25      0,00      0,00     91,69
17:22:55        all     10,37      0,00      3,54      0,13      0,00      0,00      0,25      0,00      0,00     85,71
17:22:56        all      4,68      0,00      2,02      0,00      0,00      0,00      0,25      0,00      0,00     93,05
17:22:57        all      4,44      0,00      1,90      0,25      0,00      0,00      0,25      0,00      0,00     93,16
17:22:58        all      4,76      0,00      1,88      0,00      0,00      0,00      0,50      0,00      0,00     92,86
17:22:59        all      4,31      0,00      2,16      0,25      0,00      0,00      0,38      0,00      0,00     92,89
17:23:00        all      4,65      0,00      2,39      0,00      0,00      0,00      0,38      0,00      0,00     92,59
17:23:01        all      7,38      0,00      4,07      0,13      0,00      0,00      0,38      0,00      0,00     88,04
17:23:02        all      7,47      0,00      3,80      0,00      0,00      0,00      0,13      0,00      0,00     88,61
17:23:03        all      4,17      0,00      1,90      0,13      0,00      0,00      0,13      0,00      0,00     93,68
17:23:04        all      4,29      0,00      2,02      0,13      0,00      0,00      0,25      0,00      0,00     93,32
17:23:05        all      4,54      0,00      2,27      0,00      0,00      0,00      0,25      0,00      0,00     92,94
17:23:06        all      8,95      0,00      4,16      0,25      0,00      0,00      0,38      0,00      0,00     86,25
17:23:07        all      6,16      0,00      2,39      0,13      0,00      0,00      0,38      0,00      0,00     90,95
17:23:08        all      4,41      0,00      2,02      0,13      0,00      0,00      0,38      0,00      0,00     93,07
17:23:09        all      4,55      0,00      1,77      0,25      0,00      0,00      0,25      0,00      0,00     93,17
17:23:10        all      4,79      0,00      2,52      0,25      0,00      0,00      0,50      0,00      0,00     91,94
17:23:11        all      6,55      0,00      4,28      0,13      0,00      0,00      0,38      0,00      0,00     88,66
17:23:12        all      4,19      0,00      1,52      0,00      0,00      0,00      0,00      0,00      0,00     94,29
17:23:13        all      4,53      0,00      2,14      0,25      0,00      0,00      0,25      0,00      0,00     92,83
17:23:14        all      5,05      0,00      2,90      0,00      0,00      0,00      0,38      0,00      0,00     91,67
17:23:15        all      4,79      0,00      2,02      0,00      0,00      0,00      0,63      0,00      0,00     92,56
17:23:16        all      5,42      0,00      3,40      0,25      0,00      0,00      0,38      0,00      0,00     90,55
17:23:17        all      4,67      0,00      1,64      0,13      0,00      0,00      0,25      0,00      0,00     93,31
17:23:18        all      8,46      0,00      1,89      0,13      0,00      0,00      0,25      0,00      0,00     89,27
17:23:19        all      4,94      0,00      2,66      0,00      0,00      0,00      0,25      0,00      0,00     92,15
17:23:20        all      4,81      0,00      1,90      0,13      0,00      0,00      0,13      0,00      0,00     93,04
17:23:21        all      5,65      0,00      2,63      0,13      0,00      0,00      0,50      0,00      0,00     91,09
17:23:22        all      6,31      0,00      4,29      0,00      0,00      0,00      0,25      0,00      0,00     89,14
17:23:23        all      5,42      0,00      2,40      0,13      0,00      0,00      0,25      0,00      0,00     91,80
17:23:24        all      4,03      0,00      1,26      0,38      0,00      0,00      0,25      0,00      0,00     94,09
17:23:25        all      4,31      0,00      1,90      0,13      0,00      0,00      0,13      0,00      0,00     93,53
17:23:26        all      4,40      0,00      1,63      0,00      0,00      0,00      0,38      0,00      0,00     93,59
17:23:27        all      6,67      0,00      4,65      0,38      0,00      0,00      0,38      0,00      0,00     87,92
17:23:28        all      4,04      0,00      1,89      0,00      0,00      0,00      0,38      0,00      0,00     93,69
17:23:29        all      9,95      0,00      2,90      0,00      0,00      0,00      0,25      0,00      0,00     86,90
17:23:30        all      4,04      0,00      2,02      0,00      0,00      0,00      0,25      0,00      0,00     93,69
17:23:31        all      4,16      0,00      1,76      0,13      0,00      0,00      0,50      0,00      0,00     93,45
17:23:32        all      7,11      0,00      4,31      0,00      0,00      0,00      0,00      0,00      0,00     88,58
17:23:33        all      5,40      0,00      2,39      0,25      0,00      0,00      0,38      0,00      0,00     91,58
17:23:34        all      3,79      0,00      2,28      0,25      0,00      0,00      0,51      0,00      0,00     93,17
17:23:35        all      4,78      0,00      2,14      0,00      0,00      0,00      0,25      0,00      0,00     92,83
17:23:36        all      4,28      0,00      2,02      0,00      0,00      0,00      0,25      0,00      0,00     93,45
17:23:37        all      6,05      0,00      3,15      0,13      0,00      0,00      0,25      0,00      0,00     90,42
17:23:38        all      4,03      0,00      2,52      0,13      0,00      0,00      0,25      0,00      0,00     93,08
17:23:39        all      4,30      0,00      1,77      0,13      0,00      0,00      0,13      0,00      0,00     93,68
17:23:40        all     10,68      0,00      1,76      0,13      0,00      0,00      0,38      0,00      0,00     87,06
17:23:41        all      4,30      0,00      1,77      0,00      0,00      0,00      0,38      0,00      0,00     93,54
17:23:42        all      4,04      0,00      2,02      0,13      0,00      0,00      0,13      0,00      0,00     93,69
17:23:43        all      6,33      0,00      3,67      0,38      0,00      0,00      0,51      0,00      0,00     89,11
17:23:44        all      4,91      0,00      2,64      0,13      0,00      0,00      0,13      0,00      0,00     92,20
17:23:45        all      4,54      0,00      2,02      0,00      0,00      0,00      0,25      0,00      0,00     93,19
17:23:46        all      4,18      0,00      1,65      0,13      0,00      0,00      0,13      0,00      0,00     93,92
17:23:47        all      4,13      0,00      2,00      0,13      0,00      0,00      0,63      0,00      0,00     93,12
17:23:48        all      6,68      0,00      3,66      0,25      0,00      0,00      0,38      0,00      0,00     89,03
17:23:49        all      4,92      0,00      2,40      0,13      0,00      0,00      0,25      0,00      0,00     92,31
17:23:50        all      4,68      0,00      1,77      0,00      0,00      0,00      0,13      0,00      0,00     93,42
17:23:51        all      9,58      0,00      2,02      0,00      0,00      0,00      0,38      0,00      0,00     88,02
17:23:52        all      4,67      0,00      2,02      0,13      0,00      0,00      0,25      0,00      0,00     92,94
17:23:53        all      6,42      0,00      4,03      0,25      0,00      0,00      0,38      0,00      0,00     88,92
