procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  1   4132 2219212 402964 20441880    0    0    59   222 1656    1  2  1 97  0  0  0
 1  0   4132 2153592 402964 20442064    0    0     0   180 5677 3638  8  7 85  0  0  0
 3  0   4132 2164088 402964 20442084    0    0     0   100 3909 3380  6  3 91  0  0  0
 0  0   4132 2172240 402964 20442128    0    0     0   112 3545 2347  5  3 92  0  0  0
 0  0   4132 2171788 402964 20442148    0    0     0   104 3286 2163  5  3 93  0  0  0
 1  0   4132 2172032 402964 20442180    0    0     0   592 3232 2220  5  3 92  0  0  0
 0  0   4132 2177196 402964 20442216    0    0     0   212 4403 3130 10  4 86  0  0  0
 0  0   4132 2183052 402964 20442240    0    0     0  1124 3557 2423  5  2 93  0  0  0
 0  0   4132 2185260 402964 20442272    0    0     0   116 3631 2646  5  2 93  0  0  0
 0  0   4132 2187320 402964 20442296    0    0     0    72 2989 1983  4  2 93  0  0  0
 0  0   4132 2190552 402964 20442312    0    0     0   380 3499 2544  5  3 92  0  0  0
 0  0   4132 2188060 402964 20442348    0    0     0   248 3264 2116  5  2 93  0  0  0
 3  0   4132 2187772 402964 20442380    0    0     0   820 5087 3508  7  5 88  0  0  0
 3  0   4132 2185352 402964 20442396    0    0     0   108 6831 7725  8  4 89  0  0  0
 0  0   4132 2184860 402964 20442456    0    0     0   112 2770 1703  4  2 94  0  0  0
 0  0   4132 2191080 402964 20442476    0    0     0   392 2887 1781  4  2 93  0  0  0
 2  0   4132 2193308 402964 20442508    0    0     0   112 3037 1746  5  3 93  0  0  0
 5  0   4132 2192980 402964 20442540    0    0     0   892 4342 2543 10  4 86  0  0  0
 1  0   4132 2192112 402964 20442584    0    0     0   116 3272 2036  6  3 91  0  0  0
 0  0   4132 2198032 402964 20442604    0    0     0    72 2695 1655  4  2 94  0  0  0
 0  0   4132 2195768 402964 20442628    0    0     0   228 3041 1877  5  2 93  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0   4132 2206312 402964 20442676    0    0     0   100 4117 3376  5  3 92  0  0  0
 0  0   4132 2205568 402964 20442692    0    0     0   448 4561 3039  6  5 89  0  0  0
 0  0   4132 2205900 402964 20442744    0    0     0    88 3065 2061  4  2 94  0  0  0
 0  0   4132 2201872 402964 20442760    0    0     0   108 3056 2200  5  2 93  0  0  0
 0  0   4132 2202972 402964 20442784    0    0     0   332 4665 4353  5  3 92  0  0  0
 0  0   4132 2204132 402964 20442804    0    0     0   112 3534 2671  5  3 92  0  0  0
 0  0   4132 2205716 402964 20442828    0    0     0   940 4200 3060  5  4 91  0  0  0
 1  0   4132 2205548 402964 20442848    0    0     0   116 3317 2345  5  2 93  0  0  0
 0  0   4132 2203312 402964 20442884    0    0     0    72 3508 2438  8  2 89  0  0  0
 0  0   4132 2206892 402964 20442896    0    0     0   356 3737 2591  5  3 92  0  0  0
 0  0   4132 2212588 402964 20442916    0    0     0    92 3252 2366  5  2 93  0  0  0
 0  0   4132 2208332 402964 20442932    0    0     0   868 3988 2893  6  3 91  0  0  0
 0  0   4132 2202056 402964 20442976    0    0     0   164 4415 3045  6  4 89  0  0  0
 0  0   4132 2208384 402964 20442992    0    0     0   104 3614 2500  5  3 92  0  0  0
 0  0   4132 2206872 402964 20443040    0    0     0   440 3004 2199  4  2 94  0  0  0
 0  0   4132 2208680 402964 20443060    0    0     0   108 3378 2389  4  2 93  0  0  0
 2  0   4132 2206664 402964 20443104    0    0     0   120 3000 2265  5  2 93  0  0  0
 1  0   4132 2203092 402964 20443256    0    0     0  1144 5046 3709  6  5 89  0  0  0
 1  0   4132 2200852 402964 20443284    0    0     0    84 3011 1999  4  2 94  0  0  0
 0  0   4132 2210652 402964 20443308    0    0     0   284 4747 2759 10  3 87  0  0  0
 3  0   4132 2216844 402964 20443368    0    0     0    72 3175 2178  4  2 94  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0   4132 2212744 402964 20443380    0    0     0   120 3090 2230  4  2 93  0  0  0
 0  0   4132 2189136 402964 20443432    0    0     0   140 7004 8413  7  4 88  0  0  0
 0  0   4132 2192424 402964 20443468    0    0     0   152 3700 2615  5  3 91  0  0  0
 0  0   4132 2197272 402964 20443492    0    0     0   240 3123 2164  4  2 94  0  0  0
 0  0   4132 2195032 402964 20443516    0    0     0   292 3318 2268  4  3 93  0  0  0
 0  0   4132 2197944 402964 20443532    0    0     0    72 3031 2012  4  2 94  0  0  0
 0  0   4132 2194024 402964 20443540    0    0     0   976 4425 3178  6  4 90  0  0  0
 0  0   4132 2197560 402964 20443592    0    0     0    72 3045 2027  4  2 94  0  0  0
 0  0   4132 2196832 402964 20443600    0    0     0   256 3480 2516  4  2 94  0  0  0
 1  0   4132 2192044 402964 20443644    0    0     0    80 4693 4016 10  2 87  0  0  0
 0  0   4132 2190280 402964 20443660    0    0     0   104 3290 2431  4  2 93  0  0  0
 1  0   4132 2195048 402964 20443700    0    0     0  1596 3085 2165  4  2 94  0  0  0
 1  0   4132 2190808 402964 20443720    0    0     0   168 4700 3415  7  4 89  0  0  0
 1  0   4132 2195516 402964 20443756    0    0     0   112 4443 4026  5  3 93  0  0  0
 2  0   4132 2194424 402964 20443764    0    0     0   252 3462 2621  4  3 93  0  0  0
 1  0   4132 2194424 402964 20443804    0    0     0    80 3075 2097  4  2 94  0  0  0
 2  0   4132 2193668 402964 20443816    0    0     0   116 3230 2250  4  2 93  0  0  0
 1  0   4132 2195284 402964 20443868    0    0     0  1060 4628 3041  7  4 89  0  0  0
 2  0   4132 2190500 402964 20443888    0    0     0   124 3618 2570  5  3 92  0  0  0
 1  0   4132 2207812 402964 20443916    0    0     0   252 3223 2314  4  2 94  0  0  0
 2  0   4132 2203308 402964 20443928    0    0     0   112 3701 2292 10  3 87  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0   4132 2201040 402964 20443964    0    0     0   340 3119 2059  4  2 93  0  0  0
 1  0   4132 2206324 402964 20443980    0    0     0   448 4623 3423  7  5 89  0  0  0
 1  0   4132 2203856 402964 20444016    0    0     0   116 3080 2158  5  3 93  0  0  0
 1  0   4132 2207672 402964 20444040    0    0     0   416 3320 2185  5  3 92  0  0  0
 1  0   4132 2206692 402964 20444060    0    0     0    72 3345 2555  5  2 93  0  0  0
 2  0   4132 2208016 402964 20444088    0    0     0   116 3353 2327  5  3 93  0  0  0
 1  0   4132 2202840 402964 20444112    0    0     0   968 4070 2897  5  4 91  0  0  0
 3  0   4132 2202084 402964 20444152    0    0     0   160 3271 2467  4  3 93  0  0  0
 1  0   4132 2202084 402964 20444180    0    0     0   252 3176 2225  5  2 93  0  0  0
