run_id,scenario,target,iface,rank,process,avg_cpu_pct,cumulative_cpu_pct,samples,source_file
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,tun0,1,node-red,31.009,31.009,3601,raw/pidstat_all.log
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,tun0,2,wazuh-syscheckd,14.850,45.859,104,raw/pidstat_all.log
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,tun0,3,pg_isready,3.667,49.526,3,raw/pidstat_all.log
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,tun0,4,pidstat,3.006,52.532,3601,raw/pidstat_all.log
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,tun0,5,sh,3.000,55.532,1,raw/pidstat_all.log
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,tun0,6,wget,2.800,58.332,5,raw/pidstat_all.log
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,tun0,7,grafana,2.663,60.995,3601,raw/pidstat_all.log
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,tun0,8,wazuh-agentd,2.493,63.487,1129,raw/pidstat_all.log
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,tun0,9,kcompactd0,2.114,65.601,114,raw/pidstat_all.log
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,tun0,10,wazuh-modulesd,2.011,67.612,98,raw/pidstat_all.log
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,tun0,11,kworker/u19:3-flush-252:1,2.000,69.612,1,raw/pidstat_all.log
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,tun0,12,kworker/u21:3-events_freezable_power_,2.000,71.612,1,raw/pidstat_all.log
