run_id,scenario,target,iface,service,sample,timestamp,value_ms,ok,source_file,notes
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,tun0,ICMP,1,1782365899.156793,3.70,1,raw/ping_PRIVATE_IP_022.log,muestra ICMP echo reply
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,tun0,ICMP,2,1782365899.357821,3.53,1,raw/ping_PRIVATE_IP_022.log,muestra ICMP echo reply
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,tun0,ICMP,3,1782365899.558803,3.51,1,raw/ping_PRIVATE_IP_022.log,muestra ICMP echo reply
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,tun0,ICMP,4,1782365899.759751,3.44,1,raw/ping_PRIVATE_IP_022.log,muestra ICMP echo reply
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,tun0,ICMP,5,1782365899.960757,3.53,1,raw/ping_PRIVATE_IP_022.log,muestra ICMP echo reply
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,tun0,ICMP,6,1782365900.162628,3.82,1,raw/ping_PRIVATE_IP_022.log,muestra ICMP echo reply
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,tun0,ICMP,7,1782365900.363623,3.54,1,raw/ping_PRIVATE_IP_022.log,muestra ICMP echo reply
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,tun0,ICMP,8,1782365900.564832,3.78,1,raw/ping_PRIVATE_IP_022.log,muestra ICMP echo reply
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,tun0,ICMP,9,1782365900.765746,3.46,1,raw/ping_PRIVATE_IP_022.log,muestra ICMP echo reply
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,tun0,ICMP,10,1782365900.966701,3.50,1,raw/ping_PRIVATE_IP_022.log,muestra ICMP echo reply
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,tun0,ICMP,11,1782365901.167862,3.76,1,raw/ping_PRIVATE_IP_022.log,muestra ICMP echo reply
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,tun0,ICMP,12,1782365901.368647,3.36,1,raw/ping_PRIVATE_IP_022.log,muestra ICMP echo reply
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,tun0,ICMP,13,1782365901.569576,3.53,1,raw/ping_PRIVATE_IP_022.log,muestra ICMP echo reply
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,tun0,ICMP,14,1782365901.770715,3.71,1,raw/ping_PRIVATE_IP_022.log,muestra ICMP echo reply
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,tun0,ICMP,15,1782365901.971758,3.63,1,raw/ping_PRIVATE_IP_022.log,muestra ICMP echo reply
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,tun0,ICMP,16,1782365902.172920,3.75,1,raw/ping_PRIVATE_IP_022.log,muestra ICMP echo reply
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,tun0,ICMP,17,1782365902.374722,4.04,1,raw/ping_PRIVATE_IP_022.log,muestra ICMP echo reply
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,tun0,ICMP,18,1782365902.574844,3.70,1,raw/ping_PRIVATE_IP_022.log,muestra ICMP echo reply
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,tun0,ICMP,19,1782365902.775727,3.46,1,raw/ping_PRIVATE_IP_022.log,muestra ICMP echo reply
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,tun0,ICMP,20,1782365902.976843,3.68,1,raw/ping_PRIVATE_IP_022.log,muestra ICMP echo reply
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,tun0,ICMP,21,1782365903.177790,3.47,1,raw/ping_PRIVATE_IP_022.log,muestra ICMP echo reply
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,tun0,ICMP,22,1782365903.378811,3.54,1,raw/ping_PRIVATE_IP_022.log,muestra ICMP echo reply
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,tun0,ICMP,23,1782365903.580618,4.44,1,raw/ping_PRIVATE_IP_022.log,muestra ICMP echo reply
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,tun0,ICMP,24,1782365903.780996,3.99,1,raw/ping_PRIVATE_IP_022.log,muestra ICMP echo reply
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,tun0,ICMP,25,1782365903.980710,3.29,1,raw/ping_PRIVATE_IP_022.log,muestra ICMP echo reply
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,tun0,ICMP,26,1782365904.181924,3.88,1,raw/ping_PRIVATE_IP_022.log,muestra ICMP echo reply
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,tun0,ICMP,27,1782365904.383834,4.21,1,raw/ping_PRIVATE_IP_022.log,muestra ICMP echo reply
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,tun0,ICMP,28,1782365904.583559,3.37,1,raw/ping_PRIVATE_IP_022.log,muestra ICMP echo reply
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,tun0,ICMP,29,1782365904.784460,3.19,1,raw/ping_PRIVATE_IP_022.log,muestra ICMP echo reply
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,tun0,ICMP,30,1782365904.985634,3.62,1,raw/ping_PRIVATE_IP_022.log,muestra ICMP echo reply
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,tun0,ICMP,31,1782365905.186835,3.91,1,raw/ping_PRIVATE_IP_022.log,muestra ICMP echo reply
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,tun0,ICMP,32,1782365905.386673,3.49,1,raw/ping_PRIVATE_IP_022.log,muestra ICMP echo reply
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,tun0,ICMP,33,1782365905.587887,3.63,1,raw/ping_PRIVATE_IP_022.log,muestra ICMP echo reply
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,tun0,ICMP,34,1782365905.788693,3.44,1,raw/ping_PRIVATE_IP_022.log,muestra ICMP echo reply
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,tun0,ICMP,35,1782365905.989695,3.54,1,raw/ping_PRIVATE_IP_022.log,muestra ICMP echo reply
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,tun0,ICMP,36,1782365906.190501,3.40,1,raw/ping_PRIVATE_IP_022.log,muestra ICMP echo reply
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,tun0,ICMP,37,1782365906.391683,3.77,1,raw/ping_PRIVATE_IP_022.log,muestra ICMP echo reply
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,tun0,ICMP,38,1782365906.592486,3.42,1,raw/ping_PRIVATE_IP_022.log,muestra ICMP echo reply
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,tun0,ICMP,39,1782365906.793467,3.69,1,raw/ping_PRIVATE_IP_022.log,muestra ICMP echo reply
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,tun0,ICMP,40,1782365906.994477,3.68,1,raw/ping_PRIVATE_IP_022.log,muestra ICMP echo reply
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,tun0,ICMP,41,1782365907.195589,3.78,1,raw/ping_PRIVATE_IP_022.log,muestra ICMP echo reply
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,tun0,ICMP,42,1782365907.397055,4.02,1,raw/ping_PRIVATE_IP_022.log,muestra ICMP echo reply
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,tun0,ICMP,43,1782365907.596682,3.18,1,raw/ping_PRIVATE_IP_022.log,muestra ICMP echo reply
