run_id,scenario,target,iface,section,item,metric,value,unit,status,interpretation,recommendation
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,tun0,Conectividad,Perdida ICMP,icmp_packet_loss,0.111111,%,WARNING,Perdida ICMP observada: 0.111111 %.,"Revisar estabilidad del enlace, ruta remota o carga durante la medicion."
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,tun0,Latencia,RTT ICMP promedio,icmp_rtt_avg,5.633,ms,OK,RTT ICMP promedio: 5.633 ms.,Usar como referencia directa para comparar baseline vs VPN.
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,tun0,Latencia,TCP connect promedio,tcp_connect_avg,8.202592,ms,OK,TCP connect promedio: 8.202592 ms.,Usar como referencia directa para comparar baseline vs VPN.
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,tun0,Latencia,TCP connect p95,tcp_connect_p95,5.317009,ms,OK,TCP connect p95: 5.317009 ms.,Usar como referencia directa para comparar baseline vs VPN.
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,tun0,Latencia,TCP connect p99,tcp_connect_p99,7.857457,ms,OK,TCP connect p99: 7.857457 ms.,Usar como referencia directa para comparar baseline vs VPN.
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,tun0,Servicio TCP,Tasa de exito TCP connect,tcp_connect_success_rate,100.000000,%,OK,Tasa de exito de establecimiento TCP: 100.000000 %.,El puerto TCP fue alcanzable durante todas las muestras.
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,tun0,MTU,PMTU aproximada,pmtu_ipv4_approx,1468,bytes,OK,PMTU IPv4 aproximada: 1468 bytes.,PMTU cercana a Ethernet estandar.
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,tun0,Captura,Entropia de payload,payload_entropy,1.924485,bits_per_byte,INFO,Entropia estimada: 1.924485 bits_per_byte.,"Entropia baja, compatible con trafico estructurado o texto claro."
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,tun0,Recursos,CPU ocupada,cpu_avg_busy_pct,7.870,%,OK,CPU ocupada promedio: 7.870 %.,No se aprecia saturacion general de CPU.
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,tun0,Recursos,Proceso con mayor CPU,top_process_cpu,31.009,%,INFO,El proceso con mayor consumo agregado fue node-red con 31.009 %CPU promedio.,Comparar el mismo top de procesos entre baseline y VPN.
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,tun0,Trafico,Conteo por servicio,packet_service_counts,,packets,INFO,Se genero conteo de paquetes por servicio usando metodo: pcap_tshark.,"Si existe pcap, el conteo es real; si no, se estima desde logs de las pruebas."
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,tun0,Interfaz,Delta TX/RX,interface_delta,TX 0 / RX 0,packets,INFO,Durante la corrida se observo delta de 0 paquetes TX y 0 paquetes RX en tun0.,Usar para verificar si la prueba genero trafico real en la interfaz seleccionada.
