sample,epoch,target,port,ok,tcp_connect_ms,error
1,1782369525.5998936,PRIVATE_IP_022,502,1,5.030806,
2,1782369525.8049843,PRIVATE_IP_022,502,1,4.929031,
3,1782369526.0103483,PRIVATE_IP_022,502,1,5.166569,
4,1782369526.2155004,PRIVATE_IP_022,502,1,4.905299,
5,1782369526.4200776,PRIVATE_IP_022,502,1,4.416330,
6,1782369526.625345,PRIVATE_IP_022,502,1,5.077159,
7,1782369526.828976,PRIVATE_IP_022,502,1,3.368360,
8,1782369527.0329983,PRIVATE_IP_022,502,1,3.814102,
9,1782369527.238245,PRIVATE_IP_022,502,1,5.026018,
10,1782369527.4430876,PRIVATE_IP_022,502,1,4.647707,
11,1782369527.6469736,PRIVATE_IP_022,502,1,3.762016,
12,1782369527.8509355,PRIVATE_IP_022,502,1,3.773149,
13,1782369528.0554993,PRIVATE_IP_022,502,1,4.426254,
14,1782369528.2602885,PRIVATE_IP_022,502,1,4.672481,
15,1782369528.4652557,PRIVATE_IP_022,502,1,4.812911,
16,1782369528.6691432,PRIVATE_IP_022,502,1,3.693561,
17,1782369528.8732157,PRIVATE_IP_022,502,1,3.901244,
18,1782369529.078323,PRIVATE_IP_022,502,1,4.877811,
19,1782369529.2830946,PRIVATE_IP_022,502,1,4.568694,
20,1782369529.4881063,PRIVATE_IP_022,502,1,4.738745,
21,1782369529.6920269,PRIVATE_IP_022,502,1,3.682260,
22,1782369529.8968627,PRIVATE_IP_022,502,1,4.628194,
23,1782369530.1029994,PRIVATE_IP_022,502,1,5.878054,
24,1782369530.308222,PRIVATE_IP_022,502,1,5.079583,
25,1782369530.5130544,PRIVATE_IP_022,502,1,4.570551,
26,1782369530.7166457,PRIVATE_IP_022,502,1,3.462244,
27,1782369530.9210627,PRIVATE_IP_022,502,1,4.122224,
28,1782369531.1250527,PRIVATE_IP_022,502,1,3.847171,
29,1782369531.330449,PRIVATE_IP_022,502,1,5.131744,
30,1782369531.535189,PRIVATE_IP_022,502,1,4.549726,
31,1782369531.7400405,PRIVATE_IP_022,502,1,4.506433,
32,1782369531.9440126,PRIVATE_IP_022,502,1,3.789688,
33,1782369532.1495357,PRIVATE_IP_022,502,1,5.303988,
34,1782369532.3540683,PRIVATE_IP_022,502,1,4.273498,
35,1782369532.5590768,PRIVATE_IP_022,502,1,4.782305,
36,1782369532.76277,PRIVATE_IP_022,502,1,3.531307,
37,1782369532.9669669,PRIVATE_IP_022,502,1,4.085903,
38,1782369533.1710052,PRIVATE_IP_022,502,1,3.837601,
39,1782369533.374963,PRIVATE_IP_022,502,1,3.779459,
40,1782369533.5802236,PRIVATE_IP_022,502,1,5.055257,
41,1782369533.7847862,PRIVATE_IP_022,502,1,4.423145,
42,1782369533.9890616,PRIVATE_IP_022,502,1,4.104035,
43,1782369534.1942475,PRIVATE_IP_022,502,1,5.003754,
44,1782369534.3982866,PRIVATE_IP_022,502,1,3.750259,
45,1782369534.6030445,PRIVATE_IP_022,502,1,4.564488,
46,1782369534.8071501,PRIVATE_IP_022,502,1,3.825845,
47,1782369535.0121531,PRIVATE_IP_022,502,1,4.709340,
48,1782369535.2171323,PRIVATE_IP_022,502,1,4.659315,
49,1782369535.4222078,PRIVATE_IP_022,502,1,4.831691,
50,1782369535.6271713,PRIVATE_IP_022,502,1,4.703109,
51,1782369535.8320503,PRIVATE_IP_022,502,1,4.676623,
52,1782369536.0372643,PRIVATE_IP_022,502,1,4.934627,
53,1782369536.2422361,PRIVATE_IP_022,502,1,4.760728,
54,1782369536.4482462,PRIVATE_IP_022,502,1,5.736344,
55,1782369536.6531682,PRIVATE_IP_022,502,1,4.705203,
56,1782369536.8583674,PRIVATE_IP_022,502,1,5.017879,
57,1782369537.062873,PRIVATE_IP_022,502,1,4.322499,
58,1782369537.2673078,PRIVATE_IP_022,502,1,4.254082,
59,1782369537.472045,PRIVATE_IP_022,502,1,4.514100,
60,1782369537.67708,PRIVATE_IP_022,502,1,4.834481,
61,1782369537.8829193,PRIVATE_IP_022,502,1,5.620430,
62,1782369538.088191,PRIVATE_IP_022,502,1,5.097738,
63,1782369538.2929146,PRIVATE_IP_022,502,1,4.530384,
64,1782369538.499605,PRIVATE_IP_022,502,1,6.556136,
65,1782369538.7040167,PRIVATE_IP_022,502,1,4.272336,
66,1782369538.9080007,PRIVATE_IP_022,502,1,3.756069,
67,1782369539.1132977,PRIVATE_IP_022,502,1,5.101149,
68,1782369539.318025,PRIVATE_IP_022,502,1,4.551674,
69,1782369539.5232592,PRIVATE_IP_022,502,1,5.046821,
70,1782369539.7279146,PRIVATE_IP_022,502,1,4.441512,
71,1782369539.931843,PRIVATE_IP_022,502,1,3.729037,
72,1782369540.1361141,PRIVATE_IP_022,502,1,4.085467,
73,1782369540.3413696,PRIVATE_IP_022,502,1,4.996675,
74,1782369540.5461743,PRIVATE_IP_022,502,1,4.423581,
75,1782369540.7501476,PRIVATE_IP_022,502,1,3.804021,
76,1782369540.9553509,PRIVATE_IP_022,502,1,5.023752,
77,1782369541.160477,PRIVATE_IP_022,502,1,4.753043,
78,1782369541.3655272,PRIVATE_IP_022,502,1,4.789859,
79,1782369541.5712087,PRIVATE_IP_022,502,1,5.496256,
80,1782369541.7749996,PRIVATE_IP_022,502,1,3.640044,
81,1782369541.9793036,PRIVATE_IP_022,502,1,4.115228,
82,1782369542.1842804,PRIVATE_IP_022,502,1,4.657515,
83,1782369542.3895018,PRIVATE_IP_022,502,1,5.009890,
84,1782369542.594336,PRIVATE_IP_022,502,1,4.580045,
85,1782369542.8000185,PRIVATE_IP_022,502,1,4.556543,
86,1782369543.0039499,PRIVATE_IP_022,502,1,3.776264,
87,1782369543.2081058,PRIVATE_IP_022,502,1,3.998024,
88,1782369543.4128537,PRIVATE_IP_022,502,1,4.588413,
89,1782369543.6182282,PRIVATE_IP_022,502,1,5.088537,
90,1782369543.8228588,PRIVATE_IP_022,502,1,4.478134,
91,1782369544.0271554,PRIVATE_IP_022,502,1,3.978094,
92,1782369544.232033,PRIVATE_IP_022,502,1,4.573904,
93,1782369544.438223,PRIVATE_IP_022,502,1,5.939760,
94,1782369544.6431978,PRIVATE_IP_022,502,1,4.759443,
95,1782369544.8482127,PRIVATE_IP_022,502,1,4.762721,
96,1782369545.053151,PRIVATE_IP_022,502,1,4.686607,
97,1782369545.2578933,PRIVATE_IP_022,502,1,4.590356,
98,1782369545.4628978,PRIVATE_IP_022,502,1,4.674153,
99,1782369545.6672738,PRIVATE_IP_022,502,1,4.177474,
100,1782369545.8723214,PRIVATE_IP_022,502,1,4.760915,
101,1782369546.0771725,PRIVATE_IP_022,502,1,4.566336,
102,1782369546.2820365,PRIVATE_IP_022,502,1,4.680236,
103,1782369546.4863386,PRIVATE_IP_022,502,1,4.132096,
104,1782369546.68977,PRIVATE_IP_022,502,1,3.306639,
105,1782369546.8942583,PRIVATE_IP_022,502,1,4.145105,
106,1782369547.0992668,PRIVATE_IP_022,502,1,4.747358,
107,1782369547.3040643,PRIVATE_IP_022,502,1,4.515861,
108,1782369547.5092146,PRIVATE_IP_022,502,1,4.982693,
109,1782369547.714322,PRIVATE_IP_022,502,1,4.942080,
110,1782369547.9191718,PRIVATE_IP_022,502,1,4.619503,
111,1782369548.1243174,PRIVATE_IP_022,502,1,4.807290,
112,1782369548.3290575,PRIVATE_IP_022,502,1,4.452746,
113,1782369548.5341523,PRIVATE_IP_022,502,1,4.929179,
114,1782369548.7390525,PRIVATE_IP_022,502,1,4.753872,
115,1782369548.943934,PRIVATE_IP_022,502,1,4.708093,
116,1782369549.150206,PRIVATE_IP_022,502,1,6.021685,
117,1782369549.3551624,PRIVATE_IP_022,502,1,4.802655,
118,1782369549.56025,PRIVATE_IP_022,502,1,4.783398,
119,1782369549.7647326,PRIVATE_IP_022,502,1,4.154144,
120,1782369549.9686635,PRIVATE_IP_022,502,1,3.757826,
121,1782369550.1731474,PRIVATE_IP_022,502,1,4.221564,
122,1782369550.3780441,PRIVATE_IP_022,502,1,4.744133,
123,1782369550.583258,PRIVATE_IP_022,502,1,5.053819,
124,1782369550.7878184,PRIVATE_IP_022,502,1,4.261109,
125,1782369550.994141,PRIVATE_IP_022,502,1,6.101572,
126,1782369551.1991487,PRIVATE_IP_022,502,1,4.694569,
127,1782369551.4043026,PRIVATE_IP_022,502,1,4.966629,
128,1782369551.6089737,PRIVATE_IP_022,502,1,4.447131,
129,1782369551.8127272,PRIVATE_IP_022,502,1,3.601761,
130,1782369552.017966,PRIVATE_IP_022,502,1,5.066326,
131,1782369552.221941,PRIVATE_IP_022,502,1,3.845158,
132,1782369552.4270718,PRIVATE_IP_022,502,1,4.951744,
133,1782369552.6322253,PRIVATE_IP_022,502,1,4.954586,
134,1782369552.982688,PRIVATE_IP_022,502,1,150.210400,
135,1782369553.2150676,PRIVATE_IP_022,502,1,32.241649,
136,1782369553.4267366,PRIVATE_IP_022,502,1,11.457609,
137,1782369553.632013,PRIVATE_IP_022,502,1,5.084854,
138,1782369553.8368077,PRIVATE_IP_022,502,1,4.266101,
