Linux 6.8.0-55-generic (ubuntu) 	25/06/26 	_x86_64_	(8 CPU)

00:36:09        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
00:36:10        all      7,94      0,00      5,55      0,00      0,00      0,00      0,38      0,00      0,00     86,13
00:36:11        all      4,68      0,00      2,15      0,00      0,00      0,00      0,25      0,00      0,00     92,91
00:36:12        all      5,82      0,00      3,67      0,00      0,00      0,00      0,38      0,00      0,00     90,13
00:36:13        all      4,30      0,00      2,03      0,00      0,00      0,00      0,25      0,00      0,00     93,42
00:36:14        all      6,13      0,00      3,38      0,50      0,00      0,00      0,38      0,00      0,00     89,61
00:36:15        all      4,17      0,00      1,90      0,00      0,00      0,00      0,38      0,00      0,00     93,55
00:36:16        all      5,29      0,00      2,77      0,13      0,00      0,00      0,25      0,00      0,00     91,56
00:36:17        all      5,46      0,00      2,28      0,00      0,00      0,00      0,38      0,00      0,00     91,88
00:36:18        all      9,10      0,00      2,28      0,13      0,00      0,00      0,13      0,00      0,00     88,37
00:36:19        all      6,05      0,00      3,40      0,13      0,00      0,00      0,50      0,00      0,00     89,92
00:36:20        all      5,44      0,00      2,53      0,00      0,00      0,00      0,38      0,00      0,00     91,65
00:36:21        all      4,55      0,00      2,02      0,00      0,00      0,00      0,25      0,00      0,00     93,18
00:36:22        all      5,16      0,00      2,14      0,25      0,00      0,00      0,13      0,00      0,00     92,33
00:36:23        all      4,56      0,00      1,65      0,00      0,00      0,00      0,25      0,00      0,00     93,54
00:36:24        all      4,89      0,00      2,38      0,00      0,00      0,00      0,50      0,00      0,00     92,22
00:36:25        all      5,95      0,00      4,18      0,13      0,00      0,00      0,13      0,00      0,00     89,62
00:36:26        all      4,69      0,00      2,53      0,00      0,00      0,00      0,25      0,00      0,00     92,52
00:36:27        all      4,53      0,00      1,51      0,13      0,00      0,00      0,38      0,00      0,00     93,45
00:36:28        all      5,42      0,00      2,65      0,25      0,00      0,00      0,38      0,00      0,00     91,30
00:36:29        all      4,56      0,00      1,77      0,00      0,00      0,00      0,51      0,00      0,00     93,16
00:36:30        all      6,83      0,00      3,54      0,13      0,00      0,00      0,38      0,00      0,00     89,13
00:36:31        all     11,80      0,00      3,68      0,00      0,00      0,00      0,13      0,00      0,00     84,39
00:36:32        all      4,89      0,00      2,26      0,25      0,00      0,00      0,38      0,00      0,00     92,23
00:36:33        all      4,55      0,00      1,52      0,00      0,00      0,00      0,38      0,00      0,00     93,55
00:36:34        all      4,92      0,00      2,02      0,25      0,00      0,00      0,13      0,00      0,00     92,68
00:36:35        all      6,29      0,00      3,90      0,13      0,00      0,00      0,25      0,00      0,00     89,43
