procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0   4132 1550412 420460 20995136    0    0    53   228 1828    2  2  1 97  0  0  0
 1  0   4132 1496744 420460 20995276    0    0     0   120 5590 3334  8  6 86  0  0  0
 1  0   4132 1497412 420460 20995304    0    0     0    80 3313 2369  5  3 93  0  0  0
 0  0   4132 1496744 420464 20995364    0    0     0   108 5301 4466  6  4 90  0  0  0
 1  0   4132 1503116 420464 20995388    0    0     0    88 3254 2224  4  2 93  0  0  0
 0  0   4132 1502072 420464 20995424    0    0     0   628 4465 3393  6  4 90  0  0  0
 0  0   4132 1506604 420464 20995448    0    0     0   292 3358 2447  4  2 93  0  0  0
 0  0   4132 1519324 420464 20995484    0    0     0   116 3479 2310  5  3 92  0  0  0
 2  0   4132 1518596 420464 20995496    0    0     0    72 4572 4274  6  3 92  0  0  0
 0  0   4132 1520376 420464 20995536    0    0     0   128 3636 2465  9  3 88  0  0  0
 0  0   4132 1524408 420464 20995684    0    0     0   396 4192 2955  6  4 90  0  0  0
 0  0   4132 1522140 420464 20995704    0    0     0   112 3789 2569  6  3 92  0  0  0
 1  0   4132 1522860 420464 20995732    0    0     0    92 3236 2313  5  2 93  0  0  0
 0  0   4132 1518856 420464 20995756    0    0     0   112 3426 2504  5  2 93  0  0  0
 0  0   4132 1522116 420464 20995788    0    0     0    76 3130 2201  5  2 93  0  0  0
 2  0   4132 1519848 420464 20995800    0    0     0   340 3625 2462  5  3 92  0  0  0
 1  0   4132 1516612 420464 20995848    0    0     0   396 4582 3344  6  4 90  0  0  0
 1  0   4132 1524172 420464 20995872    0    0     0   112 3399 2515  5  3 92  0  0  0
 1  0   4132 1528288 420464 20995908    0    0     0    84 3308 2547  4  2 93  0  0  0
 1  0   4132 1523652 420464 20995924    0    0     0   124 4970 4428  5  3 92  0  0  0
 1  0   4132 1523280 420464 20995944    0    0     0  1972 3467 2386  5  2 93  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0   4132 1526628 420464 20995988    0    0     0   176 4537 3093  8  4 88  0  0  0
 2  0   4132 1522396 420464 20996088    0    0     0   264 6361 6947 10  4 86  0  0  0
 1  0   4132 1526684 420464 20996104    0    0     0   116 3273 2427  5  2 93  0  0  0
 0  0   4132 1524668 420464 20996140    0    0     0    80 3036 2079  5  2 93  0  0  0
 0  0   4132 1523592 420464 20996140    0    0     0   340 3353 2379  5  2 93  0  0  0
 1  0   4132 1520568 420464 20996188    0    0     0   140 4121 3151  6  4 89  0  0  0
 0  0   4132 1520568 420464 20996232    0    0     0   516 3190 2170  5  3 92  0  0  0
 1  0   4132 1525328 420464 20996248    0    0     0    84 3340 2550  5  2 93  0  0  0
 1  0   4132 1523312 420464 20996288    0    0     0   108 3174 2602  4  2 94  0  0  0
 1  0   4132 1520068 420464 20996300    0    0     0   344 3504 2525  4  3 92  0  0  0
 1  0   4132 1519864 420464 20996348    0    0     0   180 5008 3632  6  4 89  0  0  0
 1  0   4132 1519388 420464 20996364    0    0     0    72 3259 2278  5  2 93  0  0  0
 2  0   4132 1517624 420464 20996376    0    0     0   288 3959 3399  5  3 93  0  0  0
 0  0   4132 1513100 420464 20996412    0    0     0    72 3632 3038  5  3 93  0  0  0
 0  0   4132 1512412 420464 20996452    0    0     0  1416 3940 2460  9  3 88  0  0  0
 2  0   4132 1518712 420464 20996464    0    0     0   156 3406 2315  5  3 92  0  0  0
 1  0   4132 1513216 420464 20996504    0    0     0   104 4608 3449  7  4 89  0  0  0
 1  0   4132 1516748 420464 20996516    0    0     0   256 4444 4253  5  3 92  0  0  0
 1  0   4132 1514852 420464 20996548    0    0     0   112 3392 2439  4  2 93  0  0  0
 0  0   4132 1514764 420464 20996576    0    0     0   220 3332 2230  5  2 93  0  0  0
 0  0   4132 1515016 420464 20996584    0    0     0   112 3187 1974  5  2 93  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0   4132 1518948 420464 20996624    0    0     0   136 4124 2712  6  4 90  0  0  0
 1  0   4132 1516960 420464 20996640    0    0     0   120 3437 2217  5  2 92  0  0  0
 0  0   4132 1526032 420464 20996664    0    0     0    72 2974 1826  4  2 93  0  0  0
 1  0   4132 1524488 420464 20996692    0    0     0   128 2814 1787  4  2 93  0  0  0
 1  0   4132 1525248 420464 20996724    0    0     0   232 2972 1864  4  2 94  0  0  0
 1  0   4132 1522740 420464 20996756    0    0     0   176 3682 2696  6  3 91  0  0  0
 1  0   4132 1522264 420464 20996772    0    0     0   288 3556 2086  9  2 89  0  0  0
 2  0   4132 1520500 420476 20996816    0    0     0   392 3625 2982  5  2 93  0  0  0
 1  0   4132 1527180 420476 20996820    0    0     0   116 3339 2413  5  2 93  0  0  0
