frame_index,time_epoch,src_ip,dst_ip,src_port,dst_port,direction,transaction_id,protocol_id,length,unit_id,function_code,function_base,function_name,is_exception,exception_code,reference_num,quantity,byte_count,value_hex,adu_bytes,tcp_payload_bytes,register_signature
1,1781802236.8619118,PRIVATE_IP_001,PRIVATE_IP_022,50432,502,query,144,0,6,1,3,3,Read Holding Registers,False,,94.0,75.0,,,12,12,fc3:unit1:reg94:qty75:serverPRIVATE_IP_022
2,1781802236.8655589,PRIVATE_IP_001,PRIVATE_IP_022,35586,502,query,247,0,6,1,3,3,Read Holding Registers,False,,0.0,86.0,,,12,12,fc3:unit1:reg0:qty86:serverPRIVATE_IP_022
3,1781802236.8712208,PRIVATE_IP_022,PRIVATE_IP_001,502,50432,response,144,0,153,1,3,3,Read Holding Registers,False,,,,150.0,REDACTED_PAYLOAD,159,159,
5,1781802236.8728383,PRIVATE_IP_022,PRIVATE_IP_001,502,35586,response,247,0,175,1,3,3,Read Holding Registers,False,,,,172.0,REDACTED_PAYLOAD,181,181,
7,1781802236.875837,PRIVATE_IP_001,PRIVATE_IP_022,35586,502,query,248,0,6,1,3,3,Read Holding Registers,False,,94.0,86.0,,,12,12,fc3:unit1:reg94:qty86:serverPRIVATE_IP_022
8,1781802236.8842473,PRIVATE_IP_022,PRIVATE_IP_001,502,35586,response,248,0,175,1,3,3,Read Holding Registers,False,,,,172.0,REDACTED_PAYLOAD,181,181,
17,1781802237.8461845,PRIVATE_IP_001,PRIVATE_IP_022,50432,502,query,145,0,6,1,3,3,Read Holding Registers,False,,0.0,75.0,,,12,12,fc3:unit1:reg0:qty75:serverPRIVATE_IP_022
18,1781802237.8539507,PRIVATE_IP_022,PRIVATE_IP_001,502,50432,response,145,0,153,1,3,3,Read Holding Registers,False,,,,150.0,REDACTED_PAYLOAD,159,159,
20,1781802237.8592308,PRIVATE_IP_001,PRIVATE_IP_022,50432,502,query,146,0,6,1,3,3,Read Holding Registers,False,,3.0,1.0,,,12,12,fc3:unit1:reg3:qty1:serverPRIVATE_IP_022
21,1781802237.8641925,PRIVATE_IP_001,PRIVATE_IP_022,35586,502,query,249,0,6,1,3,3,Read Holding Registers,False,,0.0,86.0,,,12,12,fc3:unit1:reg0:qty86:serverPRIVATE_IP_022
22,1781802237.8665924,PRIVATE_IP_022,PRIVATE_IP_001,502,50432,response,146,0,5,1,3,3,Read Holding Registers,False,,,,2.0,REDACTED_PAYLOAD,11,11,
23,1781802237.8681834,PRIVATE_IP_001,PRIVATE_IP_022,50432,502,query,147,0,6,1,3,3,Read Holding Registers,False,,97.0,1.0,,,12,12,fc3:unit1:reg97:qty1:serverPRIVATE_IP_022
24,1781802237.8732061,PRIVATE_IP_022,PRIVATE_IP_001,502,35586,response,249,0,175,1,3,3,Read Holding Registers,False,,,,172.0,REDACTED_PAYLOAD,181,181,
26,1781802237.8758414,PRIVATE_IP_022,PRIVATE_IP_001,502,50432,response,147,0,5,1,3,3,Read Holding Registers,False,,,,2.0,REDACTED_PAYLOAD,11,11,
27,1781802237.8762286,PRIVATE_IP_001,PRIVATE_IP_022,35586,502,query,250,0,6,1,3,3,Read Holding Registers,False,,94.0,86.0,,,12,12,fc3:unit1:reg94:qty86:serverPRIVATE_IP_022
28,1781802237.8851779,PRIVATE_IP_022,PRIVATE_IP_001,502,35586,response,250,0,175,1,3,3,Read Holding Registers,False,,,,172.0,REDACTED_PAYLOAD,181,181,
38,1781802238.8660567,PRIVATE_IP_001,PRIVATE_IP_022,50432,502,query,148,0,6,1,3,3,Read Holding Registers,False,,94.0,75.0,,,12,12,fc3:unit1:reg94:qty75:serverPRIVATE_IP_022
39,1781802238.8688707,PRIVATE_IP_001,PRIVATE_IP_022,35586,502,query,251,0,6,1,3,3,Read Holding Registers,False,,0.0,86.0,,,12,12,fc3:unit1:reg0:qty86:serverPRIVATE_IP_022
40,1781802238.8751998,PRIVATE_IP_022,PRIVATE_IP_001,502,35586,response,251,0,175,1,3,3,Read Holding Registers,False,,,,172.0,REDACTED_PAYLOAD,181,181,
42,1781802238.8769925,PRIVATE_IP_022,PRIVATE_IP_001,502,50432,response,148,0,153,1,3,3,Read Holding Registers,False,,,,150.0,REDACTED_PAYLOAD,159,159,
44,1781802238.877555,PRIVATE_IP_001,PRIVATE_IP_022,35586,502,query,252,0,6,1,3,3,Read Holding Registers,False,,94.0,86.0,,,12,12,fc3:unit1:reg94:qty86:serverPRIVATE_IP_022
45,1781802238.8831027,PRIVATE_IP_022,PRIVATE_IP_001,502,35586,response,252,0,175,1,3,3,Read Holding Registers,False,,,,172.0,REDACTED_PAYLOAD,181,181,
54,1781802239.8476794,PRIVATE_IP_001,PRIVATE_IP_022,50432,502,query,149,0,6,1,3,3,Read Holding Registers,False,,0.0,75.0,,,12,12,fc3:unit1:reg0:qty75:serverPRIVATE_IP_022
55,1781802239.8533502,PRIVATE_IP_022,PRIVATE_IP_001,502,50432,response,149,0,153,1,3,3,Read Holding Registers,False,,,,150.0,REDACTED_PAYLOAD,159,159,
57,1781802239.859336,PRIVATE_IP_001,PRIVATE_IP_022,50432,502,query,150,0,6,1,3,3,Read Holding Registers,False,,3.0,1.0,,,12,12,fc3:unit1:reg3:qty1:serverPRIVATE_IP_022
