frame_index,time_epoch,src_ip,dst_ip,src_port,dst_port,direction,payload_bytes,syn,fin,rst,ack,probable_retransmission
1,1781802236.8619118,PRIVATE_IP_001,PRIVATE_IP_021,50432,502,query,12,0,0,0,1,0
2,1781802236.8655589,PRIVATE_IP_001,PRIVATE_IP_021,35586,502,query,12,0,0,0,1,0
3,1781802236.8712208,PRIVATE_IP_021,PRIVATE_IP_001,502,50432,response,159,0,0,0,1,0
4,1781802236.8713074,PRIVATE_IP_001,PRIVATE_IP_021,50432,502,query,0,0,0,0,1,0
5,1781802236.8728383,PRIVATE_IP_021,PRIVATE_IP_001,502,35586,response,181,0,0,0,1,0
6,1781802236.872887,PRIVATE_IP_001,PRIVATE_IP_021,35586,502,query,0,0,0,0,1,0
7,1781802236.875837,PRIVATE_IP_001,PRIVATE_IP_021,35586,502,query,12,0,0,0,1,0
8,1781802236.8842473,PRIVATE_IP_021,PRIVATE_IP_001,502,35586,response,181,0,0,0,1,0
9,1781802236.9251075,PRIVATE_IP_001,PRIVATE_IP_021,35586,502,query,0,0,0,0,1,0
10,1781802237.4256952,PRIVATE_IP_001,PRIVATE_IP_021,35898,502,query,0,1,0,0,0,0
11,1781802237.4296625,PRIVATE_IP_021,PRIVATE_IP_001,502,35898,response,0,1,0,0,1,0
12,1781802237.429737,PRIVATE_IP_001,PRIVATE_IP_021,35898,502,query,0,0,0,0,1,0
13,1781802237.4297595,PRIVATE_IP_001,PRIVATE_IP_021,35898,502,query,0,0,1,0,1,0
14,1781802237.4337115,PRIVATE_IP_021,PRIVATE_IP_001,502,35898,response,0,0,0,0,1,0
15,1781802237.4371266,PRIVATE_IP_021,PRIVATE_IP_001,502,35898,response,0,0,1,0,1,0
16,1781802237.4371722,PRIVATE_IP_001,PRIVATE_IP_021,35898,502,query,0,0,0,0,1,0
17,1781802237.8461845,PRIVATE_IP_001,PRIVATE_IP_021,50432,502,query,12,0,0,0,1,0
18,1781802237.8539507,PRIVATE_IP_021,PRIVATE_IP_001,502,50432,response,159,0,0,0,1,0
19,1781802237.8539884,PRIVATE_IP_001,PRIVATE_IP_021,50432,502,query,0,0,0,0,1,0
20,1781802237.8592308,PRIVATE_IP_001,PRIVATE_IP_021,50432,502,query,12,0,0,0,1,0
21,1781802237.8641925,PRIVATE_IP_001,PRIVATE_IP_021,35586,502,query,12,0,0,0,1,0
22,1781802237.8665924,PRIVATE_IP_021,PRIVATE_IP_001,502,50432,response,11,0,0,0,1,0
23,1781802237.8681834,PRIVATE_IP_001,PRIVATE_IP_021,50432,502,query,12,0,0,0,1,0
24,1781802237.8732061,PRIVATE_IP_021,PRIVATE_IP_001,502,35586,response,181,0,0,0,1,0
25,1781802237.8732803,PRIVATE_IP_001,PRIVATE_IP_021,35586,502,query,0,0,0,0,1,0
26,1781802237.8758414,PRIVATE_IP_021,PRIVATE_IP_001,502,50432,response,11,0,0,0,1,0
27,1781802237.8762286,PRIVATE_IP_001,PRIVATE_IP_021,35586,502,query,12,0,0,0,1,0
28,1781802237.8851779,PRIVATE_IP_021,PRIVATE_IP_001,502,35586,response,181,0,0,0,1,0
29,1781802237.9161441,PRIVATE_IP_001,PRIVATE_IP_021,50432,502,query,0,0,0,0,1,0
30,1781802237.9260988,PRIVATE_IP_001,PRIVATE_IP_021,35586,502,query,0,0,0,0,1,0
31,1781802238.429377,PRIVATE_IP_001,PRIVATE_IP_021,47080,502,query,0,1,0,0,0,0
32,1781802238.4330812,PRIVATE_IP_021,PRIVATE_IP_001,502,47080,response,0,1,0,0,1,0
33,1781802238.4331322,PRIVATE_IP_001,PRIVATE_IP_021,47080,502,query,0,0,0,0,1,0
34,1781802238.4356472,PRIVATE_IP_001,PRIVATE_IP_021,47080,502,query,0,0,1,0,1,0
35,1781802238.4388137,PRIVATE_IP_021,PRIVATE_IP_001,502,47080,response,0,0,0,0,1,0
36,1781802238.4406075,PRIVATE_IP_021,PRIVATE_IP_001,502,47080,response,0,0,1,0,1,0
37,1781802238.4406457,PRIVATE_IP_001,PRIVATE_IP_021,47080,502,query,0,0,0,0,1,0
38,1781802238.8660567,PRIVATE_IP_001,PRIVATE_IP_021,50432,502,query,12,0,0,0,1,0
39,1781802238.8688707,PRIVATE_IP_001,PRIVATE_IP_021,35586,502,query,12,0,0,0,1,0
40,1781802238.8751998,PRIVATE_IP_021,PRIVATE_IP_001,502,35586,response,181,0,0,0,1,0
41,1781802238.8753011,PRIVATE_IP_001,PRIVATE_IP_021,35586,502,query,0,0,0,0,1,0
42,1781802238.8769925,PRIVATE_IP_021,PRIVATE_IP_001,502,50432,response,159,0,0,0,1,0
43,1781802238.8771145,PRIVATE_IP_001,PRIVATE_IP_021,50432,502,query,0,0,0,0,1,0
44,1781802238.877555,PRIVATE_IP_001,PRIVATE_IP_021,35586,502,query,12,0,0,0,1,0
45,1781802238.8831027,PRIVATE_IP_021,PRIVATE_IP_001,502,35586,response,181,0,0,0,1,0
46,1781802238.9243155,PRIVATE_IP_001,PRIVATE_IP_021,35586,502,query,0,0,0,0,1,0
47,1781802239.4259844,PRIVATE_IP_001,PRIVATE_IP_021,47086,502,query,0,1,0,0,0,0
48,1781802239.4291131,PRIVATE_IP_021,PRIVATE_IP_001,502,47086,response,0,1,0,0,1,0
49,1781802239.4291742,PRIVATE_IP_001,PRIVATE_IP_021,47086,502,query,0,0,0,0,1,0
50,1781802239.4291878,PRIVATE_IP_001,PRIVATE_IP_021,47086,502,query,0,0,1,0,1,0
51,1781802239.4327064,PRIVATE_IP_021,PRIVATE_IP_001,502,47086,response,0,0,0,0,1,0
52,1781802239.436986,PRIVATE_IP_021,PRIVATE_IP_001,502,47086,response,0,0,1,0,1,0
53,1781802239.4370623,PRIVATE_IP_001,PRIVATE_IP_021,47086,502,query,0,0,0,0,1,0
54,1781802239.8476794,PRIVATE_IP_001,PRIVATE_IP_021,50432,502,query,12,0,0,0,1,0
55,1781802239.8533502,PRIVATE_IP_021,PRIVATE_IP_001,502,50432,response,159,0,0,0,1,0
56,1781802239.8534424,PRIVATE_IP_001,PRIVATE_IP_021,50432,502,query,0,0,0,0,1,0
57,1781802239.859336,PRIVATE_IP_001,PRIVATE_IP_021,50432,502,query,12,0,0,0,1,0
58,1781802239.8659115,PRIVATE_IP_021,PRIVATE_IP_001,502,50432,response,11,0,0,0,1,0
59,1781802239.8689947,PRIVATE_IP_001,PRIVATE_IP_021,35586,502,query,12,0,0,0,1,0
60,1781802239.8691227,PRIVATE_IP_001,PRIVATE_IP_021,50432,502,query,12,0,0,0,1,0
61,1781802239.8773954,PRIVATE_IP_021,PRIVATE_IP_001,502,35586,response,181,0,0,0,1,0
62,1781802239.877513,PRIVATE_IP_001,PRIVATE_IP_021,35586,502,query,0,0,0,0,1,0
63,1781802239.8787355,PRIVATE_IP_021,PRIVATE_IP_001,502,50432,response,11,0,0,0,1,0
64,1781802239.8811982,PRIVATE_IP_001,PRIVATE_IP_021,35586,502,query,12,0,0,0,1,0
65,1781802239.8901339,PRIVATE_IP_021,PRIVATE_IP_001,502,35586,response,181,0,0,0,1,0
66,1781802239.919219,PRIVATE_IP_001,PRIVATE_IP_021,50432,502,query,0,0,0,0,1,0
67,1781802239.931073,PRIVATE_IP_001,PRIVATE_IP_021,35586,502,query,0,0,0,0,1,0
68,1781802240.425536,PRIVATE_IP_001,PRIVATE_IP_021,47096,502,query,0,1,0,0,0,0
69,1781802240.429265,PRIVATE_IP_021,PRIVATE_IP_001,502,47096,response,0,1,0,0,1,0
70,1781802240.4293125,PRIVATE_IP_001,PRIVATE_IP_021,47096,502,query,0,0,0,0,1,0
71,1781802240.4294994,PRIVATE_IP_001,PRIVATE_IP_021,47096,502,query,0,0,1,0,1,0
72,1781802240.432741,PRIVATE_IP_021,PRIVATE_IP_001,502,47096,response,0,0,0,0,1,0
73,1781802240.4369404,PRIVATE_IP_021,PRIVATE_IP_001,502,47096,response,0,0,1,0,1,0
74,1781802240.436974,PRIVATE_IP_001,PRIVATE_IP_021,47096,502,query,0,0,0,0,1,0
75,1781802240.8627694,PRIVATE_IP_001,PRIVATE_IP_021,50432,502,query,12,0,0,0,1,0
76,1781802240.8674772,PRIVATE_IP_001,PRIVATE_IP_021,35586,502,query,12,0,0,0,1,0
77,1781802240.8692212,PRIVATE_IP_021,PRIVATE_IP_001,502,50432,response,159,0,0,0,1,0
78,1781802240.869328,PRIVATE_IP_001,PRIVATE_IP_021,50432,502,query,0,0,0,0,1,0
79,1781802240.874349,PRIVATE_IP_021,PRIVATE_IP_001,502,35586,response,181,0,0,0,1,0
80,1781802240.8744574,PRIVATE_IP_001,PRIVATE_IP_021,35586,502,query,0,0,0,0,1,0
81,1781802240.8791103,PRIVATE_IP_001,PRIVATE_IP_021,35586,502,query,12,0,0,0,1,0
82,1781802240.888124,PRIVATE_IP_021,PRIVATE_IP_001,502,35586,response,181,0,0,0,1,0
83,1781802240.9291792,PRIVATE_IP_001,PRIVATE_IP_021,35586,502,query,0,0,0,0,1,0
84,1781802241.4264731,PRIVATE_IP_001,PRIVATE_IP_021,47106,502,query,0,1,0,0,0,0
85,1781802241.4301999,PRIVATE_IP_021,PRIVATE_IP_001,502,47106,response,0,1,0,0,1,0
86,1781802241.430278,PRIVATE_IP_001,PRIVATE_IP_021,47106,502,query,0,0,1,0,1,0
87,1781802241.4302824,PRIVATE_IP_001,PRIVATE_IP_021,47106,502,query,0,0,0,0,1,0
88,1781802241.6421204,PRIVATE_IP_001,PRIVATE_IP_021,47106,502,query,0,0,1,0,1,0
89,1781802241.6481266,PRIVATE_IP_021,PRIVATE_IP_001,502,47106,response,0,0,0,0,1,0
90,1781802241.6500592,PRIVATE_IP_021,PRIVATE_IP_001,502,47106,response,0,0,1,0,1,0
91,1781802241.650139,PRIVATE_IP_001,PRIVATE_IP_021,47106,502,query,0,0,0,0,1,0
92,1781802241.8488338,PRIVATE_IP_001,PRIVATE_IP_021,50432,502,query,12,0,0,0,1,0
93,1781802241.8551562,PRIVATE_IP_021,PRIVATE_IP_001,502,50432,response,159,0,0,0,1,0
94,1781802241.8552182,PRIVATE_IP_001,PRIVATE_IP_021,50432,502,query,0,0,0,0,1,0
95,1781802241.8594706,PRIVATE_IP_001,PRIVATE_IP_021,50432,502,query,12,0,0,0,1,0
96,1781802241.865453,PRIVATE_IP_021,PRIVATE_IP_001,502,50432,response,11,0,0,0,1,0
97,1781802241.868131,PRIVATE_IP_001,PRIVATE_IP_021,50432,502,query,12,0,0,0,1,0
98,1781802241.8692932,PRIVATE_IP_001,PRIVATE_IP_021,35586,502,query,12,0,0,0,1,0
99,1781802241.8738346,PRIVATE_IP_021,PRIVATE_IP_001,502,50432,response,11,0,0,0,1,0
100,1781802241.8780584,PRIVATE_IP_021,PRIVATE_IP_001,502,35586,response,181,0,0,0,1,0
101,1781802241.8780982,PRIVATE_IP_001,PRIVATE_IP_021,35586,502,query,0,0,0,0,1,0
102,1781802241.880314,PRIVATE_IP_001,PRIVATE_IP_021,35586,502,query,12,0,0,0,1,0
103,1781802241.8891122,PRIVATE_IP_021,PRIVATE_IP_001,502,35586,response,181,0,0,0,1,0
104,1781802241.9140704,PRIVATE_IP_001,PRIVATE_IP_021,50432,502,query,0,0,0,0,1,0
105,1781802241.9300888,PRIVATE_IP_001,PRIVATE_IP_021,35586,502,query,0,0,0,0,1,0
106,1781802242.422107,PRIVATE_IP_001,PRIVATE_IP_021,47116,502,query,0,1,0,0,0,0
107,1781802242.4261925,PRIVATE_IP_021,PRIVATE_IP_001,502,47116,response,0,1,0,0,1,0
