bucket,time_start_s,function_base,function_name,direction,adu_count,adu_bytes
0,0,3,Read Holding Registers,query,21,252
0,0,3,Read Holding Registers,response,20,2808
1,5,3,Read Holding Registers,query,19,228
1,5,3,Read Holding Registers,response,20,2512
2,10,3,Read Holding Registers,query,20,240
2,10,3,Read Holding Registers,response,19,2649
3,15,3,Read Holding Registers,query,20,240
3,15,3,Read Holding Registers,response,21,2671
4,20,3,Read Holding Registers,query,20,240
4,20,3,Read Holding Registers,response,19,2649
5,25,3,Read Holding Registers,query,20,240
5,25,3,Read Holding Registers,response,21,2671
6,30,3,Read Holding Registers,query,19,228
6,30,3,Read Holding Registers,response,19,2649
7,35,3,Read Holding Registers,query,21,252
7,35,3,Read Holding Registers,response,21,2671
8,40,3,Read Holding Registers,query,19,228
8,40,3,Read Holding Registers,response,19,2649
9,45,3,Read Holding Registers,query,21,252
9,45,3,Read Holding Registers,response,21,2671
10,50,3,Read Holding Registers,query,19,228
10,50,3,Read Holding Registers,response,19,2649
11,55,3,Read Holding Registers,query,21,252
11,55,3,Read Holding Registers,response,21,2671
12,60,3,Read Holding Registers,query,19,228
12,60,3,Read Holding Registers,response,19,2649
13,65,3,Read Holding Registers,query,21,252
13,65,3,Read Holding Registers,response,21,2671
14,70,3,Read Holding Registers,query,19,228
14,70,3,Read Holding Registers,response,19,2649
15,75,3,Read Holding Registers,query,21,252
15,75,3,Read Holding Registers,response,21,2671
16,80,3,Read Holding Registers,query,19,228
16,80,3,Read Holding Registers,response,19,2649
17,85,3,Read Holding Registers,query,21,252
17,85,3,Read Holding Registers,response,21,2671
18,90,3,Read Holding Registers,query,19,228
18,90,3,Read Holding Registers,response,19,2649
19,95,3,Read Holding Registers,query,21,252
19,95,3,Read Holding Registers,response,21,2671
20,100,3,Read Holding Registers,query,19,228
20,100,3,Read Holding Registers,response,19,2649
21,105,3,Read Holding Registers,query,21,252
21,105,3,Read Holding Registers,response,21,2671
22,110,3,Read Holding Registers,query,19,228
22,110,3,Read Holding Registers,response,19,2649
23,115,3,Read Holding Registers,query,21,252
23,115,3,Read Holding Registers,response,21,2671
24,120,3,Read Holding Registers,query,19,228
24,120,3,Read Holding Registers,response,19,2649
25,125,3,Read Holding Registers,query,21,252
25,125,3,Read Holding Registers,response,21,2671
26,130,3,Read Holding Registers,query,19,228
26,130,3,Read Holding Registers,response,19,2649
27,135,3,Read Holding Registers,query,21,252
27,135,3,Read Holding Registers,response,21,2671
28,140,3,Read Holding Registers,query,19,228
28,140,3,Read Holding Registers,response,19,2649
29,145,3,Read Holding Registers,query,21,252
29,145,3,Read Holding Registers,response,21,2671
30,150,3,Read Holding Registers,query,19,228
30,150,3,Read Holding Registers,response,19,2649
31,155,3,Read Holding Registers,query,21,252
31,155,3,Read Holding Registers,response,21,2671
32,160,3,Read Holding Registers,query,19,228
32,160,3,Read Holding Registers,response,19,2649
33,165,3,Read Holding Registers,query,21,252
33,165,3,Read Holding Registers,response,21,2671
34,170,3,Read Holding Registers,query,19,228
34,170,3,Read Holding Registers,response,19,2649
35,175,3,Read Holding Registers,query,21,252
35,175,3,Read Holding Registers,response,21,2671
36,180,3,Read Holding Registers,query,19,228
36,180,3,Read Holding Registers,response,19,2649
37,185,3,Read Holding Registers,query,21,252
37,185,3,Read Holding Registers,response,21,2671
38,190,3,Read Holding Registers,query,19,228
38,190,3,Read Holding Registers,response,19,2649
39,195,3,Read Holding Registers,query,21,252
39,195,3,Read Holding Registers,response,21,2671
40,200,3,Read Holding Registers,query,19,228
40,200,3,Read Holding Registers,response,19,2649
41,205,3,Read Holding Registers,query,21,252
41,205,3,Read Holding Registers,response,21,2671
42,210,3,Read Holding Registers,query,19,228
42,210,3,Read Holding Registers,response,19,2649
43,215,3,Read Holding Registers,query,21,252
43,215,3,Read Holding Registers,response,21,2671
44,220,3,Read Holding Registers,query,19,228
44,220,3,Read Holding Registers,response,19,2649
45,225,3,Read Holding Registers,query,21,252
45,225,3,Read Holding Registers,response,21,2671
46,230,3,Read Holding Registers,query,19,228
46,230,3,Read Holding Registers,response,19,2649
47,235,3,Read Holding Registers,query,21,252
47,235,3,Read Holding Registers,response,21,2671
48,240,3,Read Holding Registers,query,19,228
48,240,3,Read Holding Registers,response,19,2649
49,245,3,Read Holding Registers,query,21,252
49,245,3,Read Holding Registers,response,21,2671
50,250,3,Read Holding Registers,query,19,228
50,250,3,Read Holding Registers,response,19,2649
51,255,3,Read Holding Registers,query,21,252
51,255,3,Read Holding Registers,response,21,2671
52,260,3,Read Holding Registers,query,19,228
52,260,3,Read Holding Registers,response,19,2649
53,265,3,Read Holding Registers,query,21,252
53,265,3,Read Holding Registers,response,21,2671
54,270,3,Read Holding Registers,query,19,228
54,270,3,Read Holding Registers,response,19,2649
55,275,3,Read Holding Registers,query,21,252
55,275,3,Read Holding Registers,response,21,2671
56,280,3,Read Holding Registers,query,19,228
56,280,3,Read Holding Registers,response,19,2649
57,285,3,Read Holding Registers,query,21,252
57,285,3,Read Holding Registers,response,21,2671
58,290,3,Read Holding Registers,query,19,228
58,290,3,Read Holding Registers,response,19,2649
59,295,3,Read Holding Registers,query,21,252
59,295,3,Read Holding Registers,response,21,2671
