sample,elapsed_s,mem_total_mib,swpd_mib,free_mib,buff_mib,cache_mib,available_proxy_mib,used_including_cache_mib,used_including_cache_pct,used_without_buffer_cache_mib,used_without_buffer_cache_pct,swap_in_kib_s,swap_out_kib_s,context_switches_s,cpu_user_pct,cpu_system_pct,cpu_idle_pct,cpu_iowait_pct
1,0,24032.0,4.03515625,1364.1796875,397.34375,20575.3125,22336.8359375,22667.8203125,94.32348665321238,1695.1640625,7.053778555675766,0.0,0.0,4517.0,7.0,6.0,87.0,0.0
2,1,24032.0,4.03515625,1365.09765625,397.34375,20575.34375,22337.78515625,22666.90234375,94.31966687645638,1694.21484375,7.049828743966378,0.0,0.0,3072.0,6.0,4.0,91.0,0.0
3,2,24032.0,4.03515625,1369.296875,397.34375,20575.375,22342.015625,22662.703125,94.30219342959387,1689.984375,7.032225262150465,0.0,0.0,2917.0,9.0,3.0,87.0,0.0
4,3,24032.0,4.03515625,1368.34375,397.34375,20575.40625,22341.09375,22663.65625,94.30615949567243,1690.90625,7.036061293275632,0.0,0.0,2156.0,4.0,3.0,93.0,0.0
5,4,24032.0,4.03515625,1366.375,397.34765625,20575.4375,22339.16015625,22665.625,94.31435169773636,1692.83984375,7.044107206016978,0.0,0.0,2239.0,4.0,2.0,93.0,0.0
6,5,24032.0,4.03515625,1368.3984375,397.34765625,20575.45703125,22341.203125,22663.6015625,94.30593193450399,1690.796875,7.035606170938748,0.0,0.0,2116.0,4.0,2.0,94.0,0.0
7,6,24032.0,4.03515625,1368.125,397.34765625,20575.4921875,22340.96484375,22663.875,94.30706974034621,1691.03515625,7.036597687458388,0.0,0.0,2876.0,6.0,4.0,91.0,0.0
8,7,24032.0,4.03515625,1375.78125,397.34765625,20575.5078125,22348.63671875,22656.21875,94.27521117676432,1683.36328125,7.0046741063998,0.0,0.0,2630.0,5.0,3.0,93.0,0.0
9,8,24032.0,4.03515625,1375.29296875,397.34765625,20575.53125,22348.171875,22656.70703125,94.27724297291113,1683.828125,7.006608376331558,0.0,0.0,2143.0,4.0,2.0,93.0,0.0
10,9,24032.0,4.03515625,1375.0703125,397.34765625,20575.56640625,22347.984375,22656.9296875,94.27816947195407,1684.015625,7.007388586051931,0.0,0.0,2245.0,4.0,2.0,93.0,0.0
11,10,24032.0,4.03515625,1374.33203125,397.34765625,20575.58984375,22347.26953125,22657.66796875,94.28124154772803,1684.73046875,7.010363135610851,0.0,0.0,2212.0,5.0,2.0,93.0,0.0
12,11,24032.0,4.03515625,1372.43359375,397.34765625,20575.6171875,22345.3984375,22659.56640625,94.28914117114681,1686.6015625,7.018148978445406,0.0,0.0,4223.0,5.0,3.0,91.0,0.0
13,12,24032.0,4.03515625,1362.1953125,397.34765625,20575.67578125,22335.21875,22669.8046875,94.331743872753,1696.78125,7.060507864513982,0.0,0.0,4995.0,7.0,5.0,89.0,0.0
14,13,24032.0,4.03515625,1375.30859375,397.34765625,20575.6875,22348.34375,22656.69140625,94.27717795543442,1683.65625,7.005893184087883,0.0,0.0,3913.0,9.0,3.0,88.0,0.0
15,14,24032.0,4.03515625,1374.6015625,397.34765625,20575.71875,22347.66796875,22657.3984375,94.280119996255,1684.33203125,7.00870518995506,0.0,0.0,2157.0,4.0,2.0,93.0,0.0
16,15,24032.0,4.03515625,1374.6015625,397.34765625,20575.73828125,22347.6875,22657.3984375,94.280119996255,1684.3125,7.008623918109187,0.0,0.0,2204.0,4.0,2.0,93.0,0.0
17,16,24032.0,4.03515625,1372.87890625,397.34765625,20575.75,22345.9765625,22659.12109375,94.28728817306093,1686.0234375,7.015743331807591,0.0,0.0,2134.0,5.0,2.0,93.0,0.0
18,17,24032.0,4.03515625,1376.90234375,397.34765625,20575.79296875,22350.04296875,22655.09765625,94.27054617281125,1681.95703125,6.998822533497004,0.0,0.0,3312.0,6.0,4.0,90.0,0.0
19,18,24032.0,4.03515625,1374.19921875,397.34765625,20575.8125,22347.359375,22657.80078125,94.28179419627996,1684.640625,7.00998928511984,0.0,0.0,2137.0,5.0,2.0,93.0,0.0
20,19,24032.0,4.03515625,1372.4765625,397.34765625,20575.8359375,22345.66015625,22659.5234375,94.28896237308588,1686.33984375,7.017059935710719,0.0,0.0,2343.0,4.0,2.0,93.0,0.0
21,20,24032.0,4.03515625,1370.51171875,397.34765625,20575.859375,22343.71875,22661.48828125,94.29713832078063,1688.28125,7.0251383571904125,0.0,0.0,2158.0,4.0,2.0,94.0,0.0
22,21,24032.0,4.03515625,1365.86328125,397.34765625,20575.8671875,22339.078125,22666.13671875,94.3164810200982,1692.921875,7.044448547769641,0.0,0.0,4035.0,5.0,3.0,92.0,0.0
23,22,24032.0,4.03515625,1365.22265625,397.34765625,20575.92578125,22338.49609375,22666.77734375,94.31914673664281,1693.50390625,7.04687044877663,0.0,0.0,3228.0,6.0,3.0,91.0,0.0
24,23,24032.0,4.03515625,1367.59765625,397.34765625,20575.9453125,22340.890625,22664.40234375,94.30926408018475,1691.109375,7.036906520472703,0.0,0.0,4530.0,6.0,3.0,91.0,0.0
25,24,24032.0,4.03515625,1361.640625,397.34765625,20575.96875,22334.95703125,22670.359375,94.33405199317576,1697.04296875,7.061596907248669,0.0,0.0,2780.0,8.0,3.0,89.0,0.0
26,25,24032.0,4.03515625,1359.72265625,397.34765625,20575.98828125,22333.05859375,22672.27734375,94.34203288844041,1698.94140625,7.069496530667443,0.0,0.0,2365.0,4.0,2.0,93.0,0.0
27,26,24032.0,4.03515625,1359.578125,397.34765625,20576.0234375,22332.94921875,22672.421875,94.34263430009987,1699.05078125,7.069951653004328,0.0,0.0,2557.0,5.0,2.0,93.0,0.0
28,27,24032.0,4.03515625,1385.2109375,397.34765625,20576.05078125,22358.609375,22646.7890625,94.23597312957723,1673.390625,6.96317670189747,0.0,0.0,3057.0,6.0,4.0,90.0,0.0
