Linux 6.8.0-55-generic (ubuntu) 	18/06/26 	_x86_64_	(8 CPU)

12:11:02     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:11:03     all    7,31    0,00    5,67    0,00    0,00    0,38    0,00    0,00    0,00   86,63
12:11:03       0    7,07    0,00    7,07    0,00    0,00    1,01    0,00    0,00    0,00   84,85
12:11:03       1    9,00    0,00    5,00    0,00    0,00    1,00    0,00    0,00    0,00   85,00
12:11:03       2    4,12    0,00    5,15    0,00    0,00    0,00    0,00    0,00    0,00   90,72
12:11:03       3    4,04    0,00    6,06    0,00    0,00    0,00    0,00    0,00    0,00   89,90
12:11:03       4   13,13    0,00    6,06    0,00    0,00    1,01    0,00    0,00    0,00   79,80
12:11:03       5    8,00    0,00    5,00    0,00    0,00    0,00    0,00    0,00    0,00   87,00
12:11:03       6    3,00    0,00    6,00    0,00    0,00    0,00    0,00    0,00    0,00   91,00
12:11:03       7   10,10    0,00    5,05    0,00    0,00    0,00    0,00    0,00    0,00   84,85

12:11:03     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:11:04     all    5,56    0,00    3,28    0,25    0,00    0,38    0,00    0,00    0,00   90,53
12:11:04       0    3,03    0,00    2,02    0,00    0,00    1,01    0,00    0,00    0,00   93,94
12:11:04       1   12,24    0,00    5,10    0,00    0,00    0,00    0,00    0,00    0,00   82,65
12:11:04       2    3,03    0,00    3,03    0,00    0,00    0,00    0,00    0,00    0,00   93,94
12:11:04       3    2,02    0,00    3,03    1,01    0,00    1,01    0,00    0,00    0,00   92,93
12:11:04       4    4,08    0,00    5,10    0,00    0,00    0,00    0,00    0,00    0,00   90,82
12:11:04       5   15,15    0,00    5,05    0,00    0,00    0,00    0,00    0,00    0,00   79,80
12:11:04       6    2,02    0,00    1,01    0,00    0,00    1,01    0,00    0,00    0,00   95,96
12:11:04       7    2,97    0,00    1,98    0,99    0,00    0,00    0,00    0,00    0,00   94,06

12:11:04     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:11:05     all    9,30    0,00    2,76    0,00    0,00    0,25    0,00    0,00    0,00   87,69
12:11:05       0   13,00    0,00    3,00    0,00    0,00    1,00    0,00    0,00    0,00   83,00
12:11:05       1    2,00    0,00    4,00    0,00    0,00    1,00    0,00    0,00    0,00   93,00
12:11:05       2   10,20    0,00    1,02    0,00    0,00    0,00    0,00    0,00    0,00   88,78
12:11:05       3   11,00    0,00    4,00    0,00    0,00    0,00    0,00    0,00    0,00   85,00
12:11:05       4    8,00    0,00    2,00    0,00    0,00    0,00    0,00    0,00    0,00   90,00
12:11:05       5   10,10    0,00    2,02    0,00    0,00    0,00    0,00    0,00    0,00   87,88
12:11:05       6    1,02    0,00    1,02    0,00    0,00    0,00    0,00    0,00    0,00   97,96
12:11:05       7   18,81    0,00    4,95    0,00    0,00    0,00    0,00    0,00    0,00   76,24

12:11:05     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:11:06     all    4,53    0,00    2,14    0,00    0,00    0,13    0,00    0,00    0,00   93,21
12:11:06       0    2,00    0,00    3,00    0,00    0,00    0,00    0,00    0,00    0,00   95,00
12:11:06       1   23,23    0,00    3,03    0,00    0,00    0,00    0,00    0,00    0,00   73,74
12:11:06       2    1,00    0,00    2,00    0,00    0,00    1,00    0,00    0,00    0,00   96,00
12:11:06       3    2,00    0,00    4,00    0,00    0,00    0,00    0,00    0,00    0,00   94,00
12:11:06       4    1,01    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   97,98
12:11:06       5    2,97    0,00    1,98    0,00    0,00    0,00    0,00    0,00    0,00   95,05
12:11:06       6    2,04    0,00    1,02    0,00    0,00    0,00    0,00    0,00    0,00   96,94
12:11:06       7    2,04    0,00    1,02    0,00    0,00    0,00    0,00    0,00    0,00   96,94

12:11:06     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:11:07     all    4,53    0,00    2,14    0,25    0,00    0,13    0,00    0,00    0,00   92,95
12:11:07       0    3,00    0,00    3,00    1,00    0,00    0,00    0,00    0,00    0,00   93,00
12:11:07       1   23,47    0,00    3,06    0,00    0,00    1,02    0,00    0,00    0,00   72,45
12:11:07       2    1,01    0,00    2,02    0,00    0,00    0,00    0,00    0,00    0,00   96,97
12:11:07       3    3,03    0,00    3,03    0,00    0,00    0,00    0,00    0,00    0,00   93,94
12:11:07       4    1,01    0,00    2,02    0,00    0,00    0,00    0,00    0,00    0,00   96,97
12:11:07       5    1,00    0,00    1,00    1,00    0,00    0,00    0,00    0,00    0,00   97,00
12:11:07       6    3,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   96,00
12:11:07       7    1,01    0,00    2,02    0,00    0,00    0,00    0,00    0,00    0,00   96,97

12:11:07     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:11:08     all    4,02    0,00    1,76    0,00    0,00    0,38    0,00    0,00    0,00   93,84
12:11:08       0    2,00    0,00    3,00    0,00    0,00    1,00    0,00    0,00    0,00   94,00
12:11:08       1   22,00    0,00    3,00    0,00    0,00    1,00    0,00    0,00    0,00   74,00
12:11:08       2    3,03    0,00    2,02    0,00    0,00    0,00    0,00    0,00    0,00   94,95
12:11:08       3    1,01    0,00    2,02    0,00    0,00    0,00    0,00    0,00    0,00   96,97
12:11:08       4    1,01    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   97,98
12:11:08       5    0,00    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   98,99
12:11:08       6    2,00    0,00    1,00    0,00    0,00    1,00    0,00    0,00    0,00   96,00
12:11:08       7    1,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   98,00

12:11:08     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:11:09     all    5,42    0,00    3,40    0,25    0,00    0,38    0,00    0,00    0,00   90,54
12:11:09       0    2,04    0,00    1,02    1,02    0,00    0,00    0,00    0,00    0,00   95,92
12:11:09       1   13,86    0,00    4,95    0,99    0,00    0,99    0,00    0,00    0,00   79,21
12:11:09       2    3,06    0,00    6,12    0,00    0,00    0,00    0,00    0,00    0,00   90,82
12:11:09       3    3,96    0,00    4,95    0,00    0,00    0,99    0,00    0,00    0,00   90,10
12:11:09       4    1,01    0,00    3,03    0,00    0,00    0,00    0,00    0,00    0,00   95,96
12:11:09       5    5,05    0,00    3,03    0,00    0,00    0,00    0,00    0,00    0,00   91,92
12:11:09       6    3,06    0,00    2,04    0,00    0,00    0,00    0,00    0,00    0,00   94,90
12:11:09       7   11,11    0,00    2,02    0,00    0,00    1,01    0,00    0,00    0,00   85,86

12:11:09     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:11:10     all    4,64    0,00    2,38    0,00    0,00    0,38    0,00    0,00    0,00   92,61
12:11:10       0    2,97    0,00    3,96    0,00    0,00    0,99    0,00    0,00    0,00   92,08
12:11:10       1    1,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   98,00
12:11:10       2   16,00    0,00    4,00    0,00    0,00    1,00    0,00    0,00    0,00   79,00
12:11:10       3    6,12    0,00    3,06    0,00    0,00    0,00    0,00    0,00    0,00   90,82
12:11:10       4    1,01    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   97,98
12:11:10       5    2,00    0,00    1,00    0,00    0,00    1,00    0,00    0,00    0,00   96,00
12:11:10       6    2,97    0,00    2,97    0,00    0,00    0,00    0,00    0,00    0,00   94,06
12:11:10       7    5,05    0,00    2,02    0,00    0,00    0,00    0,00    0,00    0,00   92,93

12:11:10     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:11:11     all    4,29    0,00    1,77    0,00    0,00    0,38    0,00    0,00    0,00   93,56
12:11:11       0    1,02    0,00    1,02    0,00    0,00    0,00    0,00    0,00    0,00   97,96
12:11:11       1    6,06    0,00    2,02    0,00    0,00    1,01    0,00    0,00    0,00   90,91
12:11:11       2    2,02    0,00    2,02    0,00    0,00    1,01    0,00    0,00    0,00   94,95
12:11:11       3    5,00    0,00    3,00    0,00    0,00    0,00    0,00    0,00    0,00   92,00
12:11:11       4    0,00    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   98,99
12:11:11       5    3,03    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   95,96
12:11:11       6    1,02    0,00    1,02    0,00    0,00    0,00    0,00    0,00    0,00   97,96
12:11:11       7   16,00    0,00    3,00    0,00    0,00    1,00    0,00    0,00    0,00   80,00

12:11:11     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:11:12     all    4,54    0,00    1,64    0,25    0,00    0,25    0,00    0,00    0,00   93,32
12:11:12       0    0,99    0,00    1,98    0,99    0,00    0,00    0,00    0,00    0,00   96,04
12:11:12       1    1,03    0,00    1,03    0,00    0,00    0,00    0,00    0,00    0,00   97,94
12:11:12       2    2,04    0,00    1,02    0,00    0,00    0,00    0,00    0,00    0,00   96,94
12:11:12       3    2,04    0,00    3,06    0,00    0,00    0,00    0,00    0,00    0,00   94,90
12:11:12       4    4,04    0,00    1,01    0,00    0,00    1,01    0,00    0,00    0,00   93,94
12:11:12       5    4,04    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   94,95
12:11:12       6    0,98    0,00    1,96    0,98    0,00    0,00    0,00    0,00    0,00   96,08
12:11:12       7   21,21    0,00    2,02    0,00    0,00    1,01    0,00    0,00    0,00   75,76

12:11:12     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:11:13     all    4,77    0,00    2,01    0,13    0,00    0,25    0,00    0,00    0,00   92,85
12:11:13       0    0,00    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   98,99
12:11:13       1    2,94    0,00    3,92    0,00    0,00    0,98    0,00    0,00    0,00   92,16
12:11:13       2    1,01    0,00    1,01    1,01    0,00    0,00    0,00    0,00    0,00   96,97
12:11:13       3    2,97    0,00    3,96    0,00    0,00    0,99    0,00    0,00    0,00   92,08
12:11:13       4   25,25    0,00    4,04    0,00    0,00    0,00    0,00    0,00    0,00   70,71
12:11:13       5    2,02    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   97,98
12:11:13       6    1,02    0,00    1,02    0,00    0,00    0,00    0,00    0,00    0,00   97,96
12:11:13       7    3,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   96,00

12:11:13     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:11:14     all    5,32    0,00    2,66    0,25    0,00    0,13    0,00    0,00    0,00   91,63
12:11:14       0    3,00    0,00    4,00    0,00    0,00    0,00    0,00    0,00    0,00   93,00
12:11:14       1    1,02    0,00    2,04    0,00    0,00    0,00    0,00    0,00    0,00   96,94
12:11:14       2    4,08    0,00    3,06    0,00    0,00    0,00    0,00    0,00    0,00   92,86
