Linux 6.8.0-55-generic (ubuntu) 	18/06/26 	_x86_64_	(8 CPU)

12:11:02        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
12:11:03        all      7,31      0,00      6,05      0,00      0,00      0,00      0,38      0,00      0,00     86,25
12:11:04        all      5,54      0,00      3,27      0,25      0,00      0,00      0,38      0,00      0,00     90,55
12:11:05        all      9,31      0,00      2,77      0,00      0,00      0,00      0,25      0,00      0,00     87,67
12:11:06        all      4,53      0,00      2,14      0,00      0,00      0,00      0,13      0,00      0,00     93,21
12:11:07        all      4,53      0,00      2,14      0,25      0,00      0,00      0,13      0,00      0,00     92,95
12:11:08        all      4,03      0,00      1,64      0,00      0,00      0,00      0,38      0,00      0,00     93,96
12:11:09        all      5,40      0,00      3,52      0,25      0,00      0,00      0,38      0,00      0,00     90,45
12:11:10        all      4,66      0,00      2,27      0,00      0,00      0,00      0,38      0,00      0,00     92,70
12:11:11        all      4,29      0,00      1,89      0,00      0,00      0,00      0,38      0,00      0,00     93,44
12:11:12        all      4,41      0,00      1,64      0,25      0,00      0,00      0,25      0,00      0,00     93,45
12:11:13        all      4,91      0,00      1,89      0,13      0,00      0,00      0,25      0,00      0,00     92,83
12:11:14        all      5,30      0,00      2,65      0,25      0,00      0,00      0,13      0,00      0,00     91,67
12:11:15        all      6,44      0,00      4,42      0,00      0,00      0,00      0,63      0,00      0,00     88,51
12:11:16        all      9,34      0,00      2,78      0,00      0,00      0,00      0,25      0,00      0,00     87,63
12:11:17        all      4,03      0,00      2,14      0,13      0,00      0,00      0,25      0,00      0,00     93,46
12:11:18        all      4,64      0,00      2,01      0,00      0,00      0,00      0,63      0,00      0,00     92,72
12:11:19        all      4,66      0,00      2,14      0,13      0,00      0,00      0,00      0,00      0,00     93,07
12:11:20        all      5,92      0,00      3,65      0,00      0,00      0,00      0,50      0,00      0,00     89,92
12:11:21        all      4,67      0,00      1,51      0,25      0,00      0,00      0,25      0,00      0,00     93,32
12:11:22        all      4,28      0,00      2,27      0,13      0,00      0,00      0,25      0,00      0,00     93,07
12:11:23        all      4,14      0,00      1,63      0,13      0,00      0,00      0,38      0,00      0,00     93,73
12:11:24        all      5,06      0,00      2,78      0,00      0,00      0,00      0,13      0,00      0,00     92,04
12:11:25        all      6,17      0,00      3,02      0,25      0,00      0,00      0,25      0,00      0,00     90,30
12:11:26        all      5,79      0,00      2,77      0,13      0,00      0,00      0,63      0,00      0,00     90,68
12:11:27        all      8,58      0,00      1,89      0,13      0,00      0,00      0,25      0,00      0,00     89,16
12:11:28        all      4,28      0,00      2,14      0,00      0,00      0,00      0,38      0,00      0,00     93,21
12:11:29        all      5,18      0,00      2,02      0,00      0,00      0,00      0,13      0,00      0,00     92,68
12:11:30        all      5,93      0,00      3,78      0,13      0,00      0,00      0,13      0,00      0,00     90,04
12:11:31        all      4,76      0,00      2,01      0,25      0,00      0,00      0,50      0,00      0,00     92,48
12:11:32        all      4,79      0,00      2,52      0,13      0,00      0,00      0,13      0,00      0,00     92,43
12:11:33        all      5,42      0,00      2,90      0,13      0,00      0,00      0,38      0,00      0,00     91,18
12:11:34        all      4,16      0,00      1,89      0,00      0,00      0,00      0,38      0,00      0,00     93,57
12:11:35        all      4,53      0,00      1,89      0,13      0,00      0,00      0,38      0,00      0,00     93,08
12:11:36        all      5,65      0,00      4,52      0,13      0,00      0,00      0,25      0,00      0,00     89,45
12:11:37        all      9,43      0,00      1,89      0,00      0,00      0,00      0,38      0,00      0,00     88,30
12:11:38        all      4,15      0,00      1,64      0,13      0,00      0,00      0,13      0,00      0,00     93,96
12:11:39        all      4,29      0,00      2,15      0,00      0,00      0,00      0,00      0,00      0,00     93,56
12:11:40        all      4,03      0,00      1,64      0,13      0,00      0,00      0,50      0,00      0,00     93,71
12:11:41        all      5,63      0,00      3,50      0,13      0,00      0,00      0,38      0,00      0,00     90,36
12:11:42        all      4,66      0,00      2,14      0,00      0,00      0,00      0,13      0,00      0,00     93,07
12:11:43        all      4,90      0,00      1,76      0,13      0,00      0,00      0,38      0,00      0,00     92,84
12:11:44        all      4,68      0,00      2,41      0,00      0,00      0,00      0,25      0,00      0,00     92,66
12:11:45        all      4,15      0,00      2,01      0,13      0,00      0,00      0,13      0,00      0,00     93,59
12:11:46        all      6,72      0,00      4,18      0,00      0,00      0,00      0,51      0,00      0,00     88,59
12:11:47        all      8,26      0,00      2,00      0,13      0,00      0,00      0,25      0,00      0,00     89,36
12:11:48        all      4,91      0,00      2,26      0,13      0,00      0,00      0,38      0,00      0,00     92,33
12:11:49        all      4,66      0,00      2,27      0,13      0,00      0,00      0,25      0,00      0,00     92,70
12:11:50        all      4,52      0,00      2,26      0,13      0,00      0,00      0,25      0,00      0,00     92,84
12:11:51        all      5,56      0,00      3,67      0,25      0,00      0,00      0,38      0,00      0,00     90,14
12:11:52        all      4,52      0,00      2,39      0,00      0,00      0,00      0,25      0,00      0,00     92,84
12:11:53        all      4,02      0,00      1,88      0,00      0,00      0,00      0,38      0,00      0,00     93,72
12:11:54        all      5,20      0,00      2,79      0,00      0,00      0,00      0,00      0,00      0,00     92,02
12:11:55        all      4,40      0,00      1,76      0,13      0,00      0,00      0,38      0,00      0,00     93,34
12:11:56        all      5,30      0,00      2,90      0,13      0,00      0,00      0,38      0,00      0,00     91,29
12:11:57        all      5,90      0,00      3,76      0,13      0,00      0,00      0,38      0,00      0,00     89,84
12:11:58        all      5,42      0,00      2,52      0,13      0,00      0,00      0,25      0,00      0,00     91,68
12:11:59        all      8,63      0,00      2,03      0,00      0,00      0,00      0,25      0,00      0,00     89,09
12:12:00        all      4,36      0,00      2,00      0,25      0,00      0,00      0,37      0,00      0,00     93,02
12:12:01        all      4,55      0,00      1,77      0,13      0,00      0,00      0,13      0,00      0,00     93,43
12:12:02        all      6,68      0,00      4,29      0,13      0,00      0,00      0,50      0,00      0,00     88,40
12:12:03        all      5,56      0,00      2,78      0,00      0,00      0,00      0,25      0,00      0,00     91,41
12:12:04        all      5,28      0,00      3,02      0,13      0,00      0,00      0,25      0,00      0,00     91,32
12:12:05        all      4,28      0,00      2,52      0,00      0,00      0,00      0,13      0,00      0,00     93,08
12:12:06        all      4,76      0,00      2,26      0,00      0,00      0,00      0,63      0,00      0,00     92,36
12:12:07        all      5,54      0,00      3,40      0,13      0,00      0,00      0,13      0,00      0,00     90,81
12:12:08        all      5,06      0,00      2,78      0,25      0,00      0,00      0,13      0,00      0,00     91,77
12:12:09        all      4,77      0,00      2,01      0,25      0,00      0,00      0,38      0,00      0,00     92,59
12:12:10        all      4,16      0,00      1,89      0,00      0,00      0,00      0,25      0,00      0,00     93,69
12:12:11        all      8,17      0,00      1,76      0,25      0,00      0,00      0,25      0,00      0,00     89,57
12:12:12        all      5,53      0,00      3,27      0,00      0,00      0,00      0,38      0,00      0,00     90,82
12:12:13        all      4,01      0,00      1,50      0,13      0,00      0,00      0,50      0,00      0,00     93,86
12:12:14        all      5,58      0,00      2,79      0,00      0,00      0,00      0,13      0,00      0,00     91,51
12:12:15        all      4,66      0,00      1,89      0,00      0,00      0,00      0,25      0,00      0,00     93,20
12:12:16        all      8,70      0,00      4,16      0,00      0,00      0,00      0,25      0,00      0,00     86,89
12:12:17        all      4,28      0,00      2,27      0,25      0,00      0,00      0,63      0,00      0,00     92,57
12:12:18        all      6,16      0,00      3,64      0,00      0,00      0,00      0,25      0,00      0,00     89,95
12:12:19        all      4,29      0,00      1,89      0,13      0,00      0,00      0,13      0,00      0,00     93,56
12:12:20        all      3,90      0,00      1,51      0,00      0,00      0,00      0,13      0,00      0,00     94,47
12:12:21        all      3,65      0,00      2,01      0,13      0,00      0,00      0,13      0,00      0,00     94,09
12:12:22        all     10,18      0,00      2,76      0,00      0,00      0,00      0,38      0,00      0,00     86,68
12:12:23        all      5,76      0,00      3,88      0,25      0,00      0,00      0,75      0,00      0,00     89,35
12:12:24        all      5,93      0,00      3,03      0,25      0,00      0,00      0,13      0,00      0,00     90,66
12:12:25        all      4,18      0,00      2,15      0,00      0,00      0,00      0,13      0,00      0,00     93,54
12:12:26        all      4,90      0,00      2,89      0,13      0,00      0,00      0,25      0,00      0,00     91,83
12:12:27        all      4,53      0,00      2,26      0,13      0,00      0,00      0,25      0,00      0,00     92,83
12:12:28        all      5,40      0,00      3,52      0,00      0,00      0,00      0,25      0,00      0,00     90,83
12:12:29        all      4,55      0,00      1,89      0,00      0,00      0,00      0,13      0,00      0,00     93,43
12:12:30        all      4,17      0,00      1,64      0,00      0,00      0,00      0,13      0,00      0,00     94,06
12:12:31        all      4,16      0,00      2,27      0,25      0,00      0,00      0,25      0,00      0,00     93,07
