procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0   4132 1422996 406876 21068924    0    0    57   224 1692    1  2  1 97  0  0  0
 1  0   4132 1396920 406880 21069120    0    0     0   376 5496 4517  7  6 87  0  0  0
 1  0   4132 1397860 406880 21069152    0    0     0  1096 3917 3072  6  4 91  0  0  0
 0  0   4132 1402160 406880 21069184    0    0     0   116 4025 2917  9  3 87  0  0  0
 0  0   4132 1401184 406880 21069216    0    0     0    80 2849 2156  4  3 93  0  0  0
 0  0   4132 1399168 406884 21069248    0    0     0   444 2855 2239  4  2 93  0  0  0
 0  0   4132 1401240 406884 21069268    0    0     0   236 2570 2116  4  2 94  0  0  0
 0  0   4132 1400960 406884 21069304    0    0     0  1140 3624 2876  6  4 91  0  0  0
 0  0   4132 1408800 406884 21069320    0    0     0    84 3198 2630  5  3 93  0  0  0
 0  0   4132 1408300 406884 21069344    0    0     0   116 2670 2143  4  2 93  0  0  0
 2  0   4132 1408072 406884 21069380    0    0     0   312 2904 2245  4  2 93  0  0  0
 0  0   4132 1407316 406884 21069404    0    0     0   292 2782 2212  5  2 93  0  0  0
 1  0   4132 1405372 406884 21069432    0    0     0   256 4271 4223  5  3 91  0  0  0
 3  0   4132 1394888 406884 21069492    0    0     0   776 5339 4995  7  5 89  0  0  0
 0  0   4132 1408316 406884 21069504    0    0     0    96 4476 3913  9  3 88  0  0  0
 1  0   4132 1407592 406884 21069536    0    0     0   292 2668 2157  4  2 93  0  0  0
 0  0   4132 1407592 406884 21069556    0    0     0   192 2752 2204  4  2 93  0  0  0
 1  0   4132 1405828 406884 21069568    0    0     0   120 2848 2134  5  2 93  0  0  0
 0  0   4132 1409948 406884 21069612    0    0     0   148 4134 3312  6  4 90  0  0  0
 0  0   4132 1407180 406884 21069632    0    0     0   112 2706 2137  5  2 93  0  0  0
 0  0   4132 1405416 406884 21069656    0    0     0   124 2731 2343  4  2 93  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0   4132 1403404 406884 21069680    0    0     0   488 2619 2158  4  2 94  0  0  0
 0  0   4132 1398644 406884 21069688    0    0     0   108 4013 4035  5  3 92  0  0  0
 1  0   4132 1397988 406884 21069748    0    0     0   972 3862 3228  6  3 91  0  0  0
 1  0   4132 1400420 406884 21069768    0    0     0    80 4633 4530  6  3 91  0  0  0
 1  0   4132 1394320 406884 21069792    0    0     0   148 3484 2780  8  3 89  0  0  0
 0  0   4132 1392356 406884 21069812    0    0     0   372 2981 2365  4  2 93  0  0  0
 0  0   4132 1392208 406884 21069848    0    0     0   132 2953 2557  5  2 93  0  0  0
 0  0   4132 1418456 406884 21069876    0    0     0  1108 4046 3057  6  4 90  0  0  0
 0  0   4132 1414508 406884 21069900    0    0     0   264 2793 2195  5  2 93  0  0  0
 1  0   4132 1412600 406884 21069912    0    0     0   144 3433 2541  5  3 92  0  0  0
 0  0   4132 1405584 406888 21069936    0    0     0   328 4351 4307  5  3 91  0  0  0
 1  0   4132 1404324 406888 21069964    0    0     0    80 2631 2171  4  2 94  0  0  0
 4  0   4132 1398540 406888 21069992    0    0     0   180 2981 2361  5  3 92  0  0  0
 0  0   4132 1401716 406888 21070024    0    0     0   796 3854 2952  6  4 90  0  0  0
 0  0   4132 1400660 406888 21070040    0    0     0   264 3369 2427  9  2 88  0  0  0
 1  0   4132 1400156 406888 21070076    0    0     0   236 2470 2040  4  2 94  0  0  0
 0  0   4132 1397172 406888 21070084    0    0     0   120 2802 2159  4  2 93  0  0  0
 1  0   4132 1396140 406888 21070116    0    0     0    80 2640 2154  4  2 94  0  0  0
 1  0   4132 1410148 406888 21070144    0    0     0   172 3800 2897  6  4 91  0  0  0
 0  0   4132 1409504 406888 21070168    0    0     0   232 2773 2280  5  2 93  0  0  0
 0  0   4132 1407172 406888 21070188    0    0     0   280 2677 2087  5  2 93  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0   4132 1408664 406888 21070216    0    0     0   100 3896 3837  5  3 92  0  0  0
 1  0   4132 1408440 406888 21070232    0    0     0   120 2587 2148  4  2 94  0  0  0
 1  0   4132 1406204 406888 21070276    0    0     0   880 6045 6074  7  5 88  0  0  0
 0  0   4132 1404216 406888 21070296    0    0     0   416 3496 2636  8  2 89  0  0  0
 0  0   4132 1416920 406892 21070316    0    0     0   224 3128 2493  5  3 93  0  0  0
 1  0   4132 1409900 406892 21070344    0    0     0   120 2742 2160  5  3 93  0  0  0
 0  0   4132 1424864 406892 21070372    0    0     0    88 2773 2326  5  2 93  0  0  0
 0  0   4132 1420860 406892 21070396    0    0     0  1096 3904 2993  6  4 90  0  0  0
 1  0   4132 1418240 406892 21070420    0    0     0   240 2991 2362  4  3 93  0  0  0
 0  0   4132 1417484 406896 21070436    0    0     0   260 2683 2167  4  2 93  0  0  0
 0  0   4132 1425204 406896 21070468    0    0     0    72 4476 4424  5  3 92  0  0  0
 0  0   4132 1419352 406896 21070484    0    0     0   144 2617 2192  4  2 93  0  0  0
 2  0   4132 1408252 406900 21070512    0    0     0   156 4402 4205  6  4 90  0  0  0
 0  0   4132 1411868 406900 21070672    0    0     0   952 3425 2540  6  3 91  0  0  0
 0  0   4132 1410680 406900 21070712    0    0     0   212 3030 2230  5  3 92  0  0  0
 0  0   4132 1415776 406900 21070752    0    0     0   308 3546 2692  9  2 89  0  0  0
 0  0   4132 1411360 406900 21070776    0    0     0    96 2670 2191  5  2 93  0  0  0
 0  0   4132 1407608 406900 21070796    0    0     0   120 2806 2070  4  2 93  0  0  0
 0  0   4132 1412648 406900 21070824    0    0     0   292 4511 3550  7  5 88  0  0  0
 2  0   4132 1407128 406900 21070860    0    0     0   124 4334 4134  6  3 91  0  0  0
 2  0   4132 1416800 406900 21070872    0    0     0   236 3404 2616  5  3 91  0  0  0
