run_id,scenario,target,iface,rank,process,avg_cpu_pct,cumulative_cpu_pct,samples,source_file
macsec_PRIVATE_IP_022_20260618_121101,macsec,PRIVATE_IP_022,tun0,1,node-red,33.480,33.480,301,raw/pidstat_all.log
macsec_PRIVATE_IP_022_20260618_121101,macsec,PRIVATE_IP_022,tun0,2,tshark,3.987,37.467,9,raw/pidstat_all.log
macsec_PRIVATE_IP_022_20260618_121101,macsec,PRIVATE_IP_022,tun0,3,wazuh-agentd,3.511,40.978,68,raw/pidstat_all.log
macsec_PRIVATE_IP_022_20260618_121101,macsec,PRIVATE_IP_022,tun0,4,pidstat,2.979,43.957,301,raw/pidstat_all.log
macsec_PRIVATE_IP_022_20260618_121101,macsec,PRIVATE_IP_022,tun0,5,grafana,2.676,46.633,301,raw/pidstat_all.log
macsec_PRIVATE_IP_022_20260618_121101,macsec,PRIVATE_IP_022,tun0,6,kcompactd0,2.007,48.640,10,raw/pidstat_all.log
macsec_PRIVATE_IP_022_20260618_121101,macsec,PRIVATE_IP_022,tun0,7,kworker/u17:3-events_unbound,2.000,50.640,1,raw/pidstat_all.log
macsec_PRIVATE_IP_022_20260618_121101,macsec,PRIVATE_IP_022,tun0,8,kworker/u24:0-events_power_efficient,2.000,52.640,1,raw/pidstat_all.log
macsec_PRIVATE_IP_022_20260618_121101,macsec,PRIVATE_IP_022,tun0,9,kworker/u19:1-events_unbound,2.000,54.640,1,raw/pidstat_all.log
macsec_PRIVATE_IP_022_20260618_121101,macsec,PRIVATE_IP_022,tun0,10,wazuh-logcollec,1.535,56.176,66,raw/pidstat_all.log
macsec_PRIVATE_IP_022_20260618_121101,macsec,PRIVATE_IP_022,tun0,11,systemd,1.509,57.685,113,raw/pidstat_all.log
macsec_PRIVATE_IP_022_20260618_121101,macsec,PRIVATE_IP_022,tun0,12,openvpn,1.470,59.155,279,raw/pidstat_all.log
