rank,process,avg_rss_mib,max_rss_mib,avg_vsz_mib,avg_mem_pct,max_mem_pct,cumulative_rss_mib,samples,source_files
1,node-red,286.628,288.438,12213.112,1.192,1.200,286.628,301,pidstat_all.log
2,tshark,144.250,144.250,851.775,0.600,0.600,430.878,2,pidstat_all.log
3,systemd-journal,105.207,107.418,205.128,0.436,0.450,536.085,91,pidstat_all.log
4,dockerd,101.763,101.797,3484.191,0.420,0.420,637.848,5,pidstat_all.log
5,postgres,47.379,108.977,179.213,0.197,0.450,685.227,1576,pidstat_all.log
6,snapd,44.703,44.703,2241.730,0.190,0.190,729.930,4,pidstat_all.log
7,wazuh-logcollec,41.416,41.648,1286.293,0.170,0.170,771.346,16,pidstat_all.log
8,lldap,15.508,15.508,29.650,0.060,0.060,786.854,11,pidstat_all.log
9,systemd,13.887,13.887,22.559,0.060,0.060,800.741,94,pidstat_all.log
10,runc,11.417,11.500,1833.337,0.050,0.050,812.158,3,pidstat_all.log
11,containerd-shim,11.267,12.332,1204.908,0.049,0.050,823.425,147,pidstat_all.log
12,wazuh-agentd,10.715,10.715,307.973,0.040,0.040,834.140,77,pidstat_all.log
13,dumpcap,7.250,7.250,12.922,0.030,0.030,841.390,1,pidstat_all.log
14,nginx,6.680,6.680,40.902,0.030,0.030,848.070,11,pidstat_all.log
15,systemd-udevd,6.125,6.125,27.164,0.030,0.030,854.195,119,pidstat_all.log
16,pidstat,5.930,6.000,9.291,0.020,0.020,860.125,9,pidstat_all.log
17,dbus-daemon,5.297,5.297,9.973,0.020,0.020,865.421,2,pidstat_all.log
18,mtr,4.771,5.250,6.551,0.018,0.020,870.193,5,pidstat_all.log
19,bash,4.250,4.250,7.828,0.020,0.020,874.443,15,pidstat_all.log
20,(udev-worker),3.640,3.734,27.168,0.017,0.020,878.082,116,pidstat_all.log
21,cron,2.750,2.750,6.664,0.010,0.010,880.832,3,pidstat_all.log
22,ping,2.625,2.625,7.492,0.010,0.010,883.457,12,pidstat_all.log
23,sar,2.375,2.375,5.676,0.010,0.010,885.832,2,pidstat_all.log
24,mtr-packet,1.625,1.625,2.637,0.010,0.010,887.457,1,pidstat_all.log
