sample,epoch,target,port,ok,tcp_connect_ms,error
1,1781803093.0591872,PRIVATE_IP_022,502,1,6.523789,
2,1781803093.2634656,PRIVATE_IP_022,502,1,4.109101,
3,1781803093.4681172,PRIVATE_IP_022,502,1,4.414921,
4,1781803093.6724074,PRIVATE_IP_022,502,1,4.039309,
5,1781803093.8764725,PRIVATE_IP_022,502,1,3.822833,
6,1781803094.0807917,PRIVATE_IP_022,502,1,4.144845,
7,1781803094.2863753,PRIVATE_IP_022,502,1,5.438321,
8,1781803094.490402,PRIVATE_IP_022,502,1,3.862411,
9,1781803094.695437,PRIVATE_IP_022,502,1,4.868387,
10,1781803094.89932,PRIVATE_IP_022,502,1,3.724091,
11,1781803095.1033742,PRIVATE_IP_022,502,1,3.844598,
12,1781803095.3072345,PRIVATE_IP_022,502,1,3.712359,
13,1781803095.5124183,PRIVATE_IP_022,502,1,4.997694,
14,1781803095.7176342,PRIVATE_IP_022,502,1,5.064321,
15,1781803095.9224803,PRIVATE_IP_022,502,1,4.674794,
16,1781803096.1271033,PRIVATE_IP_022,502,1,4.518769,
17,1781803096.331636,PRIVATE_IP_022,502,1,4.395727,
18,1781803096.536471,PRIVATE_IP_022,502,1,4.615715,
19,1781803096.741546,PRIVATE_IP_022,502,1,4.816462,
20,1781803096.9475634,PRIVATE_IP_022,502,1,5.786003,
21,1781803097.153676,PRIVATE_IP_022,502,1,5.917250,
22,1781803097.3584764,PRIVATE_IP_022,502,1,4.623222,
23,1781803097.5645547,PRIVATE_IP_022,502,1,5.885637,
24,1781803097.7695398,PRIVATE_IP_022,502,1,4.743709,
25,1781803097.9743197,PRIVATE_IP_022,502,1,4.524320,
26,1781803098.1786497,PRIVATE_IP_022,502,1,4.074585,
27,1781803098.3822193,PRIVATE_IP_022,502,1,3.415691,
28,1781803098.586644,PRIVATE_IP_022,502,1,4.238757,
29,1781803098.7914932,PRIVATE_IP_022,502,1,4.635062,
30,1781803098.9963958,PRIVATE_IP_022,502,1,4.709640,
31,1781803099.2015593,PRIVATE_IP_022,502,1,4.923976,
32,1781803099.4066796,PRIVATE_IP_022,502,1,4.946281,
33,1781803099.6113553,PRIVATE_IP_022,502,1,4.486922,
34,1781803099.8158152,PRIVATE_IP_022,502,1,4.287882,
35,1781803100.0202866,PRIVATE_IP_022,502,1,4.323570,
36,1781803100.22443,PRIVATE_IP_022,502,1,3.964742,
37,1781803100.4294825,PRIVATE_IP_022,502,1,4.838546,
38,1781803100.6345053,PRIVATE_IP_022,502,1,4.805722,
39,1781803100.8394454,PRIVATE_IP_022,502,1,4.755140,
40,1781803101.0431094,PRIVATE_IP_022,502,1,3.489189,
41,1781803101.2473054,PRIVATE_IP_022,502,1,4.055597,
42,1781803101.4513688,PRIVATE_IP_022,502,1,3.883856,
43,1781803101.656506,PRIVATE_IP_022,502,1,4.938998,
44,1781803101.8614197,PRIVATE_IP_022,502,1,4.693731,
45,1781803102.06644,PRIVATE_IP_022,502,1,4.824542,
46,1781803102.2702029,PRIVATE_IP_022,502,1,3.606912,
47,1781803102.474401,PRIVATE_IP_022,502,1,4.055977,
48,1781803102.678297,PRIVATE_IP_022,502,1,3.738349,
49,1781803102.882476,PRIVATE_IP_022,502,1,4.015959,
50,1781803103.0862284,PRIVATE_IP_022,502,1,3.574389,
51,1781803103.2901669,PRIVATE_IP_022,502,1,3.825332,
52,1781803103.4943557,PRIVATE_IP_022,502,1,4.050847,
53,1781803103.6993966,PRIVATE_IP_022,502,1,4.805377,
54,1781803103.904296,PRIVATE_IP_022,502,1,4.755958,
55,1781803104.1091073,PRIVATE_IP_022,502,1,4.653039,
56,1781803104.3144448,PRIVATE_IP_022,502,1,5.075224,
57,1781803104.5194986,PRIVATE_IP_022,502,1,4.862178,
58,1781803104.7251635,PRIVATE_IP_022,502,1,5.541645,
59,1781803104.9296029,PRIVATE_IP_022,502,1,4.247648,
60,1781803105.1342032,PRIVATE_IP_022,502,1,4.416339,
61,1781803105.3383927,PRIVATE_IP_022,502,1,3.996664,
62,1781803105.5433662,PRIVATE_IP_022,502,1,4.826426,
63,1781803105.7485023,PRIVATE_IP_022,502,1,4.933907,
64,1781803105.9534633,PRIVATE_IP_022,502,1,4.653333,
65,1781803106.1588345,PRIVATE_IP_022,502,1,5.231769,
66,1781803106.3644311,PRIVATE_IP_022,502,1,5.425731,
67,1781803106.5694723,PRIVATE_IP_022,502,1,4.237609,
68,1781803106.7745354,PRIVATE_IP_022,502,1,4.893633,
69,1781803106.9794755,PRIVATE_IP_022,502,1,4.700371,
70,1781803107.184532,PRIVATE_IP_022,502,1,4.882217,
71,1781803107.389353,PRIVATE_IP_022,502,1,4.649455,
72,1781803107.5944495,PRIVATE_IP_022,502,1,4.881236,
73,1781803107.799548,PRIVATE_IP_022,502,1,4.873658,
74,1781803108.0042605,PRIVATE_IP_022,502,1,4.519846,
75,1781803108.2083604,PRIVATE_IP_022,502,1,3.856585,
76,1781803108.4137084,PRIVATE_IP_022,502,1,5.068850,
77,1781803108.6186178,PRIVATE_IP_022,502,1,4.763345,
78,1781803108.823458,PRIVATE_IP_022,502,1,4.671592,
79,1781803109.0272846,PRIVATE_IP_022,502,1,3.685644,
80,1781803109.2325413,PRIVATE_IP_022,502,1,5.057806,
81,1781803109.4374862,PRIVATE_IP_022,502,1,4.765911,
82,1781803109.6423764,PRIVATE_IP_022,502,1,4.643028,
83,1781803109.846605,PRIVATE_IP_022,502,1,3.951862,
84,1781803110.0512197,PRIVATE_IP_022,502,1,4.479355,
85,1781803110.2551672,PRIVATE_IP_022,502,1,3.799625,
86,1781803110.4605384,PRIVATE_IP_022,502,1,5.134737,
87,1781803110.6653244,PRIVATE_IP_022,502,1,4.653523,
88,1781803110.869152,PRIVATE_IP_022,502,1,3.704715,
89,1781803111.073079,PRIVATE_IP_022,502,1,3.780357,
