api,signature,cycle_ms
PRIVATE_IP_021,FC3_addr0_qty86,1001.361847
PRIVATE_IP_021,FC3_addr94_qty86,1004.370928
PRIVATE_IP_021,FC3_addr0_qty86,999.971151
PRIVATE_IP_021,FC3_addr94_qty86,999.217987
PRIVATE_IP_021,FC3_addr94_qty75,2004.168034
PRIVATE_IP_021,FC3_addr0_qty86,1000.214815
PRIVATE_IP_021,FC3_addr94_qty86,998.077869
PRIVATE_IP_021,FC3_addr0_qty75,2000.397921
PRIVATE_IP_021,FC3_addr3_qty1,1998.520851
PRIVATE_IP_021,FC3_addr97_qty1,1993.453979
PRIVATE_IP_021,FC3_addr0_qty86,1002.125025
PRIVATE_IP_021,FC3_addr94_qty86,1004.051208
PRIVATE_IP_021,FC3_addr94_qty75,1997.903109
PRIVATE_IP_021,FC3_addr0_qty86,999.372005
PRIVATE_IP_021,FC3_addr94_qty86,999.741793
PRIVATE_IP_021,FC3_addr0_qty75,2000.622988
PRIVATE_IP_021,FC3_addr3_qty1,1999.101162
PRIVATE_IP_021,FC3_addr97_qty1,2002.409935
PRIVATE_IP_021,FC3_addr0_qty86,1000.452042
PRIVATE_IP_021,FC3_addr94_qty86,996.505022
PRIVATE_IP_021,FC3_addr94_qty75,2001.198053
PRIVATE_IP_021,FC3_addr0_qty86,1001.677036
PRIVATE_IP_021,FC3_addr94_qty86,1004.314184
PRIVATE_IP_021,FC3_addr0_qty75,2001.151085
PRIVATE_IP_021,FC3_addr3_qty1,2004.045010
PRIVATE_IP_021,FC3_addr97_qty1,2000.248909
PRIVATE_IP_021,FC3_addr0_qty86,1000.982046
PRIVATE_IP_021,FC3_addr94_qty86,1000.813961
PRIVATE_IP_021,FC3_addr94_qty75,2000.452995
PRIVATE_IP_021,FC3_addr0_qty86,1000.905037
PRIVATE_IP_021,FC3_addr94_qty86,1001.852036
PRIVATE_IP_021,FC3_addr0_qty75,2000.723839
PRIVATE_IP_021,FC3_addr3_qty1,2001.375914
PRIVATE_IP_021,FC3_addr97_qty1,2007.137060
PRIVATE_IP_021,FC3_addr0_qty86,999.889851
PRIVATE_IP_021,FC3_addr94_qty86,997.807980
PRIVATE_IP_021,FC3_addr94_qty75,1999.990940
PRIVATE_IP_021,FC3_addr0_qty86,1001.971006
PRIVATE_IP_021,FC3_addr94_qty86,1004.406929
PRIVATE_IP_021,FC3_addr0_qty75,2000.896215
